[1257, 905]
[chapter-title, [280.0, 32.0, 252.0, 30.0], shoonya_22sXKC3UC88IR2, 5776512]
[paragraph, [112.0, 72.0, 321.0, 18.0], shoonya_17sPG1UZU0O4ZY, 5776512]
[paragraph, [91.0, 99.0, 636.0, 18.0], shoonya_9sWLHLUQPNU8IS, 5776512]
[paragraph, [91.0, 117.0, 636.0, 18.0], shoonya_9sWLHLUQPNU8IS, 5776512]
[paragraph, [91.0, 148.0, 635.0, 18.0], shoonya_4sHBVBU89XYQHI, 5776512]
[paragraph, [91.0, 166.0, 635.0, 18.0], shoonya_4sHBVBU89XYQHI, 5776512]
[paragraph, [90.0, 200.0, 639.0, 18.0], shoonya_0sN1877DWFUNLC, 5776512]
[paragraph, [90.0, 218.0, 639.0, 18.0], shoonya_0sN1877DWFUNLC, 5776512]
[paragraph, [90.0, 236.0, 639.0, 18.0], shoonya_0sN1877DWFUNLC, 5776512]
[paragraph, [90.0, 254.0, 639.0, 18.0], shoonya_0sN1877DWFUNLC, 5776512]
[paragraph, [90.0, 272.0, 639.0, 18.0], shoonya_0sN1877DWFUNLC, 5776512]
[paragraph, [90.0, 290.0, 639.0, 18.0], shoonya_0sN1877DWFUNLC, 5776512]
[paragraph, [90.0, 308.0, 639.0, 18.0], shoonya_0sN1877DWFUNLC, 5776512]
[paragraph, [90.0, 326.0, 639.0, 18.0], shoonya_0sN1877DWFUNLC, 5776512]
[paragraph, [90.0, 344.0, 639.0, 18.0], shoonya_0sN1877DWFUNLC, 5776512]
[paragraph, [91.0, 377.0, 637.0, 18.0], shoonya_2sU1H114NPI3PR, 5776512]
[paragraph, [91.0, 395.0, 637.0, 18.0], shoonya_2sU1H114NPI3PR, 5776512]
[paragraph, [91.0, 413.0, 637.0, 18.0], shoonya_2sU1H114NPI3PR, 5776512]
[paragraph, [91.0, 431.0, 637.0, 18.0], shoonya_2sU1H114NPI3PR, 5776512]
[paragraph, [114.0, 454.0, 609.0, 18.0], shoonya_16s12NWAO1CDAG, 5776512]
[paragraph, [114.0, 472.0, 609.0, 18.0], shoonya_16s12NWAO1CDAG, 5776512]
[paragraph, [92.0, 504.0, 635.0, 18.0], shoonya_3sDNIPSEDNY316, 5776512]
[paragraph, [92.0, 522.0, 635.0, 18.0], shoonya_3sDNIPSEDNY316, 5776512]
[paragraph, [92.0, 540.0, 635.0, 18.0], shoonya_3sDNIPSEDNY316, 5776512]
[paragraph, [92.0, 558.0, 635.0, 18.0], shoonya_3sDNIPSEDNY316, 5776512]
[paragraph, [116.0, 583.0, 328.0, 18.0], shoonya_14sY93UCKHX8M4, 5776512]
[paragraph, [115.0, 610.0, 116.0, 18.0], shoonya_11sSEQ99CG19FX, 5776512]
[paragraph, [117.0, 635.0, 344.0, 18.0], shoonya_7s2J0463P1V2JJ, 5776512]
[paragraph, [95.0, 662.0, 635.0, 18.0], shoonya_6s08PIHLF88LFT, 5776512]
[paragraph, [95.0, 680.0, 635.0, 18.0], shoonya_6s08PIHLF88LFT, 5776512]
[paragraph, [116.0, 715.0, 493.0, 18.0], shoonya_15sIMUY4YF2IVW, 5776512]
[paragraph, [94.0, 742.0, 633.0, 18.0], shoonya_5sGRVYOC9Z6VB9, 5776512]
[paragraph, [94.0, 760.0, 633.0, 18.0], shoonya_5sGRVYOC9Z6VB9, 5776512]
[paragraph, [94.0, 778.0, 633.0, 18.0], shoonya_5sGRVYOC9Z6VB9, 5776512]
[paragraph, [94.0, 796.0, 633.0, 18.0], shoonya_5sGRVYOC9Z6VB9, 5776512]
[paragraph, [109.0, 818.0, 615.0, 18.0], shoonya_18sPV1JC421W7Y, 5776512]
[paragraph, [117.0, 846.0, 209.0, 18.0], shoonya_10s2BN57L9V0BS, 5776512]
[paragraph, [117.0, 872.0, 123.0, 18.0], shoonya_8sDEPP95OYU956, 5776512]
[paragraph, [117.0, 897.0, 285.0, 18.0], shoonya_13s1GN9FPFW060, 5776512]
[paragraph, [94.0, 924.0, 636.0, 18.0], shoonya_1sWSYSJP4S42CJ, 5776512]
[paragraph, [94.0, 942.0, 636.0, 18.0], shoonya_1sWSYSJP4S42CJ, 5776512]
[paragraph, [94.0, 960.0, 636.0, 18.0], shoonya_1sWSYSJP4S42CJ, 5776512]
[paragraph, [94.0, 978.0, 636.0, 18.0], shoonya_1sWSYSJP4S42CJ, 5776512]
[paragraph, [94.0, 996.0, 636.0, 18.0], shoonya_1sWSYSJP4S42CJ, 5776512]
[paragraph, [94.0, 1014.0, 636.0, 18.0], shoonya_1sWSYSJP4S42CJ, 5776512]
[paragraph, [94.0, 1032.0, 636.0, 18.0], shoonya_1sWSYSJP4S42CJ, 5776512]
[paragraph, [94.0, 1050.0, 636.0, 18.0], shoonya_1sWSYSJP4S42CJ, 5776512]
