[585, 406]
[author, [274.0, 125.0, 103.0, 18.0], DonG7SpLRV, 6496287]
[paragraph, [62.0, 147.0, 312.0, 18.0], aZC46crSOG, 6496287]
[paragraph, [62.0, 165.0, 312.0, 18.0], aZC46crSOG, 6496287]
[paragraph, [62.0, 183.0, 312.0, 18.0], aZC46crSOG, 6496287]
[paragraph, [62.0, 201.0, 312.0, 18.0], aZC46crSOG, 6496287]
[paragraph, [62.0, 219.0, 312.0, 18.0], aZC46crSOG, 6496287]
[paragraph, [62.0, 237.0, 312.0, 18.0], aZC46crSOG, 6496287]
[paragraph, [62.0, 255.0, 312.0, 18.0], aZC46crSOG, 6496287]
[paragraph, [60.0, 272.0, 315.0, 18.0], jqNwXV21pq, 6496287]
[paragraph, [60.0, 290.0, 315.0, 18.0], jqNwXV21pq, 6496287]
[paragraph, [57.0, 318.0, 316.0, 18.0], tkag_CZlJ8, 6496287]
[paragraph, [57.0, 336.0, 316.0, 18.0], tkag_CZlJ8, 6496287]
[paragraph, [57.0, 354.0, 316.0, 18.0], tkag_CZlJ8, 6496287]
[paragraph, [57.0, 372.0, 316.0, 18.0], tkag_CZlJ8, 6496287]
[paragraph, [57.0, 390.0, 316.0, 18.0], tkag_CZlJ8, 6496287]
[paragraph, [57.0, 410.0, 316.0, 18.0], 40bNsoxx4u, 6496287]
[paragraph, [57.0, 428.0, 316.0, 18.0], 40bNsoxx4u, 6496287]
[paragraph, [57.0, 446.0, 316.0, 18.0], 40bNsoxx4u, 6496287]
[paragraph, [57.0, 464.0, 316.0, 18.0], 40bNsoxx4u, 6496287]
[paragraph, [57.0, 482.0, 316.0, 18.0], 40bNsoxx4u, 6496287]
