[1875, 1200]
[chapter-title, [175.0, 473.0, 277.0, 58.5], oB0TfPmDnQ, 5711270]
[section-title, [196.0, 760.0, 815.0, 49.5], shoonya_1sF4O5TYE6VVJ0, 5711270]
[section-title, [196.0, 809.5, 815.0, 49.5], shoonya_1sF4O5TYE6VVJ0, 5711270]
[paragraph, [193.0, 940.0, 817.0, 36.0], shoonya_0s2JI0D71RCMO0, 5711270]
[paragraph, [193.0, 976.0, 817.0, 36.0], shoonya_0s2JI0D71RCMO0, 5711270]
[paragraph, [193.0, 1012.0, 817.0, 36.0], shoonya_0s2JI0D71RCMO0, 5711270]
[paragraph, [193.0, 1048.0, 817.0, 36.0], shoonya_0s2JI0D71RCMO0, 5711270]
[paragraph, [193.0, 1084.0, 817.0, 36.0], shoonya_0s2JI0D71RCMO0, 5711270]
[paragraph, [193.0, 1120.0, 817.0, 36.0], shoonya_0s2JI0D71RCMO0, 5711270]
[paragraph, [193.0, 1156.0, 817.0, 36.0], shoonya_0s2JI0D71RCMO0, 5711270]
[paragraph, [193.0, 1192.0, 817.0, 36.0], shoonya_0s2JI0D71RCMO0, 5711270]
[paragraph, [193.0, 1228.0, 817.0, 36.0], shoonya_0s2JI0D71RCMO0, 5711270]
[paragraph, [193.0, 1264.0, 817.0, 36.0], shoonya_0s2JI0D71RCMO0, 5711270]
[paragraph, [193.0, 1300.0, 817.0, 36.0], shoonya_0s2JI0D71RCMO0, 5711270]
