[3060, 3960]
[headline, [134.0, 459.0, 1358.0, 52.5], GN_Fdtya6Z, 5695922]
[headline, [134.0, 511.5, 1358.0, 52.5], GN_Fdtya6Z, 5695922]
[headline, [134.0, 564.0, 1358.0, 52.5], GN_Fdtya6Z, 5695922]
[headline, [134.0, 616.5, 1358.0, 52.5], GN_Fdtya6Z, 5695922]
[unordered-list, [84.0, 698.0, 1443.0, 52.5], pLPz_q6uS1, 5695922]
[unordered-list, [84.0, 750.5, 1443.0, 52.5], pLPz_q6uS1, 5695922]
[unordered-list, [84.0, 803.0, 1443.0, 52.5], pLPz_q6uS1, 5695922]
[unordered-list, [84.0, 855.5, 1443.0, 52.5], pLPz_q6uS1, 5695922]
[unordered-list, [84.0, 908.0, 1443.0, 52.5], pLPz_q6uS1, 5695922]
[unordered-list, [84.0, 960.5, 1443.0, 52.5], pLPz_q6uS1, 5695922]
[unordered-list, [84.0, 1013.0, 1443.0, 52.5], pLPz_q6uS1, 5695922]
[unordered-list, [84.0, 1065.5, 1443.0, 52.5], pLPz_q6uS1, 5695922]
[unordered-list, [84.0, 1118.0, 1443.0, 52.5], pLPz_q6uS1, 5695922]
[unordered-list, [84.0, 1170.5, 1443.0, 52.5], pLPz_q6uS1, 5695922]
[unordered-list, [84.0, 1223.0, 1443.0, 52.5], pLPz_q6uS1, 5695922]
[unordered-list, [84.0, 1275.5, 1443.0, 52.5], pLPz_q6uS1, 5695922]
[unordered-list, [84.0, 1328.0, 1443.0, 52.5], pLPz_q6uS1, 5695922]
[unordered-list, [84.0, 1380.5, 1443.0, 52.5], pLPz_q6uS1, 5695922]
[unordered-list, [84.0, 1433.0, 1443.0, 52.5], pLPz_q6uS1, 5695922]
[unordered-list, [84.0, 1485.5, 1443.0, 52.5], pLPz_q6uS1, 5695922]
[unordered-list, [84.0, 1538.0, 1443.0, 52.5], pLPz_q6uS1, 5695922]
[unordered-list, [84.0, 1590.5, 1443.0, 52.5], pLPz_q6uS1, 5695922]
[unordered-list, [84.0, 1643.0, 1443.0, 52.5], pLPz_q6uS1, 5695922]
[unordered-list, [84.0, 1695.5, 1443.0, 52.5], pLPz_q6uS1, 5695922]
[unordered-list, [84.0, 1748.0, 1443.0, 52.5], pLPz_q6uS1, 5695922]
[unordered-list, [84.0, 1800.5, 1443.0, 52.5], pLPz_q6uS1, 5695922]
[unordered-list, [84.0, 1853.0, 1443.0, 52.5], pLPz_q6uS1, 5695922]
[unordered-list, [84.0, 1905.5, 1443.0, 52.5], pLPz_q6uS1, 5695922]
[unordered-list, [84.0, 1958.0, 1443.0, 52.5], pLPz_q6uS1, 5695922]
[unordered-list, [84.0, 2010.5, 1443.0, 52.5], pLPz_q6uS1, 5695922]
[unordered-list, [84.0, 2063.0, 1443.0, 52.5], pLPz_q6uS1, 5695922]
[unordered-list, [84.0, 2115.5, 1443.0, 52.5], pLPz_q6uS1, 5695922]
[unordered-list, [84.0, 2168.0, 1443.0, 52.5], pLPz_q6uS1, 5695922]
[unordered-list, [84.0, 2220.5, 1443.0, 52.5], pLPz_q6uS1, 5695922]
[unordered-list, [84.0, 2273.0, 1443.0, 52.5], pLPz_q6uS1, 5695922]
[folio, [1363.0, 2416.0, 1228.0, 52.5], 8U6w907WPV, 5695922]
[folio, [1363.0, 2468.5, 1228.0, 52.5], 8U6w907WPV, 5695922]
[folio, [1363.0, 2521.0, 1228.0, 52.5], 8U6w907WPV, 5695922]
