[1723, 1092]
[contact-info, [128.0, 99.0, 856.0, 36.0], rv7_CuczzA, 5680724]
[contact-info, [128.0, 135.0, 856.0, 36.0], rv7_CuczzA, 5680724]
[contact-info, [128.0, 171.0, 856.0, 36.0], rv7_CuczzA, 5680724]
[contact-info, [128.0, 207.0, 856.0, 36.0], rv7_CuczzA, 5680724]
[paragraph, [121.0, 252.0, 858.0, 36.0], KmpEOFMi7T, 5680724]
[paragraph, [121.0, 288.0, 858.0, 36.0], KmpEOFMi7T, 5680724]
[paragraph, [121.0, 324.0, 858.0, 36.0], KmpEOFMi7T, 5680724]
[paragraph, [121.0, 360.0, 858.0, 36.0], KmpEOFMi7T, 5680724]
[ordered-list, [130.0, 437.0, 853.0, 36.0], Efg9c6G7CI, 5680724]
[ordered-list, [130.0, 473.0, 853.0, 36.0], Efg9c6G7CI, 5680724]
[ordered-list, [130.0, 509.0, 853.0, 36.0], Efg9c6G7CI, 5680724]
[ordered-list, [130.0, 545.0, 853.0, 36.0], Efg9c6G7CI, 5680724]
[ordered-list, [130.0, 581.0, 853.0, 36.0], Efg9c6G7CI, 5680724]
[contact-info, [189.0, 623.0, 373.0, 36.0], YC6BaKI4-1, 5680724]
[contact-info, [189.0, 659.0, 373.0, 36.0], YC6BaKI4-1, 5680724]
[contact-info, [189.0, 695.0, 373.0, 36.0], YC6BaKI4-1, 5680724]
[contact-info, [638.0, 653.0, 351.0, 36.0], mwt35Gv2nO, 5680724]
[contact-info, [638.0, 689.0, 351.0, 36.0], mwt35Gv2nO, 5680724]
[unordered-list, [128.0, 758.0, 860.0, 36.0], Qv3lNhDpo0, 5680724]
[unordered-list, [128.0, 794.0, 860.0, 36.0], Qv3lNhDpo0, 5680724]
[unordered-list, [128.0, 830.0, 860.0, 36.0], Qv3lNhDpo0, 5680724]
[unordered-list, [128.0, 866.0, 860.0, 36.0], Qv3lNhDpo0, 5680724]
[unordered-list, [128.0, 902.0, 860.0, 36.0], Qv3lNhDpo0, 5680724]
[unordered-list, [128.0, 938.0, 860.0, 36.0], Qv3lNhDpo0, 5680724]
[unordered-list, [128.0, 974.0, 860.0, 36.0], Qv3lNhDpo0, 5680724]
[unordered-list, [128.0, 1010.0, 860.0, 36.0], Qv3lNhDpo0, 5680724]
[unordered-list, [128.0, 1046.0, 860.0, 36.0], Qv3lNhDpo0, 5680724]
[unordered-list, [128.0, 1082.0, 860.0, 36.0], Qv3lNhDpo0, 5680724]
[unordered-list, [128.0, 1118.0, 860.0, 36.0], Qv3lNhDpo0, 5680724]
[unordered-list, [128.0, 1154.0, 860.0, 36.0], Qv3lNhDpo0, 5680724]
[unordered-list, [128.0, 1190.0, 860.0, 36.0], Qv3lNhDpo0, 5680724]
[unordered-list, [128.0, 1226.0, 860.0, 36.0], Qv3lNhDpo0, 5680724]
[unordered-list, [128.0, 1262.0, 860.0, 36.0], Qv3lNhDpo0, 5680724]
[unordered-list, [128.0, 1298.0, 860.0, 36.0], Qv3lNhDpo0, 5680724]
[unordered-list, [128.0, 1334.0, 860.0, 36.0], Qv3lNhDpo0, 5680724]
[unordered-list, [128.0, 1370.0, 860.0, 36.0], Qv3lNhDpo0, 5680724]
[unordered-list, [128.0, 1406.0, 860.0, 36.0], Qv3lNhDpo0, 5680724]
[unordered-list, [128.0, 1442.0, 860.0, 36.0], Qv3lNhDpo0, 5680724]
[unordered-list, [128.0, 1478.0, 860.0, 36.0], Qv3lNhDpo0, 5680724]
[unordered-list, [128.0, 1514.0, 860.0, 36.0], Qv3lNhDpo0, 5680724]
[folio, [479.0, 1586.0, 135.0, 36.0], shoonya_0s7TABSDYFY9T2, 5680724]
