[792, 612]
[folio, [268.0, 50.0, 119.0, 18.0], 4m1b4UKiVj, 6494446]
[paragraph, [185.0, 77.0, 277.0, 18.0], Z2lpKwc1hq, 6494446]
[paragraph, [185.0, 95.0, 277.0, 18.0], Z2lpKwc1hq, 6494446]
[paragraph, [185.0, 113.0, 277.0, 18.0], Z2lpKwc1hq, 6494446]
[paragraph, [185.0, 131.0, 277.0, 18.0], Z2lpKwc1hq, 6494446]
[paragraph, [185.0, 149.0, 277.0, 18.0], Z2lpKwc1hq, 6494446]
[paragraph, [185.0, 167.0, 277.0, 18.0], Z2lpKwc1hq, 6494446]
[paragraph, [185.0, 185.0, 277.0, 18.0], Z2lpKwc1hq, 6494446]
[paragraph, [185.0, 203.0, 277.0, 18.0], Z2lpKwc1hq, 6494446]
[paragraph, [185.0, 221.0, 277.0, 18.0], Z2lpKwc1hq, 6494446]
[paragraph, [185.0, 239.0, 277.0, 18.0], Z2lpKwc1hq, 6494446]
[paragraph, [185.0, 257.0, 277.0, 18.0], Z2lpKwc1hq, 6494446]
[paragraph, [185.0, 275.0, 277.0, 18.0], Z2lpKwc1hq, 6494446]
[paragraph, [185.0, 293.0, 277.0, 18.0], Z2lpKwc1hq, 6494446]
[paragraph, [181.0, 322.0, 187.0, 18.0], 5_2fHMjMVQ, 6494446]
[paragraph, [181.0, 340.0, 187.0, 18.0], 5_2fHMjMVQ, 6494446]
[paragraph, [181.0, 358.0, 187.0, 18.0], 5_2fHMjMVQ, 6494446]
[paragraph, [181.0, 376.0, 187.0, 18.0], 5_2fHMjMVQ, 6494446]
[paragraph, [181.0, 394.0, 187.0, 18.0], 5_2fHMjMVQ, 6494446]
[paragraph, [181.0, 412.0, 187.0, 18.0], 5_2fHMjMVQ, 6494446]
[paragraph, [181.0, 430.0, 187.0, 18.0], 5_2fHMjMVQ, 6494446]
[paragraph, [181.0, 448.0, 187.0, 18.0], 5_2fHMjMVQ, 6494446]
[paragraph, [178.0, 474.0, 153.0, 18.0], tItqEoh1Xv, 6494446]
[paragraph, [178.0, 492.0, 153.0, 18.0], tItqEoh1Xv, 6494446]
[paragraph, [178.0, 510.0, 153.0, 18.0], tItqEoh1Xv, 6494446]
[paragraph, [178.0, 528.0, 153.0, 18.0], tItqEoh1Xv, 6494446]
[paragraph, [178.0, 546.0, 153.0, 18.0], tItqEoh1Xv, 6494446]
[paragraph, [178.0, 564.0, 153.0, 18.0], tItqEoh1Xv, 6494446]
[paragraph, [178.0, 582.0, 153.0, 18.0], tItqEoh1Xv, 6494446]
[paragraph, [178.0, 600.0, 153.0, 18.0], tItqEoh1Xv, 6494446]
[paragraph, [178.0, 618.0, 153.0, 18.0], tItqEoh1Xv, 6494446]
[paragraph, [178.0, 636.0, 153.0, 18.0], tItqEoh1Xv, 6494446]
[paragraph, [178.0, 654.0, 153.0, 18.0], tItqEoh1Xv, 6494446]
[paragraph, [178.0, 672.0, 153.0, 18.0], tItqEoh1Xv, 6494446]
[paragraph, [178.0, 690.0, 153.0, 18.0], tItqEoh1Xv, 6494446]
