[3968, 2806]
[section-title, [1753.0, 445.0, 430.0, 93.0], shoonya_1sDMXU5VSDH4QL, 5684367]
[section-title, [421.0, 455.0, 556.0, 93.0], shoonya_0s257K3EGLMUQM, 5684367]
[paragraph, [1746.0, 718.0, 452.0, 52.5], ogsxZRQixO, 5684367]
[paragraph, [1746.0, 770.5, 452.0, 52.5], ogsxZRQixO, 5684367]
[paragraph, [349.0, 727.0, 801.0, 52.5], shoonya_2s5TVF2RR1SRCB, 5684367]
[paragraph, [349.0, 779.5, 801.0, 52.5], shoonya_2s5TVF2RR1SRCB, 5684367]
[paragraph, [349.0, 832.0, 801.0, 52.5], shoonya_2s5TVF2RR1SRCB, 5684367]
[paragraph, [349.0, 884.5, 801.0, 52.5], shoonya_2s5TVF2RR1SRCB, 5684367]
[paragraph, [349.0, 937.0, 801.0, 52.5], shoonya_2s5TVF2RR1SRCB, 5684367]
[paragraph, [349.0, 989.5, 801.0, 52.5], shoonya_2s5TVF2RR1SRCB, 5684367]
[paragraph, [349.0, 1042.0, 801.0, 52.5], shoonya_2s5TVF2RR1SRCB, 5684367]
[paragraph, [349.0, 1094.5, 801.0, 52.5], shoonya_2s5TVF2RR1SRCB, 5684367]
[paragraph, [349.0, 1147.0, 801.0, 52.5], shoonya_2s5TVF2RR1SRCB, 5684367]
[paragraph, [349.0, 1199.5, 801.0, 52.5], shoonya_2s5TVF2RR1SRCB, 5684367]
[paragraph, [349.0, 1252.0, 801.0, 52.5], shoonya_2s5TVF2RR1SRCB, 5684367]
[paragraph, [349.0, 1304.5, 801.0, 52.5], shoonya_2s5TVF2RR1SRCB, 5684367]
[paragraph, [349.0, 1357.0, 801.0, 52.5], shoonya_2s5TVF2RR1SRCB, 5684367]
[paragraph, [349.0, 1409.5, 801.0, 52.5], shoonya_2s5TVF2RR1SRCB, 5684367]
[contact-info, [238.0, 2654.0, 2287.0, 52.5], c1VBA9yLKa, 5684367]
[contact-info, [238.0, 2706.5, 2287.0, 52.5], c1VBA9yLKa, 5684367]
[contact-info, [238.0, 2759.0, 2287.0, 52.5], c1VBA9yLKa, 5684367]
[contact-info, [238.0, 2811.5, 2287.0, 52.5], c1VBA9yLKa, 5684367]
[contact-info, [238.0, 2864.0, 2287.0, 52.5], c1VBA9yLKa, 5684367]
[contact-info, [238.0, 2916.5, 2287.0, 52.5], c1VBA9yLKa, 5684367]
[contact-info, [238.0, 2969.0, 2287.0, 52.5], c1VBA9yLKa, 5684367]
[website-link, [324.0, 2723.0, 2158.0, 18.0], nxqJMRYyRo, 5684367]
[website-link, [324.0, 2741.0, 2158.0, 18.0], nxqJMRYyRo, 5684367]
[website-link, [324.0, 2759.0, 2158.0, 18.0], nxqJMRYyRo, 5684367]
[website-link, [324.0, 2777.0, 2158.0, 18.0], nxqJMRYyRo, 5684367]
[website-link, [324.0, 2795.0, 2158.0, 18.0], nxqJMRYyRo, 5684367]
[website-link, [324.0, 2813.0, 2158.0, 18.0], nxqJMRYyRo, 5684367]
[website-link, [324.0, 2831.0, 2158.0, 18.0], nxqJMRYyRo, 5684367]
[website-link, [324.0, 2849.0, 2158.0, 18.0], nxqJMRYyRo, 5684367]
[folio, [412.0, 3743.0, 699.0, 52.5], BY0DG7Jd2o, 5684367]
