[842, 596]
[chapter-title, [199.0, 38.0, 340.0, 30.0], QLeKsmPKUM, 5701176]
[paragraph, [51.0, 126.0, 490.0, 18.0], shoonya_1sP8Q6S45YMJVT, 5701176]
[paragraph, [51.0, 144.0, 490.0, 18.0], shoonya_1sP8Q6S45YMJVT, 5701176]
[paragraph, [51.0, 162.0, 490.0, 18.0], shoonya_1sP8Q6S45YMJVT, 5701176]
[paragraph, [51.0, 180.0, 490.0, 18.0], shoonya_1sP8Q6S45YMJVT, 5701176]
[paragraph, [51.0, 198.0, 490.0, 18.0], shoonya_1sP8Q6S45YMJVT, 5701176]
[paragraph, [53.0, 545.0, 490.0, 18.0], shoonya_2sEDOTF29M4ZL0, 5701176]
[paragraph, [53.0, 563.0, 490.0, 18.0], shoonya_2sEDOTF29M4ZL0, 5701176]
[paragraph, [53.0, 581.0, 490.0, 18.0], shoonya_2sEDOTF29M4ZL0, 5701176]
[paragraph, [53.0, 599.0, 490.0, 18.0], shoonya_2sEDOTF29M4ZL0, 5701176]
[footnote, [189.0, 641.0, 324.0, 18.0], shoonya_4s1QUREM4J11HB, 5701176]
[footnote, [189.0, 659.0, 324.0, 18.0], shoonya_4s1QUREM4J11HB, 5701176]
[footnote, [189.0, 677.0, 324.0, 18.0], shoonya_4s1QUREM4J11HB, 5701176]
