[515, 727]
[paragraph, [433.0, 44.0, 266.0, 18.0], ksCg5ab5IU, 6533046]
[paragraph, [433.0, 62.0, 266.0, 18.0], ksCg5ab5IU, 6533046]
[paragraph, [433.0, 80.0, 266.0, 18.0], ksCg5ab5IU, 6533046]
[paragraph, [433.0, 98.0, 266.0, 18.0], ksCg5ab5IU, 6533046]
[paragraph, [433.0, 116.0, 266.0, 18.0], ksCg5ab5IU, 6533046]
[paragraph, [433.0, 134.0, 266.0, 18.0], ksCg5ab5IU, 6533046]
[paragraph, [433.0, 152.0, 266.0, 18.0], ksCg5ab5IU, 6533046]
[paragraph, [433.0, 170.0, 266.0, 18.0], ksCg5ab5IU, 6533046]
[paragraph, [145.0, 65.0, 264.0, 18.0], shoonya_0s2SBMGERPO4BK, 6533046]
[paragraph, [145.0, 83.0, 264.0, 18.0], shoonya_0s2SBMGERPO4BK, 6533046]
[paragraph, [145.0, 101.0, 264.0, 18.0], shoonya_0s2SBMGERPO4BK, 6533046]
[paragraph, [145.0, 119.0, 264.0, 18.0], shoonya_0s2SBMGERPO4BK, 6533046]
[paragraph, [145.0, 137.0, 264.0, 18.0], shoonya_0s2SBMGERPO4BK, 6533046]
[paragraph, [145.0, 155.0, 264.0, 18.0], shoonya_0s2SBMGERPO4BK, 6533046]
[paragraph, [145.0, 173.0, 264.0, 18.0], shoonya_0s2SBMGERPO4BK, 6533046]
[paragraph, [145.0, 191.0, 264.0, 18.0], shoonya_0s2SBMGERPO4BK, 6533046]
[paragraph, [145.0, 209.0, 264.0, 18.0], shoonya_0s2SBMGERPO4BK, 6533046]
[paragraph, [145.0, 227.0, 264.0, 18.0], shoonya_0s2SBMGERPO4BK, 6533046]
[paragraph, [145.0, 245.0, 264.0, 18.0], shoonya_0s2SBMGERPO4BK, 6533046]
[paragraph, [145.0, 263.0, 264.0, 18.0], shoonya_0s2SBMGERPO4BK, 6533046]
[paragraph, [145.0, 281.0, 264.0, 18.0], shoonya_0s2SBMGERPO4BK, 6533046]
[paragraph, [145.0, 299.0, 264.0, 18.0], shoonya_0s2SBMGERPO4BK, 6533046]
[paragraph, [145.0, 317.0, 264.0, 18.0], shoonya_0s2SBMGERPO4BK, 6533046]
[paragraph, [145.0, 335.0, 264.0, 18.0], shoonya_0s2SBMGERPO4BK, 6533046]
[paragraph, [437.0, 207.0, 263.0, 18.0], 7Exu5VyruZ, 6533046]
[paragraph, [437.0, 225.0, 263.0, 18.0], 7Exu5VyruZ, 6533046]
[paragraph, [437.0, 243.0, 263.0, 18.0], 7Exu5VyruZ, 6533046]
[paragraph, [437.0, 261.0, 263.0, 18.0], 7Exu5VyruZ, 6533046]
[paragraph, [439.0, 293.0, 260.0, 18.0], YBSQYTliqe, 6533046]
[paragraph, [439.0, 311.0, 260.0, 18.0], YBSQYTliqe, 6533046]
[paragraph, [439.0, 329.0, 260.0, 18.0], YBSQYTliqe, 6533046]
[paragraph, [439.0, 347.0, 260.0, 18.0], YBSQYTliqe, 6533046]
[paragraph, [439.0, 365.0, 260.0, 18.0], YBSQYTliqe, 6533046]
[paragraph, [146.0, 371.0, 261.0, 18.0], QNcDSdbuEb, 6533046]
[paragraph, [146.0, 389.0, 261.0, 18.0], QNcDSdbuEb, 6533046]
[paragraph, [461.0, 412.0, 241.0, 18.0], rCUbUW1rDj, 6533046]
[paragraph, [145.0, 414.0, 261.0, 18.0], LKmuu_6GP6, 6533046]
[paragraph, [145.0, 432.0, 261.0, 18.0], LKmuu_6GP6, 6533046]
