[1545, 2000]
[chapter-title, [1313.0, 0.0, 686.0, 58.5], fTfr5aInYD, 6513891]
[chapter-title, [1313.0, 58.5, 686.0, 58.5], fTfr5aInYD, 6513891]
[chapter-title, [1313.0, 117.0, 686.0, 58.5], fTfr5aInYD, 6513891]
[chapter-title, [1313.0, 175.5, 686.0, 58.5], fTfr5aInYD, 6513891]
[chapter-title, [1313.0, 234.0, 686.0, 58.5], fTfr5aInYD, 6513891]
[chapter-title, [1313.0, 292.5, 686.0, 58.5], fTfr5aInYD, 6513891]
[headline, [695.0, 141.0, 560.0, 37.5], shoonya_5sH7703GHEXKAB, 6513891]
[headline, [695.0, 178.5, 560.0, 37.5], shoonya_5sH7703GHEXKAB, 6513891]
[headline, [695.0, 216.0, 560.0, 37.5], shoonya_5sH7703GHEXKAB, 6513891]
[headline, [695.0, 253.5, 560.0, 37.5], shoonya_5sH7703GHEXKAB, 6513891]
[headline, [695.0, 291.0, 560.0, 37.5], shoonya_5sH7703GHEXKAB, 6513891]
[section-title, [115.0, 177.0, 439.0, 49.5], TwcObXtIwQ, 6513891]
[section-title, [115.0, 226.5, 439.0, 49.5], TwcObXtIwQ, 6513891]
[section-title, [115.0, 276.0, 439.0, 49.5], TwcObXtIwQ, 6513891]
[section-title, [115.0, 325.5, 439.0, 49.5], TwcObXtIwQ, 6513891]
[headline, [1366.0, 428.0, 454.0, 37.5], shoonya_4sGXKOZ8A6NSEW, 6513891]
[headline, [1366.0, 465.5, 454.0, 37.5], shoonya_4sGXKOZ8A6NSEW, 6513891]
[headline, [1366.0, 503.0, 454.0, 37.5], shoonya_4sGXKOZ8A6NSEW, 6513891]
[headline, [1366.0, 540.5, 454.0, 37.5], shoonya_4sGXKOZ8A6NSEW, 6513891]
[headline, [1366.0, 578.0, 454.0, 37.5], shoonya_4sGXKOZ8A6NSEW, 6513891]
[headline, [1366.0, 615.5, 454.0, 37.5], shoonya_4sGXKOZ8A6NSEW, 6513891]
[paragraph, [674.0, 459.0, 601.0, 36.0], 0ysWyUQf5N, 6513891]
[paragraph, [674.0, 495.0, 601.0, 36.0], 0ysWyUQf5N, 6513891]
[paragraph, [674.0, 531.0, 601.0, 36.0], 0ysWyUQf5N, 6513891]
[paragraph, [674.0, 567.0, 601.0, 36.0], 0ysWyUQf5N, 6513891]
[paragraph, [674.0, 603.0, 601.0, 36.0], 0ysWyUQf5N, 6513891]
[unordered-list, [44.0, 466.0, 582.0, 36.0], 9NbX213zvx, 6513891]
[unordered-list, [44.0, 502.0, 582.0, 36.0], 9NbX213zvx, 6513891]
[unordered-list, [44.0, 538.0, 582.0, 36.0], 9NbX213zvx, 6513891]
[unordered-list, [44.0, 574.0, 582.0, 36.0], 9NbX213zvx, 6513891]
[unordered-list, [44.0, 610.0, 582.0, 36.0], 9NbX213zvx, 6513891]
[unordered-list, [44.0, 646.0, 582.0, 36.0], 9NbX213zvx, 6513891]
[unordered-list, [44.0, 682.0, 582.0, 36.0], 9NbX213zvx, 6513891]
[unordered-list, [44.0, 718.0, 582.0, 36.0], 9NbX213zvx, 6513891]
[unordered-list, [44.0, 754.0, 582.0, 36.0], 9NbX213zvx, 6513891]
[unordered-list, [44.0, 790.0, 582.0, 36.0], 9NbX213zvx, 6513891]
[unordered-list, [44.0, 826.0, 582.0, 36.0], 9NbX213zvx, 6513891]
[unordered-list, [44.0, 862.0, 582.0, 36.0], 9NbX213zvx, 6513891]
[unordered-list, [44.0, 898.0, 582.0, 36.0], 9NbX213zvx, 6513891]
[unordered-list, [44.0, 934.0, 582.0, 36.0], 9NbX213zvx, 6513891]
[unordered-list, [44.0, 970.0, 582.0, 36.0], 9NbX213zvx, 6513891]
[paragraph, [1363.0, 698.0, 581.0, 36.0], shoonya_2s0RTMOMF1KSI9, 6513891]
[paragraph, [676.0, 833.0, 576.0, 36.0], SErQgMhaAb, 6513891]
[paragraph, [676.0, 869.0, 576.0, 36.0], SErQgMhaAb, 6513891]
[paragraph, [676.0, 905.0, 576.0, 36.0], SErQgMhaAb, 6513891]
[paragraph, [676.0, 941.0, 576.0, 36.0], SErQgMhaAb, 6513891]
[section-title, [1373.0, 861.0, 182.0, 49.5], G21cjtgGmL, 6513891]
[paragraph, [684.0, 1220.0, 549.0, 36.0], N-pa4HQnIb, 6513891]
[paragraph, [684.0, 1256.0, 549.0, 36.0], N-pa4HQnIb, 6513891]
[paragraph, [684.0, 1292.0, 549.0, 36.0], N-pa4HQnIb, 6513891]
[paragraph, [684.0, 1328.0, 549.0, 36.0], N-pa4HQnIb, 6513891]
