[2068, 1551]
[folio, [107.0, 46.0, 426.0, 36.0], cPKtFZ1Lh4, 5712336]
[paragraph, [780.0, 109.0, 731.0, 36.0], shoonya_8sSQS311EROA7J, 5712336]
[paragraph, [780.0, 145.0, 731.0, 36.0], shoonya_8sSQS311EROA7J, 5712336]
[paragraph, [784.0, 187.0, 723.0, 36.0], shoonya_1sP9ODQUS22GWH, 5712336]
[paragraph, [784.0, 223.0, 723.0, 36.0], shoonya_1sP9ODQUS22GWH, 5712336]
[paragraph, [784.0, 259.0, 723.0, 36.0], shoonya_1sP9ODQUS22GWH, 5712336]
[paragraph, [784.0, 295.0, 723.0, 36.0], shoonya_1sP9ODQUS22GWH, 5712336]
[paragraph, [784.0, 331.0, 723.0, 36.0], shoonya_1sP9ODQUS22GWH, 5712336]
[paragraph, [784.0, 367.0, 723.0, 36.0], shoonya_1sP9ODQUS22GWH, 5712336]
[paragraph, [784.0, 403.0, 723.0, 36.0], shoonya_1sP9ODQUS22GWH, 5712336]
[paragraph, [784.0, 439.0, 723.0, 36.0], shoonya_1sP9ODQUS22GWH, 5712336]
[paragraph, [784.0, 475.0, 723.0, 36.0], shoonya_1sP9ODQUS22GWH, 5712336]
[paragraph, [784.0, 511.0, 723.0, 36.0], shoonya_1sP9ODQUS22GWH, 5712336]
[paragraph, [784.0, 547.0, 723.0, 36.0], shoonya_1sP9ODQUS22GWH, 5712336]
[paragraph, [784.0, 583.0, 723.0, 36.0], shoonya_1sP9ODQUS22GWH, 5712336]
[paragraph, [784.0, 619.0, 723.0, 36.0], shoonya_1sP9ODQUS22GWH, 5712336]
[paragraph, [784.0, 655.0, 723.0, 36.0], shoonya_1sP9ODQUS22GWH, 5712336]
[paragraph, [784.0, 691.0, 723.0, 36.0], shoonya_1sP9ODQUS22GWH, 5712336]
[paragraph, [784.0, 727.0, 723.0, 36.0], shoonya_1sP9ODQUS22GWH, 5712336]
[paragraph, [784.0, 763.0, 723.0, 36.0], shoonya_1sP9ODQUS22GWH, 5712336]
[paragraph, [784.0, 799.0, 723.0, 36.0], shoonya_1sP9ODQUS22GWH, 5712336]
[paragraph, [784.0, 835.0, 723.0, 36.0], shoonya_1sP9ODQUS22GWH, 5712336]
[contact-info, [64.0, 195.0, 706.0, 36.0], 7KbdkmBFVY, 5712336]
[contact-info, [64.0, 231.0, 706.0, 36.0], 7KbdkmBFVY, 5712336]
[section-title, [140.0, 301.0, 524.0, 52.5], r1C5ZErg7D, 5712336]
[paragraph, [317.0, 384.0, 469.0, 36.0], shoonya_6sE9D4E1MMUYP6, 5712336]
[paragraph, [317.0, 420.0, 469.0, 36.0], shoonya_6sE9D4E1MMUYP6, 5712336]
[paragraph, [317.0, 456.0, 469.0, 36.0], shoonya_6sE9D4E1MMUYP6, 5712336]
[paragraph, [317.0, 492.0, 469.0, 36.0], shoonya_6sE9D4E1MMUYP6, 5712336]
[paragraph, [317.0, 528.0, 469.0, 36.0], shoonya_6sE9D4E1MMUYP6, 5712336]
[paragraph, [317.0, 564.0, 469.0, 36.0], shoonya_6sE9D4E1MMUYP6, 5712336]
[paragraph, [317.0, 600.0, 469.0, 36.0], shoonya_6sE9D4E1MMUYP6, 5712336]
[paragraph, [317.0, 636.0, 469.0, 36.0], shoonya_6sE9D4E1MMUYP6, 5712336]
[paragraph, [312.0, 682.0, 467.0, 36.0], MZZySqht9C, 5712336]
[paragraph, [312.0, 718.0, 467.0, 36.0], MZZySqht9C, 5712336]
[paragraph, [58.0, 755.0, 728.0, 36.0], shoonya_0sDRXL3L8UUCBC, 5712336]
[paragraph, [58.0, 791.0, 728.0, 36.0], shoonya_0sDRXL3L8UUCBC, 5712336]
[paragraph, [58.0, 827.0, 728.0, 36.0], shoonya_0sDRXL3L8UUCBC, 5712336]
[paragraph, [58.0, 863.0, 728.0, 36.0], shoonya_0sDRXL3L8UUCBC, 5712336]
[paragraph, [58.0, 899.0, 728.0, 36.0], shoonya_0sDRXL3L8UUCBC, 5712336]
[paragraph, [58.0, 935.0, 728.0, 36.0], shoonya_0sDRXL3L8UUCBC, 5712336]
[paragraph, [58.0, 971.0, 728.0, 36.0], shoonya_0sDRXL3L8UUCBC, 5712336]
[paragraph, [58.0, 1007.0, 728.0, 36.0], shoonya_0sDRXL3L8UUCBC, 5712336]
[paragraph, [58.0, 1043.0, 728.0, 36.0], shoonya_0sDRXL3L8UUCBC, 5712336]
[paragraph, [58.0, 1079.0, 728.0, 36.0], shoonya_0sDRXL3L8UUCBC, 5712336]
[paragraph, [58.0, 1115.0, 728.0, 36.0], shoonya_0sDRXL3L8UUCBC, 5712336]
[paragraph, [58.0, 1151.0, 728.0, 36.0], shoonya_0sDRXL3L8UUCBC, 5712336]
[paragraph, [58.0, 1187.0, 728.0, 36.0], shoonya_0sDRXL3L8UUCBC, 5712336]
[paragraph, [58.0, 1223.0, 728.0, 36.0], shoonya_0sDRXL3L8UUCBC, 5712336]
[paragraph, [58.0, 1259.0, 728.0, 36.0], shoonya_0sDRXL3L8UUCBC, 5712336]
[paragraph, [58.0, 1295.0, 728.0, 36.0], shoonya_0sDRXL3L8UUCBC, 5712336]
[paragraph, [58.0, 1331.0, 728.0, 36.0], shoonya_0sDRXL3L8UUCBC, 5712336]
[paragraph, [58.0, 1367.0, 728.0, 36.0], shoonya_0sDRXL3L8UUCBC, 5712336]
[paragraph, [58.0, 1403.0, 728.0, 36.0], shoonya_0sDRXL3L8UUCBC, 5712336]
[paragraph, [58.0, 1439.0, 728.0, 36.0], shoonya_0sDRXL3L8UUCBC, 5712336]
[paragraph, [58.0, 1475.0, 728.0, 36.0], shoonya_0sDRXL3L8UUCBC, 5712336]
[paragraph, [796.0, 887.0, 716.0, 36.0], shoonya_3sC046DN4MIR1Q, 5712336]
[paragraph, [796.0, 923.0, 716.0, 36.0], shoonya_3sC046DN4MIR1Q, 5712336]
[folio, [1281.0, 995.0, 215.0, 36.0], t8drN3imLn, 5712336]
[contact-info, [801.0, 1048.0, 704.0, 36.0], FLzkneGSkK, 5712336]
[contact-info, [801.0, 1084.0, 704.0, 36.0], FLzkneGSkK, 5712336]
[section-title, [811.0, 1152.0, 620.0, 52.5], -J4ARBQaUj, 5712336]
[paragraph, [1024.0, 1216.0, 497.0, 36.0], e4LR7UysPw, 5712336]
[paragraph, [1024.0, 1252.0, 497.0, 36.0], e4LR7UysPw, 5712336]
[paragraph, [1024.0, 1288.0, 497.0, 36.0], e4LR7UysPw, 5712336]
[paragraph, [1024.0, 1324.0, 497.0, 36.0], e4LR7UysPw, 5712336]
[paragraph, [1024.0, 1360.0, 497.0, 36.0], e4LR7UysPw, 5712336]
[paragraph, [1024.0, 1396.0, 497.0, 36.0], e4LR7UysPw, 5712336]
[paragraph, [1024.0, 1432.0, 497.0, 36.0], e4LR7UysPw, 5712336]
[paragraph, [1024.0, 1468.0, 497.0, 36.0], e4LR7UysPw, 5712336]
[paragraph, [1024.0, 1504.0, 497.0, 36.0], e4LR7UysPw, 5712336]
[paragraph, [1024.0, 1540.0, 497.0, 36.0], e4LR7UysPw, 5712336]
[paragraph, [60.0, 1543.0, 723.0, 36.0], shoonya_2sCXSDROJ1KWRQ, 5712336]
[paragraph, [60.0, 1579.0, 723.0, 36.0], shoonya_2sCXSDROJ1KWRQ, 5712336]
[paragraph, [60.0, 1615.0, 723.0, 36.0], shoonya_2sCXSDROJ1KWRQ, 5712336]
[paragraph, [60.0, 1651.0, 723.0, 36.0], shoonya_2sCXSDROJ1KWRQ, 5712336]
[paragraph, [60.0, 1687.0, 723.0, 36.0], shoonya_2sCXSDROJ1KWRQ, 5712336]
[paragraph, [60.0, 1723.0, 723.0, 36.0], shoonya_2sCXSDROJ1KWRQ, 5712336]
