[2084, 1289]
[paragraph, [128.0, 263.0, 1032.0, 36.0], shoonya_0sGLQW3AVWSD2J, 5660560]
[paragraph, [128.0, 299.0, 1032.0, 36.0], shoonya_0sGLQW3AVWSD2J, 5660560]
[paragraph, [128.0, 335.0, 1032.0, 36.0], shoonya_0sGLQW3AVWSD2J, 5660560]
[paragraph, [128.0, 371.0, 1032.0, 36.0], shoonya_0sGLQW3AVWSD2J, 5660560]
[paragraph, [128.0, 407.0, 1032.0, 36.0], shoonya_0sGLQW3AVWSD2J, 5660560]
[paragraph, [128.0, 443.0, 1032.0, 36.0], shoonya_0sGLQW3AVWSD2J, 5660560]
[paragraph, [128.0, 479.0, 1032.0, 36.0], shoonya_0sGLQW3AVWSD2J, 5660560]
[paragraph, [128.0, 515.0, 1032.0, 36.0], shoonya_0sGLQW3AVWSD2J, 5660560]
[paragraph, [128.0, 551.0, 1032.0, 36.0], shoonya_0sGLQW3AVWSD2J, 5660560]
[paragraph, [128.0, 587.0, 1032.0, 36.0], shoonya_0sGLQW3AVWSD2J, 5660560]
[paragraph, [128.0, 623.0, 1032.0, 36.0], shoonya_0sGLQW3AVWSD2J, 5660560]
[paragraph, [128.0, 659.0, 1032.0, 36.0], shoonya_0sGLQW3AVWSD2J, 5660560]
[paragraph, [128.0, 695.0, 1032.0, 36.0], shoonya_0sGLQW3AVWSD2J, 5660560]
[paragraph, [128.0, 731.0, 1032.0, 36.0], shoonya_0sGLQW3AVWSD2J, 5660560]
[paragraph, [128.0, 767.0, 1032.0, 36.0], shoonya_0sGLQW3AVWSD2J, 5660560]
[paragraph, [128.0, 803.0, 1032.0, 36.0], shoonya_0sGLQW3AVWSD2J, 5660560]
[paragraph, [128.0, 839.0, 1032.0, 36.0], shoonya_0sGLQW3AVWSD2J, 5660560]
[paragraph, [128.0, 875.0, 1032.0, 36.0], shoonya_0sGLQW3AVWSD2J, 5660560]
[paragraph, [128.0, 911.0, 1032.0, 36.0], shoonya_0sGLQW3AVWSD2J, 5660560]
[paragraph, [130.0, 963.0, 1027.0, 36.0], shoonya_1sEM7SG74P5H1S, 5660560]
[paragraph, [130.0, 999.0, 1027.0, 36.0], shoonya_1sEM7SG74P5H1S, 5660560]
[paragraph, [130.0, 1035.0, 1027.0, 36.0], shoonya_1sEM7SG74P5H1S, 5660560]
[paragraph, [130.0, 1071.0, 1027.0, 36.0], shoonya_1sEM7SG74P5H1S, 5660560]
[paragraph, [130.0, 1107.0, 1027.0, 36.0], shoonya_1sEM7SG74P5H1S, 5660560]
[paragraph, [130.0, 1143.0, 1027.0, 36.0], shoonya_1sEM7SG74P5H1S, 5660560]
[paragraph, [129.0, 1214.0, 1028.0, 36.0], shoonya_2s3DYUA5Q2VNEE, 5660560]
[paragraph, [129.0, 1250.0, 1028.0, 36.0], shoonya_2s3DYUA5Q2VNEE, 5660560]
[paragraph, [129.0, 1286.0, 1028.0, 36.0], shoonya_2s3DYUA5Q2VNEE, 5660560]
[paragraph, [129.0, 1322.0, 1028.0, 36.0], shoonya_2s3DYUA5Q2VNEE, 5660560]
[paragraph, [129.0, 1358.0, 1028.0, 36.0], shoonya_2s3DYUA5Q2VNEE, 5660560]
[paragraph, [129.0, 1394.0, 1028.0, 36.0], shoonya_2s3DYUA5Q2VNEE, 5660560]
[paragraph, [129.0, 1430.0, 1028.0, 36.0], shoonya_2s3DYUA5Q2VNEE, 5660560]
[section-title, [527.0, 1488.0, 228.0, 52.5], TzDkPAhKsz, 5660560]
[sub-section-title, [410.0, 1565.0, 436.0, 55.5], Sv7XloZVm4, 5660560]
[paragraph, [126.0, 1627.0, 1034.0, 36.0], shoonya_3sPIS9KPRLPWLO, 5660560]
[paragraph, [126.0, 1663.0, 1034.0, 36.0], shoonya_3sPIS9KPRLPWLO, 5660560]
[paragraph, [126.0, 1699.0, 1034.0, 36.0], shoonya_3sPIS9KPRLPWLO, 5660560]
[paragraph, [126.0, 1735.0, 1034.0, 36.0], shoonya_3sPIS9KPRLPWLO, 5660560]
[paragraph, [126.0, 1771.0, 1034.0, 36.0], shoonya_3sPIS9KPRLPWLO, 5660560]
[paragraph, [126.0, 1807.0, 1034.0, 36.0], shoonya_3sPIS9KPRLPWLO, 5660560]
[paragraph, [126.0, 1843.0, 1034.0, 36.0], shoonya_3sPIS9KPRLPWLO, 5660560]
[folio, [632.0, 1936.0, 656.0, 36.0], shoonya_4sHQYV6NM33H4G, 5660560]
[folio, [632.0, 1972.0, 656.0, 36.0], shoonya_4sHQYV6NM33H4G, 5660560]
