[2481, 1654]
[folio, [1174.0, 88.0, 140.0, 36.0], PgwKhxlZ0A, 5721126]
[folio, [1174.0, 124.0, 140.0, 36.0], PgwKhxlZ0A, 5721126]
[paragraph, [161.0, 208.0, 1279.0, 36.0], I0bmUVWgr9, 5721126]
[paragraph, [161.0, 244.0, 1279.0, 36.0], I0bmUVWgr9, 5721126]
[paragraph, [161.0, 280.0, 1279.0, 36.0], I0bmUVWgr9, 5721126]
[paragraph, [161.0, 316.0, 1279.0, 36.0], I0bmUVWgr9, 5721126]
[paragraph, [219.0, 378.0, 663.0, 36.0], mve65Dr0ap, 5721126]
[paragraph, [157.0, 432.0, 1279.0, 36.0], ad9h1Ni-HI, 5721126]
[paragraph, [157.0, 468.0, 1279.0, 36.0], ad9h1Ni-HI, 5721126]
[paragraph, [157.0, 504.0, 1279.0, 36.0], ad9h1Ni-HI, 5721126]
[paragraph, [157.0, 546.0, 1285.0, 36.0], e7LS-nnR3a, 5721126]
[paragraph, [157.0, 582.0, 1285.0, 36.0], e7LS-nnR3a, 5721126]
[paragraph, [157.0, 618.0, 1285.0, 36.0], e7LS-nnR3a, 5721126]
[paragraph, [157.0, 654.0, 1285.0, 36.0], e7LS-nnR3a, 5721126]
[paragraph, [148.0, 703.0, 1294.0, 36.0], cb0gfMZVJ1, 5721126]
[paragraph, [148.0, 739.0, 1294.0, 36.0], cb0gfMZVJ1, 5721126]
[paragraph, [148.0, 775.0, 1294.0, 36.0], cb0gfMZVJ1, 5721126]
[paragraph, [148.0, 811.0, 1294.0, 36.0], cb0gfMZVJ1, 5721126]
[paragraph, [148.0, 847.0, 1294.0, 36.0], cb0gfMZVJ1, 5721126]
[paragraph, [140.0, 912.0, 1298.0, 36.0], OwDSOONiDA, 5721126]
[paragraph, [140.0, 948.0, 1298.0, 36.0], OwDSOONiDA, 5721126]
[paragraph, [140.0, 984.0, 1298.0, 36.0], OwDSOONiDA, 5721126]
[paragraph, [140.0, 1020.0, 1298.0, 36.0], OwDSOONiDA, 5721126]
[paragraph, [134.0, 1075.0, 1314.0, 36.0], fCpx-w1ZkB, 5721126]
[paragraph, [134.0, 1111.0, 1314.0, 36.0], fCpx-w1ZkB, 5721126]
[paragraph, [134.0, 1147.0, 1314.0, 36.0], fCpx-w1ZkB, 5721126]
[paragraph, [134.0, 1183.0, 1314.0, 36.0], fCpx-w1ZkB, 5721126]
[paragraph, [134.0, 1219.0, 1314.0, 36.0], fCpx-w1ZkB, 5721126]
[paragraph, [134.0, 1255.0, 1314.0, 36.0], fCpx-w1ZkB, 5721126]
[paragraph, [134.0, 1291.0, 1314.0, 36.0], fCpx-w1ZkB, 5721126]
[paragraph, [128.0, 1342.0, 1327.0, 36.0], ILG2JpUCXv, 5721126]
[paragraph, [128.0, 1378.0, 1327.0, 36.0], ILG2JpUCXv, 5721126]
[paragraph, [136.0, 1450.0, 1312.0, 36.0], X4q8L0FxlC, 5721126]
[paragraph, [136.0, 1486.0, 1312.0, 36.0], X4q8L0FxlC, 5721126]
[paragraph, [136.0, 1522.0, 1312.0, 36.0], X4q8L0FxlC, 5721126]
[paragraph, [136.0, 1558.0, 1312.0, 36.0], X4q8L0FxlC, 5721126]
[paragraph, [210.0, 1611.0, 260.0, 36.0], qrBXAkjSVe, 5721126]
[paragraph, [212.0, 1663.0, 969.0, 36.0], 0DloqgNdsg, 5721126]
[paragraph, [146.0, 1717.0, 1283.0, 36.0], Rz7IAD4W-R, 5721126]
[paragraph, [146.0, 1753.0, 1283.0, 36.0], Rz7IAD4W-R, 5721126]
[paragraph, [146.0, 1789.0, 1283.0, 36.0], Rz7IAD4W-R, 5721126]
[paragraph, [146.0, 1825.0, 1283.0, 36.0], Rz7IAD4W-R, 5721126]
[paragraph, [146.0, 1861.0, 1283.0, 36.0], Rz7IAD4W-R, 5721126]
[paragraph, [146.0, 1897.0, 1283.0, 36.0], Rz7IAD4W-R, 5721126]
[paragraph, [146.0, 1933.0, 1283.0, 36.0], Rz7IAD4W-R, 5721126]
[paragraph, [146.0, 1969.0, 1283.0, 36.0], Rz7IAD4W-R, 5721126]
[paragraph, [146.0, 2005.0, 1283.0, 36.0], Rz7IAD4W-R, 5721126]
[paragraph, [146.0, 2041.0, 1283.0, 36.0], Rz7IAD4W-R, 5721126]
[paragraph, [146.0, 2077.0, 1283.0, 36.0], Rz7IAD4W-R, 5721126]
[paragraph, [146.0, 2113.0, 1283.0, 36.0], Rz7IAD4W-R, 5721126]
[paragraph, [146.0, 2149.0, 1283.0, 36.0], Rz7IAD4W-R, 5721126]
