[3300, 2550]
[paragraph, [287.0, 290.0, 1967.0, 52.5], shoonya_3s21J5B7HFGX8Y, 5720472]
[figure-caption, [1310.0, 564.0, 940.0, 52.5], we19awd2BP, 5720472]
[figure-caption, [1310.0, 616.5, 940.0, 52.5], we19awd2BP, 5720472]
[figure-caption, [1310.0, 669.0, 940.0, 52.5], we19awd2BP, 5720472]
[figure-caption, [1310.0, 721.5, 940.0, 52.5], we19awd2BP, 5720472]
[figure-caption, [720.0, 969.0, 1517.0, 52.5], XXM2hYGc-6, 5720472]
[figure-caption, [720.0, 1021.5, 1517.0, 52.5], XXM2hYGc-6, 5720472]
[figure-caption, [720.0, 1074.0, 1517.0, 52.5], XXM2hYGc-6, 5720472]
[figure-caption, [720.0, 1126.5, 1517.0, 52.5], XXM2hYGc-6, 5720472]
[figure-caption, [981.0, 1351.0, 1271.0, 52.5], Jj2ByhDiw5, 5720472]
[paragraph, [281.0, 1971.0, 1993.0, 52.5], shoonya_1s8X4EETQX49HX, 5720472]
[paragraph, [281.0, 2023.5, 1993.0, 52.5], shoonya_1s8X4EETQX49HX, 5720472]
[paragraph, [281.0, 2076.0, 1993.0, 52.5], shoonya_1s8X4EETQX49HX, 5720472]
[paragraph, [281.0, 2128.5, 1993.0, 52.5], shoonya_1s8X4EETQX49HX, 5720472]
[paragraph, [281.0, 2181.0, 1993.0, 52.5], shoonya_1s8X4EETQX49HX, 5720472]
[paragraph, [281.0, 2233.5, 1993.0, 52.5], shoonya_1s8X4EETQX49HX, 5720472]
[paragraph, [281.0, 2286.0, 1993.0, 52.5], shoonya_1s8X4EETQX49HX, 5720472]
[paragraph, [281.0, 2338.5, 1993.0, 52.5], shoonya_1s8X4EETQX49HX, 5720472]
[paragraph, [281.0, 2391.0, 1993.0, 52.5], shoonya_1s8X4EETQX49HX, 5720472]
[paragraph, [281.0, 2443.5, 1993.0, 52.5], shoonya_1s8X4EETQX49HX, 5720472]
[paragraph, [281.0, 2496.0, 1993.0, 52.5], shoonya_1s8X4EETQX49HX, 5720472]
[paragraph, [281.0, 2548.5, 1993.0, 52.5], shoonya_1s8X4EETQX49HX, 5720472]
[paragraph, [281.0, 2601.0, 1993.0, 52.5], shoonya_1s8X4EETQX49HX, 5720472]
[paragraph, [281.0, 2653.5, 1993.0, 52.5], shoonya_1s8X4EETQX49HX, 5720472]
[paragraph, [281.0, 2706.0, 1993.0, 52.5], shoonya_1s8X4EETQX49HX, 5720472]
