[2339, 1653]
[paragraph, [391.0, 199.0, 1073.0, 36.0], shoonya_4sD97BOHA3OMK1, 5733616]
[paragraph, [391.0, 235.0, 1073.0, 36.0], shoonya_4sD97BOHA3OMK1, 5733616]
[paragraph, [391.0, 271.0, 1073.0, 36.0], shoonya_4sD97BOHA3OMK1, 5733616]
[paragraph, [391.0, 307.0, 1073.0, 36.0], shoonya_4sD97BOHA3OMK1, 5733616]
[paragraph, [389.0, 373.0, 1073.0, 36.0], shoonya_3sWP9PEIOGXRNG, 5733616]
[paragraph, [389.0, 409.0, 1073.0, 36.0], shoonya_3sWP9PEIOGXRNG, 5733616]
[paragraph, [389.0, 445.0, 1073.0, 36.0], shoonya_3sWP9PEIOGXRNG, 5733616]
[paragraph, [389.0, 481.0, 1073.0, 36.0], shoonya_3sWP9PEIOGXRNG, 5733616]
[paragraph, [389.0, 517.0, 1073.0, 36.0], shoonya_3sWP9PEIOGXRNG, 5733616]
[paragraph, [389.0, 553.0, 1073.0, 36.0], shoonya_3sWP9PEIOGXRNG, 5733616]
[paragraph, [389.0, 589.0, 1073.0, 36.0], shoonya_3sWP9PEIOGXRNG, 5733616]
[paragraph, [389.0, 625.0, 1073.0, 36.0], shoonya_3sWP9PEIOGXRNG, 5733616]
[paragraph, [389.0, 661.0, 1073.0, 36.0], shoonya_3sWP9PEIOGXRNG, 5733616]
[paragraph, [389.0, 697.0, 1073.0, 36.0], shoonya_3sWP9PEIOGXRNG, 5733616]
[paragraph, [389.0, 733.0, 1073.0, 36.0], shoonya_3sWP9PEIOGXRNG, 5733616]
[paragraph, [388.0, 782.0, 1072.0, 36.0], shoonya_0s5A23HAZKCD4B, 5733616]
[paragraph, [388.0, 818.0, 1072.0, 36.0], shoonya_0s5A23HAZKCD4B, 5733616]
[paragraph, [388.0, 854.0, 1072.0, 36.0], shoonya_0s5A23HAZKCD4B, 5733616]
[paragraph, [388.0, 890.0, 1072.0, 36.0], shoonya_0s5A23HAZKCD4B, 5733616]
[paragraph, [388.0, 926.0, 1072.0, 36.0], shoonya_0s5A23HAZKCD4B, 5733616]
[paragraph, [388.0, 962.0, 1072.0, 36.0], shoonya_0s5A23HAZKCD4B, 5733616]
[paragraph, [388.0, 998.0, 1072.0, 36.0], shoonya_0s5A23HAZKCD4B, 5733616]
[paragraph, [388.0, 1034.0, 1072.0, 36.0], shoonya_0s5A23HAZKCD4B, 5733616]
[paragraph, [388.0, 1070.0, 1072.0, 36.0], shoonya_0s5A23HAZKCD4B, 5733616]
[paragraph, [388.0, 1106.0, 1072.0, 36.0], shoonya_0s5A23HAZKCD4B, 5733616]
[paragraph, [388.0, 1142.0, 1072.0, 36.0], shoonya_0s5A23HAZKCD4B, 5733616]
[paragraph, [392.0, 1189.0, 1072.0, 36.0], shoonya_2s18MSJUMJRLAT, 5733616]
[paragraph, [392.0, 1225.0, 1072.0, 36.0], shoonya_2s18MSJUMJRLAT, 5733616]
[paragraph, [392.0, 1261.0, 1072.0, 36.0], shoonya_2s18MSJUMJRLAT, 5733616]
[paragraph, [392.0, 1297.0, 1072.0, 36.0], shoonya_2s18MSJUMJRLAT, 5733616]
[paragraph, [392.0, 1333.0, 1072.0, 36.0], shoonya_2s18MSJUMJRLAT, 5733616]
[paragraph, [392.0, 1369.0, 1072.0, 36.0], shoonya_2s18MSJUMJRLAT, 5733616]
[paragraph, [490.0, 1428.0, 145.0, 36.0], shoonya_5sXV1X01OGHUXP, 5733616]
[paragraph, [388.0, 1481.0, 1075.0, 36.0], shoonya_1sGZAGEPLP5TX9, 5733616]
[paragraph, [388.0, 1517.0, 1075.0, 36.0], shoonya_1sGZAGEPLP5TX9, 5733616]
[paragraph, [388.0, 1553.0, 1075.0, 36.0], shoonya_1sGZAGEPLP5TX9, 5733616]
[paragraph, [388.0, 1589.0, 1075.0, 36.0], shoonya_1sGZAGEPLP5TX9, 5733616]
[paragraph, [388.0, 1625.0, 1075.0, 36.0], shoonya_1sGZAGEPLP5TX9, 5733616]
[paragraph, [388.0, 1661.0, 1075.0, 36.0], shoonya_1sGZAGEPLP5TX9, 5733616]
[paragraph, [388.0, 1697.0, 1075.0, 36.0], shoonya_1sGZAGEPLP5TX9, 5733616]
[paragraph, [388.0, 1733.0, 1075.0, 36.0], shoonya_1sGZAGEPLP5TX9, 5733616]
[paragraph, [388.0, 1769.0, 1075.0, 36.0], shoonya_1sGZAGEPLP5TX9, 5733616]
[paragraph, [388.0, 1805.0, 1075.0, 36.0], shoonya_1sGZAGEPLP5TX9, 5733616]
[paragraph, [388.0, 1841.0, 1075.0, 36.0], shoonya_1sGZAGEPLP5TX9, 5733616]
[paragraph, [388.0, 1877.0, 1075.0, 36.0], shoonya_1sGZAGEPLP5TX9, 5733616]
[paragraph, [388.0, 1913.0, 1075.0, 36.0], shoonya_1sGZAGEPLP5TX9, 5733616]
[paragraph, [388.0, 1949.0, 1075.0, 36.0], shoonya_1sGZAGEPLP5TX9, 5733616]
[paragraph, [392.0, 2006.0, 1066.0, 36.0], shoonya_6s2LZ83OCO37PB, 5733616]
[paragraph, [392.0, 2042.0, 1066.0, 36.0], shoonya_6s2LZ83OCO37PB, 5733616]
[paragraph, [392.0, 2078.0, 1066.0, 36.0], shoonya_6s2LZ83OCO37PB, 5733616]
[folio, [1110.0, 2177.0, 272.0, 36.0], lS3EGH_Tw_, 5733616]
