[576, 360]
[paragraph, [25.0, 59.0, 303.0, 18.0], shoonya_0sFSJ5S5GPJVQ9, 6517394]
[paragraph, [25.0, 77.0, 303.0, 18.0], shoonya_0sFSJ5S5GPJVQ9, 6517394]
[paragraph, [25.0, 95.0, 303.0, 18.0], shoonya_0sFSJ5S5GPJVQ9, 6517394]
[paragraph, [25.0, 113.0, 303.0, 18.0], shoonya_0sFSJ5S5GPJVQ9, 6517394]
[paragraph, [25.0, 131.0, 303.0, 18.0], shoonya_0sFSJ5S5GPJVQ9, 6517394]
[paragraph, [25.0, 149.0, 303.0, 18.0], shoonya_0sFSJ5S5GPJVQ9, 6517394]
[paragraph, [25.0, 167.0, 303.0, 18.0], shoonya_0sFSJ5S5GPJVQ9, 6517394]
[paragraph, [25.0, 185.0, 303.0, 18.0], shoonya_0sFSJ5S5GPJVQ9, 6517394]
[paragraph, [25.0, 203.0, 303.0, 18.0], shoonya_0sFSJ5S5GPJVQ9, 6517394]
[paragraph, [25.0, 221.0, 303.0, 18.0], shoonya_0sFSJ5S5GPJVQ9, 6517394]
[paragraph, [25.0, 239.0, 303.0, 18.0], shoonya_0sFSJ5S5GPJVQ9, 6517394]
[paragraph, [25.0, 257.0, 303.0, 18.0], shoonya_0sFSJ5S5GPJVQ9, 6517394]
[paragraph, [25.0, 275.0, 303.0, 18.0], shoonya_0sFSJ5S5GPJVQ9, 6517394]
[paragraph, [25.0, 293.0, 303.0, 18.0], shoonya_0sFSJ5S5GPJVQ9, 6517394]
[paragraph, [28.0, 345.0, 303.0, 18.0], blb3Iu6kKC, 6517394]
[paragraph, [28.0, 363.0, 303.0, 18.0], blb3Iu6kKC, 6517394]
[paragraph, [28.0, 381.0, 303.0, 18.0], blb3Iu6kKC, 6517394]
[paragraph, [28.0, 399.0, 303.0, 18.0], blb3Iu6kKC, 6517394]
[paragraph, [28.0, 417.0, 303.0, 18.0], blb3Iu6kKC, 6517394]
[paragraph, [28.0, 435.0, 303.0, 18.0], blb3Iu6kKC, 6517394]
[paragraph, [28.0, 453.0, 303.0, 18.0], blb3Iu6kKC, 6517394]
[paragraph, [28.0, 471.0, 303.0, 18.0], blb3Iu6kKC, 6517394]
[paragraph, [28.0, 489.0, 303.0, 18.0], blb3Iu6kKC, 6517394]
[paragraph, [28.0, 507.0, 303.0, 18.0], blb3Iu6kKC, 6517394]
