[2717, 1772]
[folio, [640.0, 239.0, 500.0, 46.5], qnxKkjRfr9, 5720947]
[paragraph, [241.0, 347.0, 1329.0, 46.5], shoonya_0sHTNKL1BD2K89, 5720947]
[paragraph, [241.0, 393.5, 1329.0, 46.5], shoonya_0sHTNKL1BD2K89, 5720947]
[paragraph, [234.0, 482.0, 1335.0, 46.5], g6New_wmff, 5720947]
[paragraph, [234.0, 528.5, 1335.0, 46.5], g6New_wmff, 5720947]
[paragraph, [234.0, 620.0, 1333.0, 46.5], mh2BD3gxej, 5720947]
[paragraph, [234.0, 666.5, 1333.0, 46.5], mh2BD3gxej, 5720947]
[paragraph, [234.0, 713.0, 1333.0, 46.5], mh2BD3gxej, 5720947]
[paragraph, [234.0, 759.5, 1333.0, 46.5], mh2BD3gxej, 5720947]
[paragraph, [234.0, 806.0, 1333.0, 46.5], mh2BD3gxej, 5720947]
[paragraph, [234.0, 872.0, 1335.0, 46.5], J_-4F34jfR, 5720947]
[paragraph, [234.0, 918.5, 1335.0, 46.5], J_-4F34jfR, 5720947]
[paragraph, [234.0, 965.0, 1335.0, 46.5], J_-4F34jfR, 5720947]
[paragraph, [234.0, 1011.5, 1335.0, 46.5], J_-4F34jfR, 5720947]
[paragraph, [234.0, 1058.0, 1335.0, 46.5], J_-4F34jfR, 5720947]
[paragraph, [347.0, 1149.0, 1065.0, 46.5], 26cCkMN0na, 5720947]
[paragraph, [223.0, 1233.0, 1335.0, 46.5], deOS0RqraR, 5720947]
[paragraph, [223.0, 1279.5, 1335.0, 46.5], deOS0RqraR, 5720947]
[paragraph, [223.0, 1326.0, 1335.0, 46.5], deOS0RqraR, 5720947]
[paragraph, [223.0, 1372.5, 1335.0, 46.5], deOS0RqraR, 5720947]
[paragraph, [223.0, 1419.0, 1335.0, 46.5], deOS0RqraR, 5720947]
[paragraph, [223.0, 1465.5, 1335.0, 46.5], deOS0RqraR, 5720947]
[paragraph, [223.0, 1512.0, 1335.0, 46.5], deOS0RqraR, 5720947]
[paragraph, [223.0, 1558.5, 1335.0, 46.5], deOS0RqraR, 5720947]
[paragraph, [223.0, 1625.0, 1335.0, 46.5], qhd_NpRxKs, 5720947]
[paragraph, [223.0, 1671.5, 1335.0, 46.5], qhd_NpRxKs, 5720947]
[paragraph, [223.0, 1718.0, 1335.0, 46.5], qhd_NpRxKs, 5720947]
[paragraph, [223.0, 1764.5, 1335.0, 46.5], qhd_NpRxKs, 5720947]
[paragraph, [225.0, 1835.0, 1324.0, 46.5], _tSgnGLvnB, 5720947]
[paragraph, [225.0, 1881.5, 1324.0, 46.5], _tSgnGLvnB, 5720947]
[paragraph, [225.0, 1928.0, 1324.0, 46.5], _tSgnGLvnB, 5720947]
[paragraph, [225.0, 1974.5, 1324.0, 46.5], _tSgnGLvnB, 5720947]
[paragraph, [225.0, 2021.0, 1324.0, 46.5], _tSgnGLvnB, 5720947]
[paragraph, [225.0, 2067.5, 1324.0, 46.5], _tSgnGLvnB, 5720947]
[paragraph, [219.0, 2163.0, 1348.0, 46.5], 8-_RuURR5L, 5720947]
[paragraph, [219.0, 2209.5, 1348.0, 46.5], 8-_RuURR5L, 5720947]
[paragraph, [219.0, 2256.0, 1348.0, 46.5], 8-_RuURR5L, 5720947]
[paragraph, [219.0, 2302.5, 1348.0, 46.5], 8-_RuURR5L, 5720947]
[paragraph, [219.0, 2349.0, 1348.0, 46.5], 8-_RuURR5L, 5720947]
[paragraph, [219.0, 2395.5, 1348.0, 46.5], 8-_RuURR5L, 5720947]
