[1418, 1064]
[folio, [103.0, 81.0, 569.0, 18.0], shoonya_0s5RV5TO55JP2L, 6468712]
[folio, [103.0, 99.0, 569.0, 18.0], shoonya_0s5RV5TO55JP2L, 6468712]
[folio, [103.0, 117.0, 569.0, 18.0], shoonya_0s5RV5TO55JP2L, 6468712]
[folio, [103.0, 135.0, 569.0, 18.0], shoonya_0s5RV5TO55JP2L, 6468712]
[folio, [103.0, 153.0, 569.0, 18.0], shoonya_0s5RV5TO55JP2L, 6468712]
[folio, [103.0, 171.0, 569.0, 18.0], shoonya_0s5RV5TO55JP2L, 6468712]
[paragraph, [108.0, 228.0, 846.0, 18.0], qREENlijhA, 6468712]
[paragraph, [108.0, 246.0, 846.0, 18.0], qREENlijhA, 6468712]
[paragraph, [108.0, 264.0, 846.0, 18.0], qREENlijhA, 6468712]
[paragraph, [108.0, 282.0, 846.0, 18.0], qREENlijhA, 6468712]
[paragraph, [108.0, 300.0, 846.0, 18.0], qREENlijhA, 6468712]
[paragraph, [108.0, 318.0, 846.0, 18.0], qREENlijhA, 6468712]
[paragraph, [108.0, 336.0, 846.0, 18.0], qREENlijhA, 6468712]
[paragraph, [108.0, 354.0, 846.0, 18.0], qREENlijhA, 6468712]
[section-title, [107.0, 405.0, 285.0, 30.0], dIvxFUFcBz, 6468712]
[ordered-list, [102.0, 467.0, 857.0, 18.0], 0gy5jV1iig, 6468712]
[ordered-list, [102.0, 485.0, 857.0, 18.0], 0gy5jV1iig, 6468712]
[ordered-list, [102.0, 503.0, 857.0, 18.0], 0gy5jV1iig, 6468712]
[ordered-list, [102.0, 521.0, 857.0, 18.0], 0gy5jV1iig, 6468712]
[ordered-list, [102.0, 539.0, 857.0, 18.0], 0gy5jV1iig, 6468712]
[ordered-list, [102.0, 557.0, 857.0, 18.0], 0gy5jV1iig, 6468712]
[ordered-list, [102.0, 575.0, 857.0, 18.0], 0gy5jV1iig, 6468712]
[ordered-list, [102.0, 593.0, 857.0, 18.0], 0gy5jV1iig, 6468712]
[ordered-list, [102.0, 611.0, 857.0, 18.0], 0gy5jV1iig, 6468712]
[ordered-list, [102.0, 629.0, 857.0, 18.0], 0gy5jV1iig, 6468712]
[ordered-list, [102.0, 647.0, 857.0, 18.0], 0gy5jV1iig, 6468712]
[ordered-list, [102.0, 665.0, 857.0, 18.0], 0gy5jV1iig, 6468712]
[ordered-list, [102.0, 683.0, 857.0, 18.0], 0gy5jV1iig, 6468712]
[ordered-list, [102.0, 701.0, 857.0, 18.0], 0gy5jV1iig, 6468712]
[ordered-list, [102.0, 719.0, 857.0, 18.0], 0gy5jV1iig, 6468712]
[ordered-list, [102.0, 737.0, 857.0, 18.0], 0gy5jV1iig, 6468712]
[ordered-list, [102.0, 755.0, 857.0, 18.0], 0gy5jV1iig, 6468712]
[ordered-list, [102.0, 773.0, 857.0, 18.0], 0gy5jV1iig, 6468712]
[ordered-list, [102.0, 791.0, 857.0, 18.0], 0gy5jV1iig, 6468712]
[ordered-list, [102.0, 809.0, 857.0, 18.0], 0gy5jV1iig, 6468712]
[ordered-list, [102.0, 827.0, 857.0, 18.0], 0gy5jV1iig, 6468712]
[ordered-list, [102.0, 845.0, 857.0, 18.0], 0gy5jV1iig, 6468712]
[ordered-list, [102.0, 863.0, 857.0, 18.0], 0gy5jV1iig, 6468712]
[ordered-list, [102.0, 881.0, 857.0, 18.0], 0gy5jV1iig, 6468712]
[ordered-list, [102.0, 899.0, 857.0, 18.0], 0gy5jV1iig, 6468712]
[ordered-list, [102.0, 917.0, 857.0, 18.0], 0gy5jV1iig, 6468712]
[ordered-list, [102.0, 935.0, 857.0, 18.0], 0gy5jV1iig, 6468712]
[ordered-list, [102.0, 953.0, 857.0, 18.0], 0gy5jV1iig, 6468712]
[ordered-list, [102.0, 971.0, 857.0, 18.0], 0gy5jV1iig, 6468712]
[ordered-list, [102.0, 989.0, 857.0, 18.0], 0gy5jV1iig, 6468712]
[ordered-list, [102.0, 1007.0, 857.0, 18.0], 0gy5jV1iig, 6468712]
[ordered-list, [102.0, 1025.0, 857.0, 18.0], 0gy5jV1iig, 6468712]
[ordered-list, [102.0, 1043.0, 857.0, 18.0], 0gy5jV1iig, 6468712]
[ordered-list, [102.0, 1061.0, 857.0, 18.0], 0gy5jV1iig, 6468712]
