[1200, 825]
[paragraph, [139.0, 106.0, 546.0, 18.0], shoonya_0sY8UY52R40Z75, 5691129]
[paragraph, [139.0, 124.0, 546.0, 18.0], shoonya_0sY8UY52R40Z75, 5691129]
[paragraph, [139.0, 142.0, 546.0, 18.0], shoonya_0sY8UY52R40Z75, 5691129]
[paragraph, [139.0, 160.0, 546.0, 18.0], shoonya_0sY8UY52R40Z75, 5691129]
[paragraph, [139.0, 178.0, 546.0, 18.0], shoonya_0sY8UY52R40Z75, 5691129]
[paragraph, [139.0, 196.0, 546.0, 18.0], shoonya_0sY8UY52R40Z75, 5691129]
[paragraph, [139.0, 214.0, 546.0, 18.0], shoonya_0sY8UY52R40Z75, 5691129]
[paragraph, [139.0, 232.0, 546.0, 18.0], shoonya_0sY8UY52R40Z75, 5691129]
[paragraph, [139.0, 250.0, 546.0, 18.0], shoonya_0sY8UY52R40Z75, 5691129]
[paragraph, [139.0, 268.0, 546.0, 18.0], shoonya_0sY8UY52R40Z75, 5691129]
[paragraph, [139.0, 286.0, 546.0, 18.0], shoonya_0sY8UY52R40Z75, 5691129]
[paragraph, [139.0, 304.0, 546.0, 18.0], shoonya_0sY8UY52R40Z75, 5691129]
[paragraph, [139.0, 322.0, 546.0, 18.0], shoonya_0sY8UY52R40Z75, 5691129]
[paragraph, [139.0, 340.0, 546.0, 18.0], shoonya_0sY8UY52R40Z75, 5691129]
[paragraph, [139.0, 358.0, 546.0, 18.0], shoonya_0sY8UY52R40Z75, 5691129]
[paragraph, [139.0, 376.0, 546.0, 18.0], shoonya_0sY8UY52R40Z75, 5691129]
[paragraph, [139.0, 394.0, 546.0, 18.0], shoonya_0sY8UY52R40Z75, 5691129]
[paragraph, [139.0, 412.0, 546.0, 18.0], shoonya_0sY8UY52R40Z75, 5691129]
[paragraph, [139.0, 430.0, 546.0, 18.0], shoonya_0sY8UY52R40Z75, 5691129]
[paragraph, [139.0, 448.0, 546.0, 18.0], shoonya_0sY8UY52R40Z75, 5691129]
[paragraph, [139.0, 466.0, 546.0, 18.0], shoonya_0sY8UY52R40Z75, 5691129]
[paragraph, [139.0, 484.0, 546.0, 18.0], shoonya_0sY8UY52R40Z75, 5691129]
[paragraph, [139.0, 502.0, 546.0, 18.0], shoonya_0sY8UY52R40Z75, 5691129]
[paragraph, [139.0, 520.0, 546.0, 18.0], shoonya_0sY8UY52R40Z75, 5691129]
[paragraph, [139.0, 538.0, 546.0, 18.0], shoonya_0sY8UY52R40Z75, 5691129]
[paragraph, [139.0, 556.0, 546.0, 18.0], shoonya_0sY8UY52R40Z75, 5691129]
[paragraph, [139.0, 574.0, 546.0, 18.0], shoonya_0sY8UY52R40Z75, 5691129]
[paragraph, [132.0, 601.0, 556.0, 18.0], Br8Xvgi4hs, 5691129]
[paragraph, [132.0, 619.0, 556.0, 18.0], Br8Xvgi4hs, 5691129]
[paragraph, [132.0, 637.0, 556.0, 18.0], Br8Xvgi4hs, 5691129]
[paragraph, [132.0, 655.0, 556.0, 18.0], Br8Xvgi4hs, 5691129]
[paragraph, [132.0, 673.0, 556.0, 18.0], Br8Xvgi4hs, 5691129]
[paragraph, [132.0, 691.0, 556.0, 18.0], Br8Xvgi4hs, 5691129]
[paragraph, [132.0, 709.0, 556.0, 18.0], Br8Xvgi4hs, 5691129]
[paragraph, [132.0, 727.0, 556.0, 18.0], Br8Xvgi4hs, 5691129]
[paragraph, [132.0, 745.0, 556.0, 18.0], Br8Xvgi4hs, 5691129]
[paragraph, [132.0, 763.0, 556.0, 18.0], Br8Xvgi4hs, 5691129]
[paragraph, [132.0, 781.0, 556.0, 18.0], Br8Xvgi4hs, 5691129]
[paragraph, [132.0, 799.0, 556.0, 18.0], Br8Xvgi4hs, 5691129]
[paragraph, [132.0, 817.0, 556.0, 18.0], Br8Xvgi4hs, 5691129]
[paragraph, [132.0, 835.0, 556.0, 18.0], Br8Xvgi4hs, 5691129]
[paragraph, [132.0, 853.0, 556.0, 18.0], Br8Xvgi4hs, 5691129]
[paragraph, [132.0, 871.0, 556.0, 18.0], Br8Xvgi4hs, 5691129]
[paragraph, [132.0, 889.0, 556.0, 18.0], Br8Xvgi4hs, 5691129]
[paragraph, [132.0, 907.0, 556.0, 18.0], Br8Xvgi4hs, 5691129]
[paragraph, [132.0, 925.0, 556.0, 18.0], Br8Xvgi4hs, 5691129]
[paragraph, [132.0, 943.0, 556.0, 18.0], Br8Xvgi4hs, 5691129]
[paragraph, [132.0, 961.0, 556.0, 18.0], Br8Xvgi4hs, 5691129]
[paragraph, [132.0, 979.0, 556.0, 18.0], Br8Xvgi4hs, 5691129]
[paragraph, [132.0, 997.0, 556.0, 18.0], Br8Xvgi4hs, 5691129]
[paragraph, [132.0, 1015.0, 556.0, 18.0], Br8Xvgi4hs, 5691129]
[paragraph, [132.0, 1033.0, 556.0, 18.0], Br8Xvgi4hs, 5691129]
