[668, 446]
[paragraph, [61.0, 78.0, 344.0, 18.0], KYg_eslU-T, 6495712]
[paragraph, [60.0, 110.0, 346.0, 18.0], XvH4e4XyqF, 6495712]
[paragraph, [60.0, 128.0, 346.0, 18.0], XvH4e4XyqF, 6495712]
[paragraph, [60.0, 146.0, 346.0, 18.0], XvH4e4XyqF, 6495712]
[paragraph, [60.0, 164.0, 346.0, 18.0], XvH4e4XyqF, 6495712]
[paragraph, [60.0, 182.0, 346.0, 18.0], XvH4e4XyqF, 6495712]
[paragraph, [57.0, 239.0, 355.0, 18.0], shoonya_0sXP08EG9L7OYU, 6495712]
[paragraph, [57.0, 257.0, 355.0, 18.0], shoonya_0sXP08EG9L7OYU, 6495712]
[paragraph, [57.0, 275.0, 355.0, 18.0], shoonya_0sXP08EG9L7OYU, 6495712]
[paragraph, [57.0, 293.0, 355.0, 18.0], shoonya_0sXP08EG9L7OYU, 6495712]
[paragraph, [57.0, 311.0, 355.0, 18.0], shoonya_0sXP08EG9L7OYU, 6495712]
[paragraph, [57.0, 329.0, 355.0, 18.0], shoonya_0sXP08EG9L7OYU, 6495712]
[paragraph, [57.0, 347.0, 355.0, 18.0], shoonya_0sXP08EG9L7OYU, 6495712]
[paragraph, [57.0, 365.0, 355.0, 18.0], shoonya_0sXP08EG9L7OYU, 6495712]
[paragraph, [57.0, 383.0, 355.0, 18.0], shoonya_0sXP08EG9L7OYU, 6495712]
[paragraph, [57.0, 401.0, 355.0, 18.0], shoonya_0sXP08EG9L7OYU, 6495712]
[paragraph, [57.0, 419.0, 355.0, 18.0], shoonya_0sXP08EG9L7OYU, 6495712]
[paragraph, [57.0, 437.0, 355.0, 18.0], shoonya_0sXP08EG9L7OYU, 6495712]
[paragraph, [57.0, 455.0, 355.0, 18.0], shoonya_0sXP08EG9L7OYU, 6495712]
[paragraph, [57.0, 473.0, 355.0, 18.0], shoonya_0sXP08EG9L7OYU, 6495712]
[paragraph, [57.0, 491.0, 355.0, 18.0], shoonya_0sXP08EG9L7OYU, 6495712]
[paragraph, [57.0, 509.0, 355.0, 18.0], shoonya_0sXP08EG9L7OYU, 6495712]
[paragraph, [57.0, 527.0, 355.0, 18.0], shoonya_0sXP08EG9L7OYU, 6495712]
[paragraph, [57.0, 545.0, 355.0, 18.0], shoonya_0sXP08EG9L7OYU, 6495712]
[paragraph, [57.0, 563.0, 355.0, 18.0], shoonya_0sXP08EG9L7OYU, 6495712]
[paragraph, [57.0, 581.0, 355.0, 18.0], shoonya_0sXP08EG9L7OYU, 6495712]
