[1839, 1268]
[paragraph, [175.0, 210.0, 948.0, 36.0], shoonya_0sPAGJNIQFB937, 5743985]
[paragraph, [175.0, 246.0, 948.0, 36.0], shoonya_0sPAGJNIQFB937, 5743985]
[paragraph, [175.0, 282.0, 948.0, 36.0], shoonya_0sPAGJNIQFB937, 5743985]
[paragraph, [175.0, 318.0, 948.0, 36.0], shoonya_0sPAGJNIQFB937, 5743985]
[paragraph, [175.0, 354.0, 948.0, 36.0], shoonya_0sPAGJNIQFB937, 5743985]
[paragraph, [175.0, 390.0, 948.0, 36.0], shoonya_0sPAGJNIQFB937, 5743985]
[paragraph, [175.0, 426.0, 948.0, 36.0], shoonya_0sPAGJNIQFB937, 5743985]
[paragraph, [175.0, 462.0, 948.0, 36.0], shoonya_0sPAGJNIQFB937, 5743985]
[paragraph, [175.0, 498.0, 948.0, 36.0], shoonya_0sPAGJNIQFB937, 5743985]
[paragraph, [175.0, 534.0, 948.0, 36.0], shoonya_0sPAGJNIQFB937, 5743985]
[paragraph, [175.0, 570.0, 948.0, 36.0], shoonya_0sPAGJNIQFB937, 5743985]
[paragraph, [175.0, 606.0, 948.0, 36.0], shoonya_0sPAGJNIQFB937, 5743985]
[paragraph, [175.0, 642.0, 948.0, 36.0], shoonya_0sPAGJNIQFB937, 5743985]
[paragraph, [175.0, 678.0, 948.0, 36.0], shoonya_0sPAGJNIQFB937, 5743985]
[paragraph, [175.0, 714.0, 948.0, 36.0], shoonya_0sPAGJNIQFB937, 5743985]
[paragraph, [175.0, 750.0, 948.0, 36.0], shoonya_0sPAGJNIQFB937, 5743985]
[paragraph, [175.0, 786.0, 948.0, 36.0], shoonya_0sPAGJNIQFB937, 5743985]
[paragraph, [175.0, 822.0, 948.0, 36.0], shoonya_0sPAGJNIQFB937, 5743985]
[paragraph, [175.0, 858.0, 948.0, 36.0], shoonya_0sPAGJNIQFB937, 5743985]
[paragraph, [175.0, 894.0, 948.0, 36.0], shoonya_0sPAGJNIQFB937, 5743985]
[paragraph, [175.0, 930.0, 948.0, 36.0], shoonya_0sPAGJNIQFB937, 5743985]
[paragraph, [175.0, 966.0, 948.0, 36.0], shoonya_0sPAGJNIQFB937, 5743985]
[paragraph, [175.0, 1002.0, 948.0, 36.0], shoonya_0sPAGJNIQFB937, 5743985]
[paragraph, [175.0, 1038.0, 948.0, 36.0], shoonya_0sPAGJNIQFB937, 5743985]
[paragraph, [175.0, 1074.0, 948.0, 36.0], shoonya_0sPAGJNIQFB937, 5743985]
[paragraph, [175.0, 1110.0, 948.0, 36.0], shoonya_0sPAGJNIQFB937, 5743985]
[paragraph, [175.0, 1146.0, 948.0, 36.0], shoonya_0sPAGJNIQFB937, 5743985]
[paragraph, [175.0, 1182.0, 948.0, 36.0], shoonya_0sPAGJNIQFB937, 5743985]
[paragraph, [175.0, 1218.0, 948.0, 36.0], shoonya_0sPAGJNIQFB937, 5743985]
[paragraph, [175.0, 1254.0, 948.0, 36.0], shoonya_0sPAGJNIQFB937, 5743985]
[paragraph, [175.0, 1290.0, 948.0, 36.0], shoonya_0sPAGJNIQFB937, 5743985]
[paragraph, [175.0, 1326.0, 948.0, 36.0], shoonya_0sPAGJNIQFB937, 5743985]
[paragraph, [175.0, 1362.0, 948.0, 36.0], shoonya_0sPAGJNIQFB937, 5743985]
[paragraph, [175.0, 1398.0, 948.0, 36.0], shoonya_0sPAGJNIQFB937, 5743985]
[paragraph, [175.0, 1434.0, 948.0, 36.0], shoonya_0sPAGJNIQFB937, 5743985]
[paragraph, [175.0, 1470.0, 948.0, 36.0], shoonya_0sPAGJNIQFB937, 5743985]
[paragraph, [175.0, 1506.0, 948.0, 36.0], shoonya_0sPAGJNIQFB937, 5743985]
[paragraph, [175.0, 1542.0, 948.0, 36.0], shoonya_0sPAGJNIQFB937, 5743985]
[paragraph, [175.0, 1578.0, 948.0, 36.0], shoonya_0sPAGJNIQFB937, 5743985]
[paragraph, [175.0, 1614.0, 948.0, 36.0], shoonya_0sPAGJNIQFB937, 5743985]
