[842, 596]
[headline, [123.0, 63.0, 349.0, 25.5], 9PybErkDbz, 5766855]
[headline, [123.0, 88.5, 349.0, 25.5], 9PybErkDbz, 5766855]
[paragraph, [65.0, 172.0, 461.0, 18.0], -I0twiLXfz, 5766855]
[paragraph, [65.0, 190.0, 461.0, 18.0], -I0twiLXfz, 5766855]
[paragraph, [65.0, 208.0, 461.0, 18.0], -I0twiLXfz, 5766855]
[paragraph, [65.0, 226.0, 461.0, 18.0], -I0twiLXfz, 5766855]
[paragraph, [65.0, 244.0, 461.0, 18.0], -I0twiLXfz, 5766855]
[paragraph, [65.0, 262.0, 461.0, 18.0], -I0twiLXfz, 5766855]
[paragraph, [65.0, 280.0, 461.0, 18.0], -I0twiLXfz, 5766855]
[paragraph, [65.0, 298.0, 461.0, 18.0], -I0twiLXfz, 5766855]
[paragraph, [65.0, 316.0, 461.0, 18.0], -I0twiLXfz, 5766855]
[paragraph, [65.0, 334.0, 461.0, 18.0], -I0twiLXfz, 5766855]
[paragraph, [63.0, 357.0, 468.0, 18.0], X2voMcdPhX, 5766855]
[paragraph, [63.0, 375.0, 468.0, 18.0], X2voMcdPhX, 5766855]
[paragraph, [63.0, 393.0, 468.0, 18.0], X2voMcdPhX, 5766855]
[paragraph, [63.0, 411.0, 468.0, 18.0], X2voMcdPhX, 5766855]
[ordered-list, [70.0, 440.0, 460.0, 18.0], shoonya_2sPH56GA9S5ZD6, 5766855]
[ordered-list, [70.0, 458.0, 460.0, 18.0], shoonya_2sPH56GA9S5ZD6, 5766855]
[ordered-list, [70.0, 476.0, 460.0, 18.0], shoonya_2sPH56GA9S5ZD6, 5766855]
[ordered-list, [70.0, 494.0, 460.0, 18.0], shoonya_2sPH56GA9S5ZD6, 5766855]
[ordered-list, [70.0, 512.0, 460.0, 18.0], shoonya_2sPH56GA9S5ZD6, 5766855]
[ordered-list, [70.0, 530.0, 460.0, 18.0], shoonya_2sPH56GA9S5ZD6, 5766855]
[ordered-list, [70.0, 548.0, 460.0, 18.0], shoonya_2sPH56GA9S5ZD6, 5766855]
[ordered-list, [70.0, 566.0, 460.0, 18.0], shoonya_2sPH56GA9S5ZD6, 5766855]
[paragraph, [65.0, 592.0, 470.0, 18.0], z4ETYdiw47, 5766855]
[paragraph, [65.0, 610.0, 470.0, 18.0], z4ETYdiw47, 5766855]
[unordered-list, [86.0, 639.0, 440.0, 18.0], shoonya_0sKY57A88ECCQG, 5766855]
[unordered-list, [86.0, 657.0, 440.0, 18.0], shoonya_0sKY57A88ECCQG, 5766855]
[unordered-list, [86.0, 675.0, 440.0, 18.0], shoonya_0sKY57A88ECCQG, 5766855]
[unordered-list, [86.0, 693.0, 440.0, 18.0], shoonya_0sKY57A88ECCQG, 5766855]
[unordered-list, [86.0, 711.0, 440.0, 18.0], shoonya_0sKY57A88ECCQG, 5766855]
[unordered-list, [86.0, 729.0, 440.0, 18.0], shoonya_0sKY57A88ECCQG, 5766855]
[unordered-list, [86.0, 747.0, 440.0, 18.0], shoonya_0sKY57A88ECCQG, 5766855]
