[1650, 1275]
[paragraph, [168.0, 140.0, 927.0, 36.0], sdhtupsY8T, 5703962]
[paragraph, [168.0, 176.0, 927.0, 36.0], sdhtupsY8T, 5703962]
[paragraph, [168.0, 212.0, 927.0, 36.0], sdhtupsY8T, 5703962]
[paragraph, [175.0, 277.0, 923.0, 36.0], ed-I5effwl, 5703962]
[paragraph, [175.0, 313.0, 923.0, 36.0], ed-I5effwl, 5703962]
[paragraph, [175.0, 349.0, 923.0, 36.0], ed-I5effwl, 5703962]
[paragraph, [168.0, 414.0, 931.0, 36.0], ZbfALKKA98, 5703962]
[paragraph, [168.0, 450.0, 931.0, 36.0], ZbfALKKA98, 5703962]
[paragraph, [168.0, 486.0, 931.0, 36.0], ZbfALKKA98, 5703962]
[paragraph, [254.0, 546.0, 525.0, 36.0], jlmxhg49KK, 5703962]
[paragraph, [254.0, 582.0, 525.0, 36.0], jlmxhg49KK, 5703962]
[paragraph, [181.0, 640.0, 908.0, 36.0], D5s4PqORTz, 5703962]
[paragraph, [181.0, 676.0, 908.0, 36.0], D5s4PqORTz, 5703962]
[paragraph, [254.0, 724.0, 410.0, 36.0], hTGLoJuaRB, 5703962]
[paragraph, [254.0, 760.0, 410.0, 36.0], hTGLoJuaRB, 5703962]
[paragraph, [257.0, 840.0, 404.0, 36.0], lUPxrhUCLG, 5703962]
[paragraph, [257.0, 876.0, 404.0, 36.0], lUPxrhUCLG, 5703962]
[paragraph, [175.0, 934.0, 923.0, 36.0], Y_EVEttMfk, 5703962]
[paragraph, [175.0, 970.0, 923.0, 36.0], Y_EVEttMfk, 5703962]
[paragraph, [245.0, 1024.0, 412.0, 36.0], NprNIoJhiq, 5703962]
[paragraph, [245.0, 1060.0, 412.0, 36.0], NprNIoJhiq, 5703962]
[paragraph, [176.0, 1103.0, 915.0, 36.0], 7mYSePGCQa, 5703962]
[paragraph, [176.0, 1139.0, 915.0, 36.0], 7mYSePGCQa, 5703962]
[paragraph, [183.0, 1208.0, 908.0, 36.0], shoonya_1s4L0TC0M0CG8A, 5703962]
[paragraph, [183.0, 1244.0, 908.0, 36.0], shoonya_1s4L0TC0M0CG8A, 5703962]
[paragraph, [183.0, 1280.0, 908.0, 36.0], shoonya_1s4L0TC0M0CG8A, 5703962]
[paragraph, [183.0, 1316.0, 908.0, 36.0], shoonya_1s4L0TC0M0CG8A, 5703962]
[paragraph, [183.0, 1352.0, 908.0, 36.0], shoonya_1s4L0TC0M0CG8A, 5703962]
[paragraph, [183.0, 1388.0, 908.0, 36.0], shoonya_1s4L0TC0M0CG8A, 5703962]
[paragraph, [183.0, 1424.0, 908.0, 36.0], shoonya_1s4L0TC0M0CG8A, 5703962]
