[792, 612]
[folio, [203.0, 23.0, 232.0, 18.0], jfjR-Az0ql, 5744310]
[paragraph, [110.0, 57.0, 427.0, 18.0], shoonya_1sMJO5E1ILBIW9, 5744310]
[paragraph, [110.0, 75.0, 427.0, 18.0], shoonya_1sMJO5E1ILBIW9, 5744310]
[paragraph, [110.0, 93.0, 427.0, 18.0], shoonya_1sMJO5E1ILBIW9, 5744310]
[paragraph, [110.0, 111.0, 427.0, 18.0], shoonya_1sMJO5E1ILBIW9, 5744310]
[paragraph, [110.0, 129.0, 427.0, 18.0], shoonya_1sMJO5E1ILBIW9, 5744310]
[paragraph, [110.0, 147.0, 427.0, 18.0], shoonya_1sMJO5E1ILBIW9, 5744310]
[paragraph, [110.0, 165.0, 427.0, 18.0], shoonya_1sMJO5E1ILBIW9, 5744310]
[paragraph, [110.0, 183.0, 427.0, 18.0], shoonya_1sMJO5E1ILBIW9, 5744310]
[paragraph, [110.0, 201.0, 427.0, 18.0], shoonya_1sMJO5E1ILBIW9, 5744310]
[paragraph, [110.0, 219.0, 427.0, 18.0], shoonya_1sMJO5E1ILBIW9, 5744310]
[paragraph, [110.0, 237.0, 427.0, 18.0], shoonya_1sMJO5E1ILBIW9, 5744310]
[paragraph, [110.0, 255.0, 427.0, 18.0], shoonya_1sMJO5E1ILBIW9, 5744310]
[paragraph, [110.0, 273.0, 427.0, 18.0], shoonya_1sMJO5E1ILBIW9, 5744310]
[paragraph, [110.0, 291.0, 427.0, 18.0], shoonya_1sMJO5E1ILBIW9, 5744310]
[paragraph, [110.0, 309.0, 427.0, 18.0], shoonya_1sMJO5E1ILBIW9, 5744310]
[paragraph, [110.0, 327.0, 427.0, 18.0], shoonya_1sMJO5E1ILBIW9, 5744310]
[paragraph, [110.0, 345.0, 427.0, 18.0], shoonya_1sMJO5E1ILBIW9, 5744310]
[paragraph, [110.0, 363.0, 427.0, 18.0], shoonya_1sMJO5E1ILBIW9, 5744310]
[paragraph, [110.0, 381.0, 427.0, 18.0], shoonya_1sMJO5E1ILBIW9, 5744310]
[paragraph, [110.0, 399.0, 427.0, 18.0], shoonya_1sMJO5E1ILBIW9, 5744310]
[paragraph, [111.0, 448.0, 423.0, 18.0], shoonya_0s01WR0NWCRWRM, 5744310]
[paragraph, [111.0, 466.0, 423.0, 18.0], shoonya_0s01WR0NWCRWRM, 5744310]
[paragraph, [111.0, 484.0, 423.0, 18.0], shoonya_0s01WR0NWCRWRM, 5744310]
[paragraph, [111.0, 502.0, 423.0, 18.0], shoonya_0s01WR0NWCRWRM, 5744310]
[paragraph, [111.0, 520.0, 423.0, 18.0], shoonya_0s01WR0NWCRWRM, 5744310]
[paragraph, [111.0, 538.0, 423.0, 18.0], shoonya_0s01WR0NWCRWRM, 5744310]
[paragraph, [111.0, 556.0, 423.0, 18.0], shoonya_0s01WR0NWCRWRM, 5744310]
[paragraph, [111.0, 574.0, 423.0, 18.0], shoonya_0s01WR0NWCRWRM, 5744310]
[paragraph, [111.0, 592.0, 423.0, 18.0], shoonya_0s01WR0NWCRWRM, 5744310]
[paragraph, [111.0, 610.0, 423.0, 18.0], shoonya_0s01WR0NWCRWRM, 5744310]
[paragraph, [111.0, 628.0, 423.0, 18.0], shoonya_0s01WR0NWCRWRM, 5744310]
[paragraph, [111.0, 646.0, 423.0, 18.0], shoonya_0s01WR0NWCRWRM, 5744310]
[paragraph, [111.0, 664.0, 423.0, 18.0], shoonya_0s01WR0NWCRWRM, 5744310]
[paragraph, [111.0, 682.0, 423.0, 18.0], shoonya_0s01WR0NWCRWRM, 5744310]
[paragraph, [111.0, 700.0, 423.0, 18.0], shoonya_0s01WR0NWCRWRM, 5744310]
[paragraph, [111.0, 718.0, 423.0, 18.0], shoonya_0s01WR0NWCRWRM, 5744310]
