[2200, 1700]
[paragraph, [283.0, 222.0, 1130.0, 36.0], shoonya_2s51IDSVLXZ5N7, 5687098]
[paragraph, [283.0, 258.0, 1130.0, 36.0], shoonya_2s51IDSVLXZ5N7, 5687098]
[paragraph, [283.0, 294.0, 1130.0, 36.0], shoonya_2s51IDSVLXZ5N7, 5687098]
[paragraph, [283.0, 330.0, 1130.0, 36.0], shoonya_2s51IDSVLXZ5N7, 5687098]
[paragraph, [278.0, 405.0, 1135.0, 36.0], shoonya_0s37N76MQ4ME0Q, 5687098]
[paragraph, [278.0, 441.0, 1135.0, 36.0], shoonya_0s37N76MQ4ME0Q, 5687098]
[paragraph, [278.0, 477.0, 1135.0, 36.0], shoonya_0s37N76MQ4ME0Q, 5687098]
[paragraph, [278.0, 513.0, 1135.0, 36.0], shoonya_0s37N76MQ4ME0Q, 5687098]
[paragraph, [278.0, 549.0, 1135.0, 36.0], shoonya_0s37N76MQ4ME0Q, 5687098]
[paragraph, [278.0, 585.0, 1135.0, 36.0], shoonya_0s37N76MQ4ME0Q, 5687098]
[paragraph, [278.0, 621.0, 1135.0, 36.0], shoonya_0s37N76MQ4ME0Q, 5687098]
[paragraph, [278.0, 657.0, 1135.0, 36.0], shoonya_0s37N76MQ4ME0Q, 5687098]
[paragraph, [278.0, 693.0, 1135.0, 36.0], shoonya_0s37N76MQ4ME0Q, 5687098]
[paragraph, [278.0, 729.0, 1135.0, 36.0], shoonya_0s37N76MQ4ME0Q, 5687098]
[paragraph, [278.0, 765.0, 1135.0, 36.0], shoonya_0s37N76MQ4ME0Q, 5687098]
[paragraph, [278.0, 801.0, 1135.0, 36.0], shoonya_0s37N76MQ4ME0Q, 5687098]
[paragraph, [278.0, 837.0, 1135.0, 36.0], shoonya_0s37N76MQ4ME0Q, 5687098]
[paragraph, [278.0, 873.0, 1135.0, 36.0], shoonya_0s37N76MQ4ME0Q, 5687098]
[paragraph, [592.0, 949.0, 418.0, 36.0], wGv5CFBjS3, 5687098]
[paragraph, [592.0, 985.0, 418.0, 36.0], wGv5CFBjS3, 5687098]
[paragraph, [592.0, 1021.0, 418.0, 36.0], wGv5CFBjS3, 5687098]
[paragraph, [592.0, 1057.0, 418.0, 36.0], wGv5CFBjS3, 5687098]
[paragraph, [592.0, 1093.0, 418.0, 36.0], wGv5CFBjS3, 5687098]
[paragraph, [505.0, 1165.0, 569.0, 36.0], N7nzuK84xy, 5687098]
[paragraph, [607.0, 1252.0, 422.0, 36.0], mP8G1-O32C, 5687098]
[paragraph, [607.0, 1288.0, 422.0, 36.0], mP8G1-O32C, 5687098]
[paragraph, [607.0, 1324.0, 422.0, 36.0], mP8G1-O32C, 5687098]
[paragraph, [607.0, 1360.0, 422.0, 36.0], mP8G1-O32C, 5687098]
[paragraph, [607.0, 1396.0, 422.0, 36.0], mP8G1-O32C, 5687098]
[paragraph, [439.0, 1464.0, 728.0, 36.0], WW0_U0glAo, 5687098]
[paragraph, [448.0, 1553.0, 102.0, 36.0], d8iP3phTL-, 5687098]
[reference, [559.0, 1557.0, 174.0, 36.0], edJ4EaruWy, 5687098]
[paragraph, [281.0, 1644.0, 1134.0, 36.0], shoonya_3sIA66WAYA1KDI, 5687098]
[paragraph, [281.0, 1680.0, 1134.0, 36.0], shoonya_3sIA66WAYA1KDI, 5687098]
[paragraph, [281.0, 1716.0, 1134.0, 36.0], shoonya_3sIA66WAYA1KDI, 5687098]
[paragraph, [281.0, 1752.0, 1134.0, 36.0], shoonya_3sIA66WAYA1KDI, 5687098]
[paragraph, [281.0, 1788.0, 1134.0, 36.0], shoonya_3sIA66WAYA1KDI, 5687098]
[paragraph, [281.0, 1824.0, 1134.0, 36.0], shoonya_3sIA66WAYA1KDI, 5687098]
