[1241, 798]
[folio, [572.0, 64.0, 132.0, 18.0], shoonya_3sWAT24IDB6FAV, 5701709]
[paragraph, [86.0, 114.0, 618.0, 18.0], shoonya_1sMFTKIQY5HKRD, 5701709]
[paragraph, [86.0, 132.0, 618.0, 18.0], shoonya_1sMFTKIQY5HKRD, 5701709]
[paragraph, [86.0, 150.0, 618.0, 18.0], shoonya_1sMFTKIQY5HKRD, 5701709]
[paragraph, [86.0, 168.0, 618.0, 18.0], shoonya_1sMFTKIQY5HKRD, 5701709]
[paragraph, [86.0, 186.0, 618.0, 18.0], shoonya_1sMFTKIQY5HKRD, 5701709]
[paragraph, [86.0, 204.0, 618.0, 18.0], shoonya_1sMFTKIQY5HKRD, 5701709]
[paragraph, [86.0, 222.0, 618.0, 18.0], shoonya_1sMFTKIQY5HKRD, 5701709]
[paragraph, [86.0, 240.0, 618.0, 18.0], shoonya_1sMFTKIQY5HKRD, 5701709]
[paragraph, [86.0, 258.0, 618.0, 18.0], shoonya_1sMFTKIQY5HKRD, 5701709]
[paragraph, [86.0, 276.0, 618.0, 18.0], shoonya_1sMFTKIQY5HKRD, 5701709]
[paragraph, [86.0, 294.0, 618.0, 18.0], shoonya_1sMFTKIQY5HKRD, 5701709]
[paragraph, [86.0, 312.0, 618.0, 18.0], shoonya_1sMFTKIQY5HKRD, 5701709]
[paragraph, [86.0, 330.0, 618.0, 18.0], shoonya_1sMFTKIQY5HKRD, 5701709]
[paragraph, [86.0, 348.0, 618.0, 18.0], shoonya_1sMFTKIQY5HKRD, 5701709]
[paragraph, [86.0, 366.0, 618.0, 18.0], shoonya_1sMFTKIQY5HKRD, 5701709]
[paragraph, [86.0, 384.0, 618.0, 18.0], shoonya_1sMFTKIQY5HKRD, 5701709]
[paragraph, [86.0, 402.0, 618.0, 18.0], shoonya_1sMFTKIQY5HKRD, 5701709]
[paragraph, [86.0, 420.0, 618.0, 18.0], shoonya_1sMFTKIQY5HKRD, 5701709]
[paragraph, [86.0, 438.0, 618.0, 18.0], shoonya_1sMFTKIQY5HKRD, 5701709]
[paragraph, [86.0, 456.0, 618.0, 18.0], shoonya_1sMFTKIQY5HKRD, 5701709]
[paragraph, [86.0, 474.0, 618.0, 18.0], shoonya_1sMFTKIQY5HKRD, 5701709]
[paragraph, [84.0, 513.0, 622.0, 18.0], shoonya_0s2OFHUAK90D1P, 5701709]
[paragraph, [84.0, 531.0, 622.0, 18.0], shoonya_0s2OFHUAK90D1P, 5701709]
[paragraph, [84.0, 549.0, 622.0, 18.0], shoonya_0s2OFHUAK90D1P, 5701709]
[paragraph, [84.0, 567.0, 622.0, 18.0], shoonya_0s2OFHUAK90D1P, 5701709]
[paragraph, [84.0, 585.0, 622.0, 18.0], shoonya_0s2OFHUAK90D1P, 5701709]
[paragraph, [84.0, 603.0, 622.0, 18.0], shoonya_0s2OFHUAK90D1P, 5701709]
[paragraph, [84.0, 621.0, 622.0, 18.0], shoonya_0s2OFHUAK90D1P, 5701709]
[paragraph, [84.0, 639.0, 622.0, 18.0], shoonya_0s2OFHUAK90D1P, 5701709]
[paragraph, [84.0, 657.0, 622.0, 18.0], shoonya_0s2OFHUAK90D1P, 5701709]
[paragraph, [84.0, 675.0, 622.0, 18.0], shoonya_0s2OFHUAK90D1P, 5701709]
[paragraph, [84.0, 693.0, 622.0, 18.0], shoonya_0s2OFHUAK90D1P, 5701709]
[paragraph, [145.0, 737.0, 437.0, 18.0], shoonya_5sGX7LXMO0Q06V, 5701709]
[paragraph, [145.0, 755.0, 437.0, 18.0], shoonya_5sGX7LXMO0Q06V, 5701709]
[paragraph, [134.0, 783.0, 509.0, 18.0], D1K5-r9z9T, 5701709]
[paragraph, [134.0, 801.0, 509.0, 18.0], D1K5-r9z9T, 5701709]
[paragraph, [81.0, 843.0, 625.0, 18.0], shoonya_6sUI7MNKJKVNIC, 5701709]
[paragraph, [81.0, 861.0, 625.0, 18.0], shoonya_6sUI7MNKJKVNIC, 5701709]
[paragraph, [81.0, 879.0, 625.0, 18.0], shoonya_6sUI7MNKJKVNIC, 5701709]
[paragraph, [81.0, 897.0, 625.0, 18.0], shoonya_6sUI7MNKJKVNIC, 5701709]
[paragraph, [81.0, 915.0, 625.0, 18.0], shoonya_6sUI7MNKJKVNIC, 5701709]
[paragraph, [81.0, 933.0, 625.0, 18.0], shoonya_6sUI7MNKJKVNIC, 5701709]
[paragraph, [81.0, 951.0, 625.0, 18.0], shoonya_6sUI7MNKJKVNIC, 5701709]
[paragraph, [81.0, 969.0, 625.0, 18.0], shoonya_6sUI7MNKJKVNIC, 5701709]
[paragraph, [81.0, 987.0, 625.0, 18.0], shoonya_6sUI7MNKJKVNIC, 5701709]
[paragraph, [81.0, 1005.0, 625.0, 18.0], shoonya_6sUI7MNKJKVNIC, 5701709]
[paragraph, [81.0, 1023.0, 625.0, 18.0], shoonya_6sUI7MNKJKVNIC, 5701709]
[paragraph, [90.0, 1065.0, 615.0, 18.0], shoonya_4sKFCE80F1FCSG, 5701709]
[paragraph, [90.0, 1083.0, 615.0, 18.0], shoonya_4sKFCE80F1FCSG, 5701709]
[paragraph, [90.0, 1101.0, 615.0, 18.0], shoonya_4sKFCE80F1FCSG, 5701709]
[paragraph, [90.0, 1119.0, 615.0, 18.0], shoonya_4sKFCE80F1FCSG, 5701709]
[paragraph, [90.0, 1137.0, 615.0, 18.0], shoonya_4sKFCE80F1FCSG, 5701709]
[paragraph, [90.0, 1155.0, 615.0, 18.0], shoonya_4sKFCE80F1FCSG, 5701709]
