[1518, 1075]
[folio, [454.0, 115.0, 71.0, 36.0], 55swtrrtQ6, 5722666]
[paragraph, [89.0, 169.0, 428.0, 36.0], shoonya_1sS8EWV675TP0H, 5722666]
[paragraph, [89.0, 205.0, 428.0, 36.0], shoonya_1sS8EWV675TP0H, 5722666]
[paragraph, [89.0, 241.0, 428.0, 36.0], shoonya_1sS8EWV675TP0H, 5722666]
[paragraph, [89.0, 277.0, 428.0, 36.0], shoonya_1sS8EWV675TP0H, 5722666]
[paragraph, [89.0, 313.0, 428.0, 36.0], shoonya_1sS8EWV675TP0H, 5722666]
[paragraph, [89.0, 349.0, 428.0, 36.0], shoonya_1sS8EWV675TP0H, 5722666]
[paragraph, [89.0, 385.0, 428.0, 36.0], shoonya_1sS8EWV675TP0H, 5722666]
[paragraph, [89.0, 421.0, 428.0, 36.0], shoonya_1sS8EWV675TP0H, 5722666]
[paragraph, [89.0, 457.0, 428.0, 36.0], shoonya_1sS8EWV675TP0H, 5722666]
[paragraph, [89.0, 493.0, 428.0, 36.0], shoonya_1sS8EWV675TP0H, 5722666]
[paragraph, [89.0, 529.0, 428.0, 36.0], shoonya_1sS8EWV675TP0H, 5722666]
[paragraph, [89.0, 565.0, 428.0, 36.0], shoonya_1sS8EWV675TP0H, 5722666]
[paragraph, [89.0, 601.0, 428.0, 36.0], shoonya_1sS8EWV675TP0H, 5722666]
[paragraph, [89.0, 637.0, 428.0, 36.0], shoonya_1sS8EWV675TP0H, 5722666]
[paragraph, [89.0, 673.0, 428.0, 36.0], shoonya_1sS8EWV675TP0H, 5722666]
[paragraph, [89.0, 709.0, 428.0, 36.0], shoonya_1sS8EWV675TP0H, 5722666]
[paragraph, [89.0, 745.0, 428.0, 36.0], shoonya_1sS8EWV675TP0H, 5722666]
[paragraph, [89.0, 781.0, 428.0, 36.0], shoonya_1sS8EWV675TP0H, 5722666]
[paragraph, [89.0, 817.0, 428.0, 36.0], shoonya_1sS8EWV675TP0H, 5722666]
[paragraph, [89.0, 853.0, 428.0, 36.0], shoonya_1sS8EWV675TP0H, 5722666]
[paragraph, [534.0, 174.0, 428.0, 36.0], shoonya_3sT0DZKKZEGKTS, 5722666]
[paragraph, [534.0, 210.0, 428.0, 36.0], shoonya_3sT0DZKKZEGKTS, 5722666]
[paragraph, [534.0, 246.0, 428.0, 36.0], shoonya_3sT0DZKKZEGKTS, 5722666]
[paragraph, [534.0, 282.0, 428.0, 36.0], shoonya_3sT0DZKKZEGKTS, 5722666]
[paragraph, [534.0, 318.0, 428.0, 36.0], shoonya_3sT0DZKKZEGKTS, 5722666]
[paragraph, [534.0, 354.0, 428.0, 36.0], shoonya_3sT0DZKKZEGKTS, 5722666]
[paragraph, [534.0, 390.0, 428.0, 36.0], shoonya_3sT0DZKKZEGKTS, 5722666]
[paragraph, [534.0, 426.0, 428.0, 36.0], shoonya_3sT0DZKKZEGKTS, 5722666]
[paragraph, [534.0, 462.0, 428.0, 36.0], shoonya_3sT0DZKKZEGKTS, 5722666]
[paragraph, [534.0, 498.0, 428.0, 36.0], shoonya_3sT0DZKKZEGKTS, 5722666]
