[2230, 1630]
[sub-section-title, [354.0, 539.0, 922.0, 55.5], shoonya_3s9ES3S8UUO6XL, 5757693]
[paragraph, [153.0, 661.0, 1335.0, 36.0], shoonya_1s28VVYXTD319V, 5757693]
[paragraph, [153.0, 697.0, 1335.0, 36.0], shoonya_1s28VVYXTD319V, 5757693]
[paragraph, [153.0, 733.0, 1335.0, 36.0], shoonya_1s28VVYXTD319V, 5757693]
[paragraph, [153.0, 769.0, 1335.0, 36.0], shoonya_1s28VVYXTD319V, 5757693]
[paragraph, [153.0, 805.0, 1335.0, 36.0], shoonya_1s28VVYXTD319V, 5757693]
[paragraph, [153.0, 841.0, 1335.0, 36.0], shoonya_1s28VVYXTD319V, 5757693]
[paragraph, [153.0, 877.0, 1335.0, 36.0], shoonya_1s28VVYXTD319V, 5757693]
[paragraph, [153.0, 957.0, 1337.0, 36.0], shoonya_0s4356ZXDK7OHL, 5757693]
[paragraph, [153.0, 993.0, 1337.0, 36.0], shoonya_0s4356ZXDK7OHL, 5757693]
[paragraph, [153.0, 1029.0, 1337.0, 36.0], shoonya_0s4356ZXDK7OHL, 5757693]
[paragraph, [153.0, 1065.0, 1337.0, 36.0], shoonya_0s4356ZXDK7OHL, 5757693]
[paragraph, [153.0, 1101.0, 1337.0, 36.0], shoonya_0s4356ZXDK7OHL, 5757693]
[paragraph, [153.0, 1137.0, 1337.0, 36.0], shoonya_0s4356ZXDK7OHL, 5757693]
[paragraph, [153.0, 1173.0, 1337.0, 36.0], shoonya_0s4356ZXDK7OHL, 5757693]
[paragraph, [153.0, 1209.0, 1337.0, 36.0], shoonya_0s4356ZXDK7OHL, 5757693]
[paragraph, [153.0, 1245.0, 1337.0, 36.0], shoonya_0s4356ZXDK7OHL, 5757693]
[paragraph, [153.0, 1281.0, 1337.0, 36.0], shoonya_0s4356ZXDK7OHL, 5757693]
[paragraph, [153.0, 1317.0, 1337.0, 36.0], shoonya_0s4356ZXDK7OHL, 5757693]
[paragraph, [157.0, 1362.0, 1326.0, 36.0], 9vsM3kl_Op, 5757693]
[paragraph, [157.0, 1398.0, 1326.0, 36.0], 9vsM3kl_Op, 5757693]
[paragraph, [157.0, 1434.0, 1326.0, 36.0], 9vsM3kl_Op, 5757693]
[paragraph, [155.0, 1504.0, 1339.0, 36.0], shoonya_4s70WD8TKW07NS, 5757693]
[paragraph, [155.0, 1540.0, 1339.0, 36.0], shoonya_4s70WD8TKW07NS, 5757693]
[paragraph, [155.0, 1576.0, 1339.0, 36.0], shoonya_4s70WD8TKW07NS, 5757693]
[author, [987.0, 1839.0, 485.0, 36.0], m7wyakpsiU, 5757693]
[author, [987.0, 1875.0, 485.0, 36.0], m7wyakpsiU, 5757693]
[author, [987.0, 1911.0, 485.0, 36.0], m7wyakpsiU, 5757693]
[author, [987.0, 1947.0, 485.0, 36.0], m7wyakpsiU, 5757693]
[author, [987.0, 1983.0, 485.0, 36.0], m7wyakpsiU, 5757693]
