[945, 650]
[folio, [252.0, 46.0, 138.0, 18.0], BYE6iWik5x, 5739771]
[folio, [252.0, 64.0, 138.0, 18.0], BYE6iWik5x, 5739771]
[section-title, [235.0, 106.0, 200.0, 30.0], ukFSWXZdTD, 5739771]
[paragraph, [60.0, 165.0, 496.0, 18.0], oQTYpHqvi2, 5739771]
[paragraph, [60.0, 183.0, 496.0, 18.0], oQTYpHqvi2, 5739771]
[paragraph, [60.0, 201.0, 496.0, 18.0], oQTYpHqvi2, 5739771]
[paragraph, [71.0, 241.0, 458.0, 18.0], ah9yCHrzSA, 5739771]
[paragraph, [71.0, 259.0, 458.0, 18.0], ah9yCHrzSA, 5739771]
[paragraph, [71.0, 277.0, 458.0, 18.0], ah9yCHrzSA, 5739771]
[paragraph, [62.0, 316.0, 485.0, 18.0], j9ixc4MHCX, 5739771]
[paragraph, [62.0, 334.0, 485.0, 18.0], j9ixc4MHCX, 5739771]
[paragraph, [62.0, 352.0, 485.0, 18.0], j9ixc4MHCX, 5739771]
[paragraph, [57.0, 385.0, 486.0, 18.0], itsLTXJdKu, 5739771]
[paragraph, [57.0, 403.0, 486.0, 18.0], itsLTXJdKu, 5739771]
[paragraph, [57.0, 421.0, 486.0, 18.0], itsLTXJdKu, 5739771]
[paragraph, [62.0, 461.0, 458.0, 18.0], 1zFlYzbw29, 5739771]
[paragraph, [62.0, 479.0, 458.0, 18.0], 1zFlYzbw29, 5739771]
[paragraph, [62.0, 497.0, 458.0, 18.0], 1zFlYzbw29, 5739771]
[paragraph, [57.0, 537.0, 518.0, 18.0], vkHUOsIC7M, 5739771]
[paragraph, [57.0, 555.0, 518.0, 18.0], vkHUOsIC7M, 5739771]
[paragraph, [57.0, 573.0, 518.0, 18.0], vkHUOsIC7M, 5739771]
[paragraph, [65.0, 608.0, 464.0, 18.0], lhzV3lVLis, 5739771]
[paragraph, [65.0, 626.0, 464.0, 18.0], lhzV3lVLis, 5739771]
[paragraph, [65.0, 644.0, 464.0, 18.0], lhzV3lVLis, 5739771]
[paragraph, [61.0, 681.0, 483.0, 18.0], Bi1jYd3OtK, 5739771]
[paragraph, [61.0, 699.0, 483.0, 18.0], Bi1jYd3OtK, 5739771]
[paragraph, [61.0, 717.0, 483.0, 18.0], Bi1jYd3OtK, 5739771]
[paragraph, [62.0, 757.0, 477.0, 18.0], cKddYXHtkb, 5739771]
[paragraph, [62.0, 775.0, 477.0, 18.0], cKddYXHtkb, 5739771]
[paragraph, [62.0, 793.0, 477.0, 18.0], cKddYXHtkb, 5739771]
[paragraph, [64.0, 831.0, 523.0, 18.0], l5ZbbHAl1U, 5739771]
[paragraph, [64.0, 849.0, 523.0, 18.0], l5ZbbHAl1U, 5739771]
[paragraph, [64.0, 867.0, 523.0, 18.0], l5ZbbHAl1U, 5739771]
[footnote, [302.0, 910.0, 267.0, 18.0], NFwzc-S6tT, 5739771]
