[792, 612]
[folio, [204.0, 23.0, 235.0, 18.0], 8STuKRwfC0, 5744385]
[paragraph, [110.0, 57.0, 428.0, 18.0], shoonya_1sM3AFQVU4K096, 5744385]
[paragraph, [110.0, 75.0, 428.0, 18.0], shoonya_1sM3AFQVU4K096, 5744385]
[paragraph, [110.0, 93.0, 428.0, 18.0], shoonya_1sM3AFQVU4K096, 5744385]
[paragraph, [110.0, 111.0, 428.0, 18.0], shoonya_1sM3AFQVU4K096, 5744385]
[paragraph, [110.0, 129.0, 428.0, 18.0], shoonya_1sM3AFQVU4K096, 5744385]
[paragraph, [110.0, 147.0, 428.0, 18.0], shoonya_1sM3AFQVU4K096, 5744385]
[paragraph, [110.0, 165.0, 428.0, 18.0], shoonya_1sM3AFQVU4K096, 5744385]
[paragraph, [110.0, 183.0, 428.0, 18.0], shoonya_1sM3AFQVU4K096, 5744385]
[paragraph, [110.0, 201.0, 428.0, 18.0], shoonya_1sM3AFQVU4K096, 5744385]
[paragraph, [110.0, 219.0, 428.0, 18.0], shoonya_1sM3AFQVU4K096, 5744385]
[paragraph, [110.0, 237.0, 428.0, 18.0], shoonya_1sM3AFQVU4K096, 5744385]
[paragraph, [110.0, 255.0, 428.0, 18.0], shoonya_1sM3AFQVU4K096, 5744385]
[paragraph, [110.0, 273.0, 428.0, 18.0], shoonya_1sM3AFQVU4K096, 5744385]
[paragraph, [110.0, 291.0, 428.0, 18.0], shoonya_1sM3AFQVU4K096, 5744385]
[paragraph, [110.0, 309.0, 428.0, 18.0], shoonya_1sM3AFQVU4K096, 5744385]
[paragraph, [110.0, 327.0, 428.0, 18.0], shoonya_1sM3AFQVU4K096, 5744385]
[paragraph, [110.0, 345.0, 428.0, 18.0], shoonya_1sM3AFQVU4K096, 5744385]
[paragraph, [110.0, 363.0, 428.0, 18.0], shoonya_1sM3AFQVU4K096, 5744385]
[paragraph, [110.0, 381.0, 428.0, 18.0], shoonya_1sM3AFQVU4K096, 5744385]
[paragraph, [110.0, 399.0, 428.0, 18.0], shoonya_1sM3AFQVU4K096, 5744385]
[paragraph, [110.0, 445.0, 424.0, 18.0], shoonya_0sQDOQH21AUZHW, 5744385]
[paragraph, [110.0, 463.0, 424.0, 18.0], shoonya_0sQDOQH21AUZHW, 5744385]
[paragraph, [110.0, 481.0, 424.0, 18.0], shoonya_0sQDOQH21AUZHW, 5744385]
[paragraph, [110.0, 499.0, 424.0, 18.0], shoonya_0sQDOQH21AUZHW, 5744385]
[paragraph, [110.0, 517.0, 424.0, 18.0], shoonya_0sQDOQH21AUZHW, 5744385]
[paragraph, [110.0, 535.0, 424.0, 18.0], shoonya_0sQDOQH21AUZHW, 5744385]
[paragraph, [110.0, 553.0, 424.0, 18.0], shoonya_0sQDOQH21AUZHW, 5744385]
[paragraph, [110.0, 571.0, 424.0, 18.0], shoonya_0sQDOQH21AUZHW, 5744385]
[paragraph, [110.0, 589.0, 424.0, 18.0], shoonya_0sQDOQH21AUZHW, 5744385]
[paragraph, [110.0, 607.0, 424.0, 18.0], shoonya_0sQDOQH21AUZHW, 5744385]
[paragraph, [110.0, 625.0, 424.0, 18.0], shoonya_0sQDOQH21AUZHW, 5744385]
[paragraph, [110.0, 643.0, 424.0, 18.0], shoonya_0sQDOQH21AUZHW, 5744385]
[paragraph, [110.0, 661.0, 424.0, 18.0], shoonya_0sQDOQH21AUZHW, 5744385]
[paragraph, [110.0, 679.0, 424.0, 18.0], shoonya_0sQDOQH21AUZHW, 5744385]
