[1754, 1241]
[section-title, [457.0, 221.0, 302.0, 49.5], shoonya_2sH21099ZKNJ6X, 5761730]
[index, [176.0, 316.0, 816.0, 36.0], shoonya_0sX41AX1K71UXS, 5761730]
[index, [176.0, 352.0, 816.0, 36.0], shoonya_0sX41AX1K71UXS, 5761730]
[index, [176.0, 388.0, 816.0, 36.0], shoonya_0sX41AX1K71UXS, 5761730]
[index, [176.0, 424.0, 816.0, 36.0], shoonya_0sX41AX1K71UXS, 5761730]
[index, [176.0, 460.0, 816.0, 36.0], shoonya_0sX41AX1K71UXS, 5761730]
[index, [176.0, 496.0, 816.0, 36.0], shoonya_0sX41AX1K71UXS, 5761730]
[index, [176.0, 532.0, 816.0, 36.0], shoonya_0sX41AX1K71UXS, 5761730]
[index, [176.0, 568.0, 816.0, 36.0], shoonya_0sX41AX1K71UXS, 5761730]
[index, [176.0, 604.0, 816.0, 36.0], shoonya_0sX41AX1K71UXS, 5761730]
[index, [176.0, 640.0, 816.0, 36.0], shoonya_0sX41AX1K71UXS, 5761730]
[index, [176.0, 676.0, 816.0, 36.0], shoonya_0sX41AX1K71UXS, 5761730]
[index, [176.0, 712.0, 816.0, 36.0], shoonya_0sX41AX1K71UXS, 5761730]
[index, [176.0, 748.0, 816.0, 36.0], shoonya_0sX41AX1K71UXS, 5761730]
[index, [176.0, 784.0, 816.0, 36.0], shoonya_0sX41AX1K71UXS, 5761730]
[index, [176.0, 820.0, 816.0, 36.0], shoonya_0sX41AX1K71UXS, 5761730]
[index, [176.0, 856.0, 816.0, 36.0], shoonya_0sX41AX1K71UXS, 5761730]
[index, [176.0, 892.0, 816.0, 36.0], shoonya_0sX41AX1K71UXS, 5761730]
[index, [176.0, 928.0, 816.0, 36.0], shoonya_0sX41AX1K71UXS, 5761730]
[index, [176.0, 964.0, 816.0, 36.0], shoonya_0sX41AX1K71UXS, 5761730]
[index, [176.0, 1000.0, 816.0, 36.0], shoonya_0sX41AX1K71UXS, 5761730]
[index, [176.0, 1036.0, 816.0, 36.0], shoonya_0sX41AX1K71UXS, 5761730]
[index, [176.0, 1072.0, 816.0, 36.0], shoonya_0sX41AX1K71UXS, 5761730]
[index, [176.0, 1108.0, 816.0, 36.0], shoonya_0sX41AX1K71UXS, 5761730]
[index, [176.0, 1144.0, 816.0, 36.0], shoonya_0sX41AX1K71UXS, 5761730]
[index, [176.0, 1180.0, 816.0, 36.0], shoonya_0sX41AX1K71UXS, 5761730]
[index, [176.0, 1216.0, 816.0, 36.0], shoonya_0sX41AX1K71UXS, 5761730]
[index, [176.0, 1252.0, 816.0, 36.0], shoonya_0sX41AX1K71UXS, 5761730]
[index, [176.0, 1288.0, 816.0, 36.0], shoonya_0sX41AX1K71UXS, 5761730]
[index, [176.0, 1324.0, 816.0, 36.0], shoonya_0sX41AX1K71UXS, 5761730]
[index, [176.0, 1360.0, 816.0, 36.0], shoonya_0sX41AX1K71UXS, 5761730]
[index, [176.0, 1396.0, 816.0, 36.0], shoonya_0sX41AX1K71UXS, 5761730]
