[2339, 1653]
[paragraph, [250.0, 244.0, 1152.0, 36.0], shoonya_2sMXUM74REHSUQ, 5687410]
[paragraph, [250.0, 280.0, 1152.0, 36.0], shoonya_2sMXUM74REHSUQ, 5687410]
[paragraph, [250.0, 316.0, 1152.0, 36.0], shoonya_2sMXUM74REHSUQ, 5687410]
[paragraph, [447.0, 376.0, 821.0, 36.0], GteX_Z0Dzd, 5687410]
[paragraph, [447.0, 412.0, 821.0, 36.0], GteX_Z0Dzd, 5687410]
[paragraph, [447.0, 448.0, 821.0, 36.0], GteX_Z0Dzd, 5687410]
[paragraph, [447.0, 484.0, 821.0, 36.0], GteX_Z0Dzd, 5687410]
[reference, [869.0, 556.0, 246.0, 36.0], Rg0IDh4Cf_, 5687410]
[paragraph, [451.0, 560.0, 413.0, 36.0], 57fI8FZMFq, 5687410]
[paragraph, [250.0, 620.0, 1151.0, 36.0], H9WkFKYZly, 5687410]
[paragraph, [250.0, 656.0, 1151.0, 36.0], H9WkFKYZly, 5687410]
[paragraph, [250.0, 692.0, 1151.0, 36.0], H9WkFKYZly, 5687410]
[paragraph, [250.0, 728.0, 1151.0, 36.0], H9WkFKYZly, 5687410]
[paragraph, [250.0, 764.0, 1151.0, 36.0], H9WkFKYZly, 5687410]
[paragraph, [451.0, 819.0, 817.0, 36.0], eAL2wpzkuz, 5687410]
[paragraph, [451.0, 855.0, 817.0, 36.0], eAL2wpzkuz, 5687410]
[paragraph, [451.0, 891.0, 817.0, 36.0], eAL2wpzkuz, 5687410]
[paragraph, [451.0, 927.0, 817.0, 36.0], eAL2wpzkuz, 5687410]
[paragraph, [451.0, 963.0, 817.0, 36.0], eAL2wpzkuz, 5687410]
[paragraph, [451.0, 999.0, 817.0, 36.0], eAL2wpzkuz, 5687410]
[paragraph, [451.0, 1053.0, 355.0, 36.0], _yv7kMg-w7, 5687410]
[reference, [812.0, 1055.0, 131.0, 36.0], GLh4k1vqUT, 5687410]
[paragraph, [249.0, 1120.0, 1155.0, 36.0], shoonya_5sF8NK08WI120I, 5687410]
[paragraph, [249.0, 1156.0, 1155.0, 36.0], shoonya_5sF8NK08WI120I, 5687410]
[paragraph, [249.0, 1192.0, 1155.0, 36.0], shoonya_5sF8NK08WI120I, 5687410]
[paragraph, [249.0, 1228.0, 1155.0, 36.0], shoonya_5sF8NK08WI120I, 5687410]
[paragraph, [249.0, 1264.0, 1155.0, 36.0], shoonya_5sF8NK08WI120I, 5687410]
[reference, [1143.0, 1316.0, 129.0, 36.0], BUIpsMPIj-, 5687410]
[paragraph, [452.0, 1317.0, 686.0, 36.0], shoonya_4sT8ZAR9NUQYS4, 5687410]
[reference, [457.0, 1381.0, 219.0, 36.0], shoonya_3s9HTWBV5Y7EON, 5687410]
[paragraph, [246.0, 1444.0, 1158.0, 36.0], shoonya_0sRFTQLLNTG41T, 5687410]
[paragraph, [246.0, 1480.0, 1158.0, 36.0], shoonya_0sRFTQLLNTG41T, 5687410]
[paragraph, [246.0, 1516.0, 1158.0, 36.0], shoonya_0sRFTQLLNTG41T, 5687410]
[paragraph, [246.0, 1552.0, 1158.0, 36.0], shoonya_0sRFTQLLNTG41T, 5687410]
[paragraph, [246.0, 1588.0, 1158.0, 36.0], shoonya_0sRFTQLLNTG41T, 5687410]
[paragraph, [246.0, 1624.0, 1158.0, 36.0], shoonya_0sRFTQLLNTG41T, 5687410]
[paragraph, [246.0, 1660.0, 1158.0, 36.0], shoonya_0sRFTQLLNTG41T, 5687410]
[paragraph, [246.0, 1696.0, 1158.0, 36.0], shoonya_0sRFTQLLNTG41T, 5687410]
[paragraph, [246.0, 1732.0, 1158.0, 36.0], shoonya_0sRFTQLLNTG41T, 5687410]
[paragraph, [246.0, 1768.0, 1158.0, 36.0], shoonya_0sRFTQLLNTG41T, 5687410]
[paragraph, [242.0, 1977.0, 1172.0, 36.0], shoonya_7sM1130IODMSGK, 5687410]
[paragraph, [242.0, 2013.0, 1172.0, 36.0], shoonya_7sM1130IODMSGK, 5687410]
[paragraph, [242.0, 2049.0, 1172.0, 36.0], shoonya_7sM1130IODMSGK, 5687410]
