[2481, 1654]
[folio, [1190.0, 99.0, 119.0, 36.0], Zp2RxXtSAW, 5720930]
[paragraph, [163.0, 219.0, 1261.0, 36.0], 5fEdJaUyr6, 5720930]
[paragraph, [163.0, 255.0, 1261.0, 36.0], 5fEdJaUyr6, 5720930]
[paragraph, [150.0, 324.0, 1285.0, 36.0], CIzegWcwC_, 5720930]
[paragraph, [150.0, 360.0, 1285.0, 36.0], CIzegWcwC_, 5720930]
[paragraph, [150.0, 396.0, 1285.0, 36.0], CIzegWcwC_, 5720930]
[paragraph, [150.0, 432.0, 1285.0, 36.0], CIzegWcwC_, 5720930]
[paragraph, [150.0, 468.0, 1285.0, 36.0], CIzegWcwC_, 5720930]
[paragraph, [150.0, 504.0, 1285.0, 36.0], CIzegWcwC_, 5720930]
[paragraph, [150.0, 540.0, 1285.0, 36.0], CIzegWcwC_, 5720930]
[paragraph, [150.0, 576.0, 1285.0, 36.0], CIzegWcwC_, 5720930]
[paragraph, [150.0, 612.0, 1285.0, 36.0], CIzegWcwC_, 5720930]
[paragraph, [165.0, 682.0, 1271.0, 36.0], CWzJLT-1rC, 5720930]
[paragraph, [165.0, 718.0, 1271.0, 36.0], CWzJLT-1rC, 5720930]
[paragraph, [165.0, 754.0, 1271.0, 36.0], CWzJLT-1rC, 5720930]
[paragraph, [165.0, 790.0, 1271.0, 36.0], CWzJLT-1rC, 5720930]
[paragraph, [168.0, 847.0, 1264.0, 36.0], shoonya_3sRCKTM0KHBQEK, 5720930]
[paragraph, [168.0, 883.0, 1264.0, 36.0], shoonya_3sRCKTM0KHBQEK, 5720930]
[paragraph, [164.0, 1147.0, 1267.0, 36.0], shoonya_2sEWIR0ZOAM2HA, 5720930]
[paragraph, [164.0, 1183.0, 1267.0, 36.0], shoonya_2sEWIR0ZOAM2HA, 5720930]
[paragraph, [164.0, 1219.0, 1267.0, 36.0], shoonya_2sEWIR0ZOAM2HA, 5720930]
[paragraph, [164.0, 1255.0, 1267.0, 36.0], shoonya_2sEWIR0ZOAM2HA, 5720930]
[paragraph, [164.0, 1291.0, 1267.0, 36.0], shoonya_2sEWIR0ZOAM2HA, 5720930]
[paragraph, [164.0, 1327.0, 1267.0, 36.0], shoonya_2sEWIR0ZOAM2HA, 5720930]
[paragraph, [164.0, 1363.0, 1267.0, 36.0], shoonya_2sEWIR0ZOAM2HA, 5720930]
[paragraph, [169.0, 1420.0, 1263.0, 36.0], dyX8lyin0W, 5720930]
[paragraph, [169.0, 1456.0, 1263.0, 36.0], dyX8lyin0W, 5720930]
[paragraph, [225.0, 1525.0, 800.0, 36.0], E_qfF-3yzI, 5720930]
[paragraph, [163.0, 1573.0, 1275.0, 36.0], KH3HGJ2EzT, 5720930]
[paragraph, [163.0, 1609.0, 1275.0, 36.0], KH3HGJ2EzT, 5720930]
[paragraph, [161.0, 1678.0, 1271.0, 36.0], -C5eqPTy1Z, 5720930]
[paragraph, [161.0, 1714.0, 1271.0, 36.0], -C5eqPTy1Z, 5720930]
[paragraph, [157.0, 1782.0, 1285.0, 36.0], KAntUcnNNZ, 5720930]
[paragraph, [157.0, 1818.0, 1285.0, 36.0], KAntUcnNNZ, 5720930]
[paragraph, [157.0, 1854.0, 1285.0, 36.0], KAntUcnNNZ, 5720930]
[paragraph, [157.0, 1890.0, 1285.0, 36.0], KAntUcnNNZ, 5720930]
[paragraph, [157.0, 1926.0, 1285.0, 36.0], KAntUcnNNZ, 5720930]
[paragraph, [157.0, 1962.0, 1285.0, 36.0], KAntUcnNNZ, 5720930]
[paragraph, [157.0, 1998.0, 1285.0, 36.0], KAntUcnNNZ, 5720930]
[paragraph, [157.0, 2034.0, 1285.0, 36.0], KAntUcnNNZ, 5720930]
[paragraph, [157.0, 2070.0, 1285.0, 36.0], KAntUcnNNZ, 5720930]
[paragraph, [157.0, 2106.0, 1285.0, 36.0], KAntUcnNNZ, 5720930]
[paragraph, [157.0, 2142.0, 1285.0, 36.0], KAntUcnNNZ, 5720930]
