[1650, 1275]
[ordered-list, [275.0, 100.0, 821.0, 36.0], shoonya_0sDJXZC7BLLBPG, 5713993]
[ordered-list, [275.0, 136.0, 821.0, 36.0], shoonya_0sDJXZC7BLLBPG, 5713993]
[ordered-list, [275.0, 172.0, 821.0, 36.0], shoonya_0sDJXZC7BLLBPG, 5713993]
[ordered-list, [275.0, 208.0, 821.0, 36.0], shoonya_0sDJXZC7BLLBPG, 5713993]
[ordered-list, [275.0, 244.0, 821.0, 36.0], shoonya_0sDJXZC7BLLBPG, 5713993]
[ordered-list, [275.0, 280.0, 821.0, 36.0], shoonya_0sDJXZC7BLLBPG, 5713993]
[ordered-list, [275.0, 316.0, 821.0, 36.0], shoonya_0sDJXZC7BLLBPG, 5713993]
[ordered-list, [275.0, 352.0, 821.0, 36.0], shoonya_0sDJXZC7BLLBPG, 5713993]
[ordered-list, [275.0, 388.0, 821.0, 36.0], shoonya_0sDJXZC7BLLBPG, 5713993]
[ordered-list, [275.0, 424.0, 821.0, 36.0], shoonya_0sDJXZC7BLLBPG, 5713993]
[ordered-list, [275.0, 460.0, 821.0, 36.0], shoonya_0sDJXZC7BLLBPG, 5713993]
[ordered-list, [275.0, 496.0, 821.0, 36.0], shoonya_0sDJXZC7BLLBPG, 5713993]
[ordered-list, [275.0, 532.0, 821.0, 36.0], shoonya_0sDJXZC7BLLBPG, 5713993]
[ordered-list, [275.0, 568.0, 821.0, 36.0], shoonya_0sDJXZC7BLLBPG, 5713993]
[ordered-list, [275.0, 604.0, 821.0, 36.0], shoonya_0sDJXZC7BLLBPG, 5713993]
[ordered-list, [275.0, 640.0, 821.0, 36.0], shoonya_0sDJXZC7BLLBPG, 5713993]
[ordered-list, [275.0, 676.0, 821.0, 36.0], shoonya_0sDJXZC7BLLBPG, 5713993]
[ordered-list, [275.0, 712.0, 821.0, 36.0], shoonya_0sDJXZC7BLLBPG, 5713993]
[ordered-list, [275.0, 748.0, 821.0, 36.0], shoonya_0sDJXZC7BLLBPG, 5713993]
[ordered-list, [275.0, 784.0, 821.0, 36.0], shoonya_0sDJXZC7BLLBPG, 5713993]
[ordered-list, [275.0, 820.0, 821.0, 36.0], shoonya_0sDJXZC7BLLBPG, 5713993]
[ordered-list, [275.0, 856.0, 821.0, 36.0], shoonya_0sDJXZC7BLLBPG, 5713993]
[ordered-list, [275.0, 892.0, 821.0, 36.0], shoonya_0sDJXZC7BLLBPG, 5713993]
[ordered-list, [275.0, 928.0, 821.0, 36.0], shoonya_0sDJXZC7BLLBPG, 5713993]
[ordered-list, [275.0, 964.0, 821.0, 36.0], shoonya_0sDJXZC7BLLBPG, 5713993]
[ordered-list, [275.0, 1000.0, 821.0, 36.0], shoonya_0sDJXZC7BLLBPG, 5713993]
[ordered-list, [275.0, 1036.0, 821.0, 36.0], shoonya_0sDJXZC7BLLBPG, 5713993]
[ordered-list, [275.0, 1072.0, 821.0, 36.0], shoonya_0sDJXZC7BLLBPG, 5713993]
[ordered-list, [275.0, 1108.0, 821.0, 36.0], shoonya_0sDJXZC7BLLBPG, 5713993]
[ordered-list, [275.0, 1144.0, 821.0, 36.0], shoonya_0sDJXZC7BLLBPG, 5713993]
[ordered-list, [275.0, 1180.0, 821.0, 36.0], shoonya_0sDJXZC7BLLBPG, 5713993]
[ordered-list, [275.0, 1216.0, 821.0, 36.0], shoonya_0sDJXZC7BLLBPG, 5713993]
[ordered-list, [275.0, 1252.0, 821.0, 36.0], shoonya_0sDJXZC7BLLBPG, 5713993]
[ordered-list, [275.0, 1288.0, 821.0, 36.0], shoonya_0sDJXZC7BLLBPG, 5713993]
[ordered-list, [275.0, 1324.0, 821.0, 36.0], shoonya_0sDJXZC7BLLBPG, 5713993]
[ordered-list, [275.0, 1360.0, 821.0, 36.0], shoonya_0sDJXZC7BLLBPG, 5713993]
[ordered-list, [275.0, 1396.0, 821.0, 36.0], shoonya_0sDJXZC7BLLBPG, 5713993]
[ordered-list, [275.0, 1432.0, 821.0, 36.0], shoonya_0sDJXZC7BLLBPG, 5713993]
[ordered-list, [275.0, 1468.0, 821.0, 36.0], shoonya_0sDJXZC7BLLBPG, 5713993]
