[709, 510]
[chapter-title, [90.0, 61.0, 323.0, 30.0], shoonya_2sNDNCCXES6NF8, 5656249]
[sidebar, [61.0, 160.0, 153.0, 18.0], DgDEMq5Btt, 5656249]
[sidebar, [61.0, 178.0, 153.0, 18.0], DgDEMq5Btt, 5656249]
[sidebar, [61.0, 196.0, 153.0, 18.0], DgDEMq5Btt, 5656249]
[sidebar, [61.0, 214.0, 153.0, 18.0], DgDEMq5Btt, 5656249]
[sidebar, [61.0, 232.0, 153.0, 18.0], DgDEMq5Btt, 5656249]
[sidebar, [61.0, 250.0, 153.0, 18.0], DgDEMq5Btt, 5656249]
[sidebar, [61.0, 268.0, 153.0, 18.0], DgDEMq5Btt, 5656249]
[sidebar, [61.0, 286.0, 153.0, 18.0], DgDEMq5Btt, 5656249]
[paragraph, [39.0, 334.0, 427.0, 18.0], shoonya_1sCIFTQUI8T24S, 5656249]
[paragraph, [39.0, 352.0, 427.0, 18.0], shoonya_1sCIFTQUI8T24S, 5656249]
[paragraph, [39.0, 370.0, 427.0, 18.0], shoonya_1sCIFTQUI8T24S, 5656249]
[paragraph, [39.0, 388.0, 427.0, 18.0], shoonya_1sCIFTQUI8T24S, 5656249]
[paragraph, [39.0, 406.0, 427.0, 18.0], shoonya_1sCIFTQUI8T24S, 5656249]
[paragraph, [39.0, 424.0, 427.0, 18.0], shoonya_1sCIFTQUI8T24S, 5656249]
[paragraph, [39.0, 442.0, 427.0, 18.0], shoonya_1sCIFTQUI8T24S, 5656249]
[paragraph, [39.0, 460.0, 427.0, 18.0], shoonya_1sCIFTQUI8T24S, 5656249]
[paragraph, [39.0, 478.0, 427.0, 18.0], shoonya_1sCIFTQUI8T24S, 5656249]
[paragraph, [39.0, 496.0, 427.0, 18.0], shoonya_1sCIFTQUI8T24S, 5656249]
[paragraph, [39.0, 514.0, 427.0, 18.0], shoonya_1sCIFTQUI8T24S, 5656249]
[paragraph, [39.0, 532.0, 427.0, 18.0], shoonya_1sCIFTQUI8T24S, 5656249]
[paragraph, [39.0, 550.0, 427.0, 18.0], shoonya_1sCIFTQUI8T24S, 5656249]
[paragraph, [39.0, 568.0, 427.0, 18.0], shoonya_1sCIFTQUI8T24S, 5656249]
[paragraph, [39.0, 586.0, 427.0, 18.0], shoonya_1sCIFTQUI8T24S, 5656249]
[paragraph, [39.0, 604.0, 427.0, 18.0], shoonya_1sCIFTQUI8T24S, 5656249]
[paragraph, [39.0, 622.0, 427.0, 18.0], shoonya_1sCIFTQUI8T24S, 5656249]
[folio, [46.0, 655.0, 112.0, 18.0], shoonya_3s6YSUOCM2SCHS, 5656249]
