[2339, 1653]
[folio, [295.0, 214.0, 187.0, 36.0], McuZze98OR, 5655023]
[paragraph, [284.0, 311.0, 1082.0, 36.0], shoonya_1sSKPLVDXEA3ZE, 5655023]
[paragraph, [284.0, 347.0, 1082.0, 36.0], shoonya_1sSKPLVDXEA3ZE, 5655023]
[paragraph, [284.0, 383.0, 1082.0, 36.0], shoonya_1sSKPLVDXEA3ZE, 5655023]
[paragraph, [284.0, 419.0, 1082.0, 36.0], shoonya_1sSKPLVDXEA3ZE, 5655023]
[paragraph, [284.0, 455.0, 1082.0, 36.0], shoonya_1sSKPLVDXEA3ZE, 5655023]
[paragraph, [284.0, 491.0, 1082.0, 36.0], shoonya_1sSKPLVDXEA3ZE, 5655023]
[paragraph, [284.0, 527.0, 1082.0, 36.0], shoonya_1sSKPLVDXEA3ZE, 5655023]
[paragraph, [284.0, 563.0, 1082.0, 36.0], shoonya_1sSKPLVDXEA3ZE, 5655023]
[paragraph, [284.0, 599.0, 1082.0, 36.0], shoonya_1sSKPLVDXEA3ZE, 5655023]
[paragraph, [284.0, 635.0, 1082.0, 36.0], shoonya_1sSKPLVDXEA3ZE, 5655023]
[paragraph, [284.0, 671.0, 1082.0, 36.0], shoonya_1sSKPLVDXEA3ZE, 5655023]
[paragraph, [284.0, 707.0, 1082.0, 36.0], shoonya_1sSKPLVDXEA3ZE, 5655023]
[paragraph, [284.0, 743.0, 1082.0, 36.0], shoonya_1sSKPLVDXEA3ZE, 5655023]
[paragraph, [284.0, 779.0, 1082.0, 36.0], shoonya_1sSKPLVDXEA3ZE, 5655023]
[paragraph, [284.0, 815.0, 1082.0, 36.0], shoonya_1sSKPLVDXEA3ZE, 5655023]
[paragraph, [284.0, 851.0, 1082.0, 36.0], shoonya_1sSKPLVDXEA3ZE, 5655023]
[paragraph, [284.0, 887.0, 1082.0, 36.0], shoonya_1sSKPLVDXEA3ZE, 5655023]
[paragraph, [284.0, 923.0, 1082.0, 36.0], shoonya_1sSKPLVDXEA3ZE, 5655023]
[paragraph, [284.0, 959.0, 1082.0, 36.0], shoonya_1sSKPLVDXEA3ZE, 5655023]
[paragraph, [284.0, 1018.0, 1081.0, 36.0], shoonya_0sPQHHXIT6QH4X, 5655023]
[paragraph, [284.0, 1054.0, 1081.0, 36.0], shoonya_0sPQHHXIT6QH4X, 5655023]
[paragraph, [284.0, 1090.0, 1081.0, 36.0], shoonya_0sPQHHXIT6QH4X, 5655023]
[paragraph, [284.0, 1126.0, 1081.0, 36.0], shoonya_0sPQHHXIT6QH4X, 5655023]
[paragraph, [284.0, 1162.0, 1081.0, 36.0], shoonya_0sPQHHXIT6QH4X, 5655023]
[paragraph, [284.0, 1198.0, 1081.0, 36.0], shoonya_0sPQHHXIT6QH4X, 5655023]
[paragraph, [284.0, 1234.0, 1081.0, 36.0], shoonya_0sPQHHXIT6QH4X, 5655023]
[paragraph, [284.0, 1270.0, 1081.0, 36.0], shoonya_0sPQHHXIT6QH4X, 5655023]
[paragraph, [284.0, 1306.0, 1081.0, 36.0], shoonya_0sPQHHXIT6QH4X, 5655023]
[paragraph, [284.0, 1342.0, 1081.0, 36.0], shoonya_0sPQHHXIT6QH4X, 5655023]
[paragraph, [284.0, 1378.0, 1081.0, 36.0], shoonya_0sPQHHXIT6QH4X, 5655023]
[paragraph, [284.0, 1414.0, 1081.0, 36.0], shoonya_0sPQHHXIT6QH4X, 5655023]
[paragraph, [284.0, 1450.0, 1081.0, 36.0], shoonya_0sPQHHXIT6QH4X, 5655023]
[paragraph, [284.0, 1486.0, 1081.0, 36.0], shoonya_0sPQHHXIT6QH4X, 5655023]
[paragraph, [284.0, 1522.0, 1081.0, 36.0], shoonya_0sPQHHXIT6QH4X, 5655023]
[paragraph, [284.0, 1558.0, 1081.0, 36.0], shoonya_0sPQHHXIT6QH4X, 5655023]
[paragraph, [284.0, 1594.0, 1081.0, 36.0], shoonya_0sPQHHXIT6QH4X, 5655023]
[paragraph, [284.0, 1630.0, 1081.0, 36.0], shoonya_0sPQHHXIT6QH4X, 5655023]
[paragraph, [284.0, 1666.0, 1081.0, 36.0], shoonya_0sPQHHXIT6QH4X, 5655023]
[paragraph, [284.0, 1702.0, 1081.0, 36.0], shoonya_0sPQHHXIT6QH4X, 5655023]
[paragraph, [284.0, 1738.0, 1081.0, 36.0], shoonya_0sPQHHXIT6QH4X, 5655023]
[paragraph, [284.0, 1774.0, 1081.0, 36.0], shoonya_0sPQHHXIT6QH4X, 5655023]
[paragraph, [284.0, 1810.0, 1081.0, 36.0], shoonya_0sPQHHXIT6QH4X, 5655023]
[paragraph, [284.0, 1846.0, 1081.0, 36.0], shoonya_0sPQHHXIT6QH4X, 5655023]
[paragraph, [284.0, 1882.0, 1081.0, 36.0], shoonya_0sPQHHXIT6QH4X, 5655023]
[paragraph, [284.0, 1918.0, 1081.0, 36.0], shoonya_0sPQHHXIT6QH4X, 5655023]
[paragraph, [284.0, 1954.0, 1081.0, 36.0], shoonya_0sPQHHXIT6QH4X, 5655023]
[paragraph, [284.0, 1990.0, 1081.0, 36.0], shoonya_0sPQHHXIT6QH4X, 5655023]
[paragraph, [284.0, 2026.0, 1081.0, 36.0], shoonya_0sPQHHXIT6QH4X, 5655023]
