[1987, 1270]
[folio, [564.0, 125.0, 143.0, 36.0], shoonya_0sAPKIX981GBQP, 5682209]
[paragraph, [167.0, 196.0, 539.0, 36.0], shoonya_3sXDQQM0QGG6MB, 5682209]
[paragraph, [127.0, 249.0, 1017.0, 36.0], shoonya_4sSWV870D1JQ6N, 5682209]
[paragraph, [127.0, 285.0, 1017.0, 36.0], shoonya_4sSWV870D1JQ6N, 5682209]
[paragraph, [127.0, 321.0, 1017.0, 36.0], shoonya_4sSWV870D1JQ6N, 5682209]
[paragraph, [127.0, 357.0, 1017.0, 36.0], shoonya_4sSWV870D1JQ6N, 5682209]
[paragraph, [127.0, 393.0, 1017.0, 36.0], shoonya_4sSWV870D1JQ6N, 5682209]
[paragraph, [127.0, 465.0, 1020.0, 36.0], 67LrAK7nDz, 5682209]
[paragraph, [127.0, 501.0, 1020.0, 36.0], 67LrAK7nDz, 5682209]
[paragraph, [127.0, 537.0, 1020.0, 36.0], 67LrAK7nDz, 5682209]
[paragraph, [127.0, 573.0, 1020.0, 36.0], 67LrAK7nDz, 5682209]
[paragraph, [127.0, 609.0, 1020.0, 36.0], 67LrAK7nDz, 5682209]
[paragraph, [127.0, 645.0, 1020.0, 36.0], 67LrAK7nDz, 5682209]
[paragraph, [127.0, 681.0, 1020.0, 36.0], 67LrAK7nDz, 5682209]
[paragraph, [127.0, 717.0, 1020.0, 36.0], 67LrAK7nDz, 5682209]
[paragraph, [125.0, 791.0, 1022.0, 36.0], PYb9hzymd3, 5682209]
[paragraph, [125.0, 827.0, 1022.0, 36.0], PYb9hzymd3, 5682209]
[paragraph, [125.0, 863.0, 1022.0, 36.0], PYb9hzymd3, 5682209]
[paragraph, [125.0, 899.0, 1022.0, 36.0], PYb9hzymd3, 5682209]
[paragraph, [125.0, 935.0, 1022.0, 36.0], PYb9hzymd3, 5682209]
[paragraph, [125.0, 971.0, 1022.0, 36.0], PYb9hzymd3, 5682209]
[paragraph, [125.0, 1007.0, 1022.0, 36.0], PYb9hzymd3, 5682209]
[paragraph, [125.0, 1043.0, 1022.0, 36.0], PYb9hzymd3, 5682209]
[paragraph, [125.0, 1079.0, 1022.0, 36.0], PYb9hzymd3, 5682209]
[paragraph, [125.0, 1115.0, 1022.0, 36.0], PYb9hzymd3, 5682209]
[paragraph, [125.0, 1151.0, 1022.0, 36.0], PYb9hzymd3, 5682209]
[paragraph, [126.0, 1220.0, 1025.0, 36.0], Emeow_BNJg, 5682209]
[paragraph, [126.0, 1256.0, 1025.0, 36.0], Emeow_BNJg, 5682209]
[paragraph, [126.0, 1292.0, 1025.0, 36.0], Emeow_BNJg, 5682209]
[paragraph, [126.0, 1328.0, 1025.0, 36.0], Emeow_BNJg, 5682209]
[paragraph, [126.0, 1364.0, 1025.0, 36.0], Emeow_BNJg, 5682209]
[paragraph, [126.0, 1400.0, 1025.0, 36.0], Emeow_BNJg, 5682209]
[paragraph, [126.0, 1436.0, 1025.0, 36.0], Emeow_BNJg, 5682209]
