[2339, 1653]
[paragraph, [250.0, 246.0, 1154.0, 36.0], shoonya_2sSZO4TL4QMEE4, 5686704]
[paragraph, [250.0, 282.0, 1154.0, 36.0], shoonya_2sSZO4TL4QMEE4, 5686704]
[paragraph, [250.0, 318.0, 1154.0, 36.0], shoonya_2sSZO4TL4QMEE4, 5686704]
[paragraph, [704.0, 384.0, 700.0, 36.0], AXzLndPkaT, 5686704]
[paragraph, [249.0, 448.0, 1154.0, 36.0], shoonya_0sVY3APD4T7WNU, 5686704]
[paragraph, [249.0, 484.0, 1154.0, 36.0], shoonya_0sVY3APD4T7WNU, 5686704]
[paragraph, [249.0, 520.0, 1154.0, 36.0], shoonya_0sVY3APD4T7WNU, 5686704]
[paragraph, [249.0, 556.0, 1154.0, 36.0], shoonya_0sVY3APD4T7WNU, 5686704]
[paragraph, [249.0, 592.0, 1154.0, 36.0], shoonya_0sVY3APD4T7WNU, 5686704]
[paragraph, [249.0, 628.0, 1154.0, 36.0], shoonya_0sVY3APD4T7WNU, 5686704]
[paragraph, [249.0, 664.0, 1154.0, 36.0], shoonya_0sVY3APD4T7WNU, 5686704]
[paragraph, [249.0, 700.0, 1154.0, 36.0], shoonya_0sVY3APD4T7WNU, 5686704]
[paragraph, [249.0, 736.0, 1154.0, 36.0], shoonya_0sVY3APD4T7WNU, 5686704]
[paragraph, [249.0, 772.0, 1154.0, 36.0], shoonya_0sVY3APD4T7WNU, 5686704]
[paragraph, [249.0, 808.0, 1154.0, 36.0], shoonya_0sVY3APD4T7WNU, 5686704]
[paragraph, [249.0, 844.0, 1154.0, 36.0], shoonya_0sVY3APD4T7WNU, 5686704]
[paragraph, [249.0, 880.0, 1154.0, 36.0], shoonya_0sVY3APD4T7WNU, 5686704]
[paragraph, [249.0, 916.0, 1154.0, 36.0], shoonya_0sVY3APD4T7WNU, 5686704]
[paragraph, [249.0, 952.0, 1154.0, 36.0], shoonya_0sVY3APD4T7WNU, 5686704]
[paragraph, [249.0, 988.0, 1154.0, 36.0], shoonya_0sVY3APD4T7WNU, 5686704]
[paragraph, [249.0, 1024.0, 1154.0, 36.0], shoonya_0sVY3APD4T7WNU, 5686704]
[paragraph, [444.0, 1084.0, 481.0, 36.0], mol78KgwQ0, 5686704]
[paragraph, [444.0, 1120.0, 481.0, 36.0], mol78KgwQ0, 5686704]
[paragraph, [444.0, 1156.0, 481.0, 36.0], mol78KgwQ0, 5686704]
[paragraph, [444.0, 1192.0, 481.0, 36.0], mol78KgwQ0, 5686704]
[paragraph, [444.0, 1228.0, 481.0, 36.0], mol78KgwQ0, 5686704]
[paragraph, [444.0, 1264.0, 481.0, 36.0], mol78KgwQ0, 5686704]
[paragraph, [247.0, 1454.0, 1155.0, 36.0], shoonya_1sUWB7EB41I6JH, 5686704]
[paragraph, [247.0, 1490.0, 1155.0, 36.0], shoonya_1sUWB7EB41I6JH, 5686704]
[paragraph, [247.0, 1526.0, 1155.0, 36.0], shoonya_1sUWB7EB41I6JH, 5686704]
[paragraph, [247.0, 1562.0, 1155.0, 36.0], shoonya_1sUWB7EB41I6JH, 5686704]
[paragraph, [247.0, 1598.0, 1155.0, 36.0], shoonya_1sUWB7EB41I6JH, 5686704]
[paragraph, [247.0, 1634.0, 1155.0, 36.0], shoonya_1sUWB7EB41I6JH, 5686704]
[paragraph, [247.0, 1670.0, 1155.0, 36.0], shoonya_1sUWB7EB41I6JH, 5686704]
[paragraph, [247.0, 1706.0, 1155.0, 36.0], shoonya_1sUWB7EB41I6JH, 5686704]
[paragraph, [247.0, 1742.0, 1155.0, 36.0], shoonya_1sUWB7EB41I6JH, 5686704]
[paragraph, [247.0, 1778.0, 1155.0, 36.0], shoonya_1sUWB7EB41I6JH, 5686704]
[paragraph, [247.0, 1814.0, 1155.0, 36.0], shoonya_1sUWB7EB41I6JH, 5686704]
[paragraph, [247.0, 1850.0, 1155.0, 36.0], shoonya_1sUWB7EB41I6JH, 5686704]
[paragraph, [247.0, 1886.0, 1155.0, 36.0], shoonya_1sUWB7EB41I6JH, 5686704]
[paragraph, [247.0, 1922.0, 1155.0, 36.0], shoonya_1sUWB7EB41I6JH, 5686704]
[paragraph, [247.0, 1958.0, 1155.0, 36.0], shoonya_1sUWB7EB41I6JH, 5686704]
[paragraph, [247.0, 1994.0, 1155.0, 36.0], shoonya_1sUWB7EB41I6JH, 5686704]
[paragraph, [247.0, 2030.0, 1155.0, 36.0], shoonya_1sUWB7EB41I6JH, 5686704]
[paragraph, [247.0, 2066.0, 1155.0, 36.0], shoonya_1sUWB7EB41I6JH, 5686704]
[paragraph, [247.0, 2102.0, 1155.0, 36.0], shoonya_1sUWB7EB41I6JH, 5686704]
