[1267, 753]
[folio, [284.0, 76.0, 175.0, 18.0], shoonya_5s8OM7WOFQ0PHH, 5700217]
[paragraph, [79.0, 118.0, 590.0, 18.0], shoonya_3s99QGELYITNJ4, 5700217]
[paragraph, [79.0, 136.0, 590.0, 18.0], shoonya_3s99QGELYITNJ4, 5700217]
[paragraph, [79.0, 154.0, 590.0, 18.0], shoonya_3s99QGELYITNJ4, 5700217]
[paragraph, [79.0, 172.0, 590.0, 18.0], shoonya_3s99QGELYITNJ4, 5700217]
[paragraph, [79.0, 190.0, 590.0, 18.0], shoonya_3s99QGELYITNJ4, 5700217]
[paragraph, [77.0, 225.0, 593.0, 18.0], shoonya_0s1NMI5QJBFUY3, 5700217]
[paragraph, [77.0, 243.0, 593.0, 18.0], shoonya_0s1NMI5QJBFUY3, 5700217]
[paragraph, [77.0, 261.0, 593.0, 18.0], shoonya_0s1NMI5QJBFUY3, 5700217]
[paragraph, [77.0, 279.0, 593.0, 18.0], shoonya_0s1NMI5QJBFUY3, 5700217]
[paragraph, [77.0, 297.0, 593.0, 18.0], shoonya_0s1NMI5QJBFUY3, 5700217]
[paragraph, [77.0, 315.0, 593.0, 18.0], shoonya_0s1NMI5QJBFUY3, 5700217]
[paragraph, [77.0, 333.0, 593.0, 18.0], shoonya_0s1NMI5QJBFUY3, 5700217]
[paragraph, [77.0, 351.0, 593.0, 18.0], shoonya_0s1NMI5QJBFUY3, 5700217]
[paragraph, [77.0, 369.0, 593.0, 18.0], shoonya_0s1NMI5QJBFUY3, 5700217]
[paragraph, [77.0, 387.0, 593.0, 18.0], shoonya_0s1NMI5QJBFUY3, 5700217]
[paragraph, [77.0, 405.0, 593.0, 18.0], shoonya_0s1NMI5QJBFUY3, 5700217]
[paragraph, [77.0, 423.0, 593.0, 18.0], shoonya_0s1NMI5QJBFUY3, 5700217]
[paragraph, [77.0, 441.0, 593.0, 18.0], shoonya_0s1NMI5QJBFUY3, 5700217]
[paragraph, [77.0, 459.0, 593.0, 18.0], shoonya_0s1NMI5QJBFUY3, 5700217]
[paragraph, [77.0, 477.0, 593.0, 18.0], shoonya_0s1NMI5QJBFUY3, 5700217]
[paragraph, [77.0, 495.0, 593.0, 18.0], shoonya_0s1NMI5QJBFUY3, 5700217]
[paragraph, [77.0, 513.0, 593.0, 18.0], shoonya_0s1NMI5QJBFUY3, 5700217]
[paragraph, [77.0, 531.0, 593.0, 18.0], shoonya_0s1NMI5QJBFUY3, 5700217]
[paragraph, [77.0, 549.0, 593.0, 18.0], shoonya_0s1NMI5QJBFUY3, 5700217]
[paragraph, [77.0, 567.0, 593.0, 18.0], shoonya_0s1NMI5QJBFUY3, 5700217]
[paragraph, [77.0, 585.0, 593.0, 18.0], shoonya_0s1NMI5QJBFUY3, 5700217]
[section-title, [318.0, 633.0, 110.0, 30.0], shoonya_4sMRPKPA0XB0VN, 5700217]
[paragraph, [76.0, 671.0, 594.0, 18.0], shoonya_1s9HQLIV402VB3, 5700217]
[paragraph, [76.0, 689.0, 594.0, 18.0], shoonya_1s9HQLIV402VB3, 5700217]
[paragraph, [76.0, 707.0, 594.0, 18.0], shoonya_1s9HQLIV402VB3, 5700217]
[paragraph, [76.0, 725.0, 594.0, 18.0], shoonya_1s9HQLIV402VB3, 5700217]
[paragraph, [76.0, 743.0, 594.0, 18.0], shoonya_1s9HQLIV402VB3, 5700217]
[paragraph, [76.0, 761.0, 594.0, 18.0], shoonya_1s9HQLIV402VB3, 5700217]
[paragraph, [76.0, 779.0, 594.0, 18.0], shoonya_1s9HQLIV402VB3, 5700217]
[paragraph, [76.0, 797.0, 594.0, 18.0], shoonya_1s9HQLIV402VB3, 5700217]
[paragraph, [76.0, 815.0, 594.0, 18.0], shoonya_1s9HQLIV402VB3, 5700217]
[paragraph, [76.0, 833.0, 594.0, 18.0], shoonya_1s9HQLIV402VB3, 5700217]
[paragraph, [76.0, 851.0, 594.0, 18.0], shoonya_1s9HQLIV402VB3, 5700217]
[paragraph, [72.0, 877.0, 601.0, 18.0], shoonya_2sQ9TQZX1TAIS4, 5700217]
[paragraph, [72.0, 895.0, 601.0, 18.0], shoonya_2sQ9TQZX1TAIS4, 5700217]
[paragraph, [72.0, 913.0, 601.0, 18.0], shoonya_2sQ9TQZX1TAIS4, 5700217]
[paragraph, [72.0, 931.0, 601.0, 18.0], shoonya_2sQ9TQZX1TAIS4, 5700217]
[paragraph, [72.0, 949.0, 601.0, 18.0], shoonya_2sQ9TQZX1TAIS4, 5700217]
[paragraph, [72.0, 967.0, 601.0, 18.0], shoonya_2sQ9TQZX1TAIS4, 5700217]
[paragraph, [72.0, 985.0, 601.0, 18.0], shoonya_2sQ9TQZX1TAIS4, 5700217]
[paragraph, [72.0, 1003.0, 601.0, 18.0], shoonya_2sQ9TQZX1TAIS4, 5700217]
[paragraph, [72.0, 1021.0, 601.0, 18.0], shoonya_2sQ9TQZX1TAIS4, 5700217]
[paragraph, [72.0, 1039.0, 601.0, 18.0], shoonya_2sQ9TQZX1TAIS4, 5700217]
[paragraph, [72.0, 1057.0, 601.0, 18.0], shoonya_2sQ9TQZX1TAIS4, 5700217]
[paragraph, [72.0, 1075.0, 601.0, 18.0], shoonya_2sQ9TQZX1TAIS4, 5700217]
[paragraph, [72.0, 1093.0, 601.0, 18.0], shoonya_2sQ9TQZX1TAIS4, 5700217]
[paragraph, [72.0, 1111.0, 601.0, 18.0], shoonya_2sQ9TQZX1TAIS4, 5700217]
[paragraph, [72.0, 1129.0, 601.0, 18.0], shoonya_2sQ9TQZX1TAIS4, 5700217]
[paragraph, [72.0, 1147.0, 601.0, 18.0], shoonya_2sQ9TQZX1TAIS4, 5700217]
[paragraph, [72.0, 1165.0, 601.0, 18.0], shoonya_2sQ9TQZX1TAIS4, 5700217]
