[1606, 1056]
[folio, [441.0, 103.0, 162.0, 36.0], shoonya_1sUZY33TKS92HQ, 5683898]
[paragraph, [100.0, 154.0, 598.0, 36.0], VlKxMvi06w, 5683898]
[paragraph, [98.0, 204.0, 859.0, 36.0], shoonya_0sEKDLA1304LIC, 5683898]
[paragraph, [98.0, 240.0, 859.0, 36.0], shoonya_0sEKDLA1304LIC, 5683898]
[paragraph, [98.0, 276.0, 859.0, 36.0], shoonya_0sEKDLA1304LIC, 5683898]
[paragraph, [98.0, 312.0, 859.0, 36.0], shoonya_0sEKDLA1304LIC, 5683898]
[paragraph, [98.0, 348.0, 859.0, 36.0], shoonya_0sEKDLA1304LIC, 5683898]
[paragraph, [98.0, 384.0, 859.0, 36.0], shoonya_0sEKDLA1304LIC, 5683898]
[paragraph, [98.0, 420.0, 859.0, 36.0], shoonya_0sEKDLA1304LIC, 5683898]
[paragraph, [98.0, 456.0, 859.0, 36.0], shoonya_0sEKDLA1304LIC, 5683898]
[paragraph, [98.0, 492.0, 859.0, 36.0], shoonya_0sEKDLA1304LIC, 5683898]
[paragraph, [98.0, 528.0, 859.0, 36.0], shoonya_0sEKDLA1304LIC, 5683898]
[paragraph, [98.0, 564.0, 859.0, 36.0], shoonya_0sEKDLA1304LIC, 5683898]
[paragraph, [98.0, 600.0, 859.0, 36.0], shoonya_0sEKDLA1304LIC, 5683898]
[paragraph, [98.0, 636.0, 859.0, 36.0], shoonya_0sEKDLA1304LIC, 5683898]
[paragraph, [98.0, 672.0, 859.0, 36.0], shoonya_0sEKDLA1304LIC, 5683898]
[paragraph, [98.0, 708.0, 859.0, 36.0], shoonya_0sEKDLA1304LIC, 5683898]
[paragraph, [98.0, 744.0, 859.0, 36.0], shoonya_0sEKDLA1304LIC, 5683898]
[paragraph, [98.0, 780.0, 859.0, 36.0], shoonya_0sEKDLA1304LIC, 5683898]
[paragraph, [98.0, 816.0, 859.0, 36.0], shoonya_0sEKDLA1304LIC, 5683898]
[paragraph, [98.0, 852.0, 859.0, 36.0], shoonya_0sEKDLA1304LIC, 5683898]
[paragraph, [98.0, 888.0, 859.0, 36.0], shoonya_0sEKDLA1304LIC, 5683898]
[paragraph, [98.0, 924.0, 859.0, 36.0], shoonya_0sEKDLA1304LIC, 5683898]
[paragraph, [98.0, 960.0, 859.0, 36.0], shoonya_0sEKDLA1304LIC, 5683898]
[paragraph, [98.0, 996.0, 859.0, 36.0], shoonya_0sEKDLA1304LIC, 5683898]
[paragraph, [98.0, 1032.0, 859.0, 36.0], shoonya_0sEKDLA1304LIC, 5683898]
[paragraph, [98.0, 1068.0, 859.0, 36.0], shoonya_0sEKDLA1304LIC, 5683898]
[paragraph, [98.0, 1104.0, 859.0, 36.0], shoonya_0sEKDLA1304LIC, 5683898]
[paragraph, [98.0, 1140.0, 859.0, 36.0], shoonya_0sEKDLA1304LIC, 5683898]
[paragraph, [98.0, 1176.0, 859.0, 36.0], shoonya_0sEKDLA1304LIC, 5683898]
[paragraph, [98.0, 1212.0, 859.0, 36.0], shoonya_0sEKDLA1304LIC, 5683898]
[paragraph, [98.0, 1248.0, 859.0, 36.0], shoonya_0sEKDLA1304LIC, 5683898]
[paragraph, [98.0, 1284.0, 859.0, 36.0], shoonya_0sEKDLA1304LIC, 5683898]
[paragraph, [98.0, 1320.0, 859.0, 36.0], shoonya_0sEKDLA1304LIC, 5683898]
[paragraph, [98.0, 1356.0, 859.0, 36.0], shoonya_0sEKDLA1304LIC, 5683898]
[paragraph, [98.0, 1392.0, 859.0, 36.0], shoonya_0sEKDLA1304LIC, 5683898]
[paragraph, [98.0, 1428.0, 859.0, 36.0], shoonya_0sEKDLA1304LIC, 5683898]
[paragraph, [98.0, 1464.0, 859.0, 36.0], shoonya_0sEKDLA1304LIC, 5683898]
