[842, 595]
[folio, [357.0, 59.0, 94.0, 18.0], 7rfl64nQsi, 5768098]
[section-title, [337.0, 102.0, 165.0, 30.0], k7MxvJjKfd, 5768098]
[paragraph, [53.0, 126.0, 241.0, 18.0], mwULwhUXtg, 5768098]
[paragraph, [53.0, 144.0, 241.0, 18.0], mwULwhUXtg, 5768098]
[paragraph, [53.0, 162.0, 241.0, 18.0], mwULwhUXtg, 5768098]
[paragraph, [53.0, 180.0, 241.0, 18.0], mwULwhUXtg, 5768098]
[paragraph, [53.0, 198.0, 241.0, 18.0], mwULwhUXtg, 5768098]
[paragraph, [53.0, 216.0, 241.0, 18.0], mwULwhUXtg, 5768098]
[paragraph, [53.0, 234.0, 241.0, 18.0], mwULwhUXtg, 5768098]
[paragraph, [301.0, 131.0, 236.0, 18.0], AdZkWyxzBm, 5768098]
[paragraph, [301.0, 149.0, 236.0, 18.0], AdZkWyxzBm, 5768098]
[paragraph, [301.0, 167.0, 236.0, 18.0], AdZkWyxzBm, 5768098]
[paragraph, [301.0, 185.0, 236.0, 18.0], AdZkWyxzBm, 5768098]
[paragraph, [301.0, 203.0, 236.0, 18.0], AdZkWyxzBm, 5768098]
[paragraph, [301.0, 221.0, 236.0, 18.0], AdZkWyxzBm, 5768098]
[paragraph, [301.0, 239.0, 236.0, 18.0], AdZkWyxzBm, 5768098]
[paragraph, [301.0, 257.0, 236.0, 18.0], AdZkWyxzBm, 5768098]
[paragraph, [56.0, 297.0, 244.0, 18.0], iO4DdKTF33, 5768098]
[paragraph, [56.0, 315.0, 244.0, 18.0], iO4DdKTF33, 5768098]
[paragraph, [56.0, 333.0, 244.0, 18.0], iO4DdKTF33, 5768098]
[paragraph, [56.0, 351.0, 244.0, 18.0], iO4DdKTF33, 5768098]
[paragraph, [56.0, 369.0, 244.0, 18.0], iO4DdKTF33, 5768098]
[paragraph, [56.0, 387.0, 244.0, 18.0], iO4DdKTF33, 5768098]
[paragraph, [56.0, 405.0, 244.0, 18.0], iO4DdKTF33, 5768098]
[paragraph, [297.0, 313.0, 240.0, 18.0], itdKywIL_O, 5768098]
[paragraph, [297.0, 331.0, 240.0, 18.0], itdKywIL_O, 5768098]
[paragraph, [297.0, 349.0, 240.0, 18.0], itdKywIL_O, 5768098]
[paragraph, [297.0, 367.0, 240.0, 18.0], itdKywIL_O, 5768098]
[paragraph, [297.0, 385.0, 240.0, 18.0], itdKywIL_O, 5768098]
[paragraph, [297.0, 403.0, 240.0, 18.0], itdKywIL_O, 5768098]
[paragraph, [297.0, 447.0, 242.0, 18.0], EyBVj9JNYn, 5768098]
[paragraph, [297.0, 465.0, 242.0, 18.0], EyBVj9JNYn, 5768098]
[paragraph, [297.0, 483.0, 242.0, 18.0], EyBVj9JNYn, 5768098]
[paragraph, [297.0, 501.0, 242.0, 18.0], EyBVj9JNYn, 5768098]
[paragraph, [297.0, 519.0, 242.0, 18.0], EyBVj9JNYn, 5768098]
[paragraph, [53.0, 465.0, 243.0, 18.0], tKhsJxGIsX, 5768098]
[paragraph, [53.0, 483.0, 243.0, 18.0], tKhsJxGIsX, 5768098]
[paragraph, [53.0, 501.0, 243.0, 18.0], tKhsJxGIsX, 5768098]
[paragraph, [53.0, 519.0, 243.0, 18.0], tKhsJxGIsX, 5768098]
[section-title, [82.0, 544.0, 458.0, 30.0], fnd4hHvYHE, 5768098]
[paragraph, [54.0, 571.0, 241.0, 18.0], IwJETrsVtJ, 5768098]
[paragraph, [54.0, 589.0, 241.0, 18.0], IwJETrsVtJ, 5768098]
[paragraph, [54.0, 607.0, 241.0, 18.0], IwJETrsVtJ, 5768098]
[paragraph, [54.0, 625.0, 241.0, 18.0], IwJETrsVtJ, 5768098]
[paragraph, [54.0, 643.0, 241.0, 18.0], IwJETrsVtJ, 5768098]
[paragraph, [54.0, 661.0, 241.0, 18.0], IwJETrsVtJ, 5768098]
[paragraph, [54.0, 679.0, 241.0, 18.0], IwJETrsVtJ, 5768098]
[paragraph, [54.0, 697.0, 241.0, 18.0], IwJETrsVtJ, 5768098]
[footnote, [314.0, 743.0, 221.0, 18.0], shoonya_0sF9ZNYYQ9JNC7, 5768098]
[footnote, [314.0, 761.0, 221.0, 18.0], shoonya_0sF9ZNYYQ9JNC7, 5768098]
