[1987, 1270]
[folio, [595.0, 121.0, 86.0, 36.0], shoonya_6sXGU0O5RWQ67J, 5682124]
[paragraph, [130.0, 191.0, 1010.0, 36.0], shoonya_1sQN4MWLGS2SPJ, 5682124]
[paragraph, [130.0, 227.0, 1010.0, 36.0], shoonya_1sQN4MWLGS2SPJ, 5682124]
[paragraph, [125.0, 297.0, 1017.0, 36.0], shoonya_3sQBXJB08T564U, 5682124]
[paragraph, [125.0, 333.0, 1017.0, 36.0], shoonya_3sQBXJB08T564U, 5682124]
[paragraph, [125.0, 369.0, 1017.0, 36.0], shoonya_3sQBXJB08T564U, 5682124]
[paragraph, [125.0, 405.0, 1017.0, 36.0], shoonya_3sQBXJB08T564U, 5682124]
[paragraph, [125.0, 441.0, 1017.0, 36.0], shoonya_3sQBXJB08T564U, 5682124]
[paragraph, [125.0, 477.0, 1017.0, 36.0], shoonya_3sQBXJB08T564U, 5682124]
[paragraph, [125.0, 513.0, 1017.0, 36.0], shoonya_3sQBXJB08T564U, 5682124]
[paragraph, [125.0, 549.0, 1017.0, 36.0], shoonya_3sQBXJB08T564U, 5682124]
[paragraph, [125.0, 585.0, 1017.0, 36.0], shoonya_3sQBXJB08T564U, 5682124]
[paragraph, [125.0, 621.0, 1017.0, 36.0], shoonya_3sQBXJB08T564U, 5682124]
[paragraph, [125.0, 657.0, 1017.0, 36.0], shoonya_3sQBXJB08T564U, 5682124]
[paragraph, [125.0, 693.0, 1017.0, 36.0], shoonya_3sQBXJB08T564U, 5682124]
[paragraph, [125.0, 729.0, 1017.0, 36.0], shoonya_3sQBXJB08T564U, 5682124]
[paragraph, [125.0, 765.0, 1017.0, 36.0], shoonya_3sQBXJB08T564U, 5682124]
[paragraph, [125.0, 801.0, 1017.0, 36.0], shoonya_3sQBXJB08T564U, 5682124]
[paragraph, [126.0, 874.0, 1015.0, 36.0], shoonya_0sUJN8KC2TQLYG, 5682124]
[paragraph, [126.0, 910.0, 1015.0, 36.0], shoonya_0sUJN8KC2TQLYG, 5682124]
[paragraph, [126.0, 946.0, 1015.0, 36.0], shoonya_0sUJN8KC2TQLYG, 5682124]
[paragraph, [126.0, 982.0, 1015.0, 36.0], shoonya_0sUJN8KC2TQLYG, 5682124]
[paragraph, [126.0, 1018.0, 1015.0, 36.0], shoonya_0sUJN8KC2TQLYG, 5682124]
[paragraph, [126.0, 1054.0, 1015.0, 36.0], shoonya_0sUJN8KC2TQLYG, 5682124]
[paragraph, [126.0, 1090.0, 1015.0, 36.0], shoonya_0sUJN8KC2TQLYG, 5682124]
[paragraph, [126.0, 1126.0, 1015.0, 36.0], shoonya_0sUJN8KC2TQLYG, 5682124]
[paragraph, [124.0, 1185.0, 1021.0, 36.0], shoonya_5sX2CFEQ7DQZ2K, 5682124]
[paragraph, [124.0, 1221.0, 1021.0, 36.0], shoonya_5sX2CFEQ7DQZ2K, 5682124]
[paragraph, [124.0, 1257.0, 1021.0, 36.0], shoonya_5sX2CFEQ7DQZ2K, 5682124]
[paragraph, [124.0, 1293.0, 1021.0, 36.0], shoonya_5sX2CFEQ7DQZ2K, 5682124]
[paragraph, [124.0, 1329.0, 1021.0, 36.0], shoonya_5sX2CFEQ7DQZ2K, 5682124]
[paragraph, [124.0, 1365.0, 1021.0, 36.0], shoonya_5sX2CFEQ7DQZ2K, 5682124]
[paragraph, [124.0, 1401.0, 1021.0, 36.0], shoonya_5sX2CFEQ7DQZ2K, 5682124]
[paragraph, [124.0, 1437.0, 1021.0, 36.0], shoonya_5sX2CFEQ7DQZ2K, 5682124]
[paragraph, [124.0, 1473.0, 1021.0, 36.0], shoonya_5sX2CFEQ7DQZ2K, 5682124]
[paragraph, [124.0, 1509.0, 1021.0, 36.0], shoonya_5sX2CFEQ7DQZ2K, 5682124]
[paragraph, [124.0, 1545.0, 1021.0, 36.0], shoonya_5sX2CFEQ7DQZ2K, 5682124]
[paragraph, [127.0, 1606.0, 1016.0, 36.0], shoonya_2sUKVPU6X4ZS0F, 5682124]
[paragraph, [127.0, 1642.0, 1016.0, 36.0], shoonya_2sUKVPU6X4ZS0F, 5682124]
[paragraph, [127.0, 1678.0, 1016.0, 36.0], shoonya_2sUKVPU6X4ZS0F, 5682124]
[paragraph, [127.0, 1714.0, 1016.0, 36.0], shoonya_2sUKVPU6X4ZS0F, 5682124]
[paragraph, [127.0, 1750.0, 1016.0, 36.0], shoonya_2sUKVPU6X4ZS0F, 5682124]
[paragraph, [127.0, 1786.0, 1016.0, 36.0], shoonya_2sUKVPU6X4ZS0F, 5682124]
[paragraph, [127.0, 1822.0, 1016.0, 36.0], shoonya_2sUKVPU6X4ZS0F, 5682124]
