[2339, 1654]
[paragraph, [377.0, 248.0, 1090.0, 36.0], shoonya_0sDHQW6UESK7L2, 5687505]
[paragraph, [377.0, 284.0, 1090.0, 36.0], shoonya_0sDHQW6UESK7L2, 5687505]
[paragraph, [377.0, 320.0, 1090.0, 36.0], shoonya_0sDHQW6UESK7L2, 5687505]
[paragraph, [377.0, 356.0, 1090.0, 36.0], shoonya_0sDHQW6UESK7L2, 5687505]
[paragraph, [377.0, 392.0, 1090.0, 36.0], shoonya_0sDHQW6UESK7L2, 5687505]
[paragraph, [377.0, 428.0, 1090.0, 36.0], shoonya_0sDHQW6UESK7L2, 5687505]
[paragraph, [377.0, 464.0, 1090.0, 36.0], shoonya_0sDHQW6UESK7L2, 5687505]
[paragraph, [377.0, 500.0, 1090.0, 36.0], shoonya_0sDHQW6UESK7L2, 5687505]
[paragraph, [377.0, 536.0, 1090.0, 36.0], shoonya_0sDHQW6UESK7L2, 5687505]
[paragraph, [377.0, 572.0, 1090.0, 36.0], shoonya_0sDHQW6UESK7L2, 5687505]
[paragraph, [377.0, 608.0, 1090.0, 36.0], shoonya_0sDHQW6UESK7L2, 5687505]
[paragraph, [377.0, 644.0, 1090.0, 36.0], shoonya_0sDHQW6UESK7L2, 5687505]
[paragraph, [377.0, 680.0, 1090.0, 36.0], shoonya_0sDHQW6UESK7L2, 5687505]
[paragraph, [377.0, 716.0, 1090.0, 36.0], shoonya_0sDHQW6UESK7L2, 5687505]
[paragraph, [377.0, 752.0, 1090.0, 36.0], shoonya_0sDHQW6UESK7L2, 5687505]
[paragraph, [377.0, 788.0, 1090.0, 36.0], shoonya_0sDHQW6UESK7L2, 5687505]
[paragraph, [377.0, 824.0, 1090.0, 36.0], shoonya_0sDHQW6UESK7L2, 5687505]
[paragraph, [377.0, 860.0, 1090.0, 36.0], shoonya_0sDHQW6UESK7L2, 5687505]
[paragraph, [377.0, 896.0, 1090.0, 36.0], shoonya_0sDHQW6UESK7L2, 5687505]
[paragraph, [377.0, 932.0, 1090.0, 36.0], shoonya_0sDHQW6UESK7L2, 5687505]
[paragraph, [178.0, 1049.0, 1280.0, 36.0], shoonya_3s23TGTB2ER9RP, 5687505]
[paragraph, [178.0, 1085.0, 1280.0, 36.0], shoonya_3s23TGTB2ER9RP, 5687505]
[paragraph, [178.0, 1121.0, 1280.0, 36.0], shoonya_3s23TGTB2ER9RP, 5687505]
[paragraph, [178.0, 1157.0, 1280.0, 36.0], shoonya_3s23TGTB2ER9RP, 5687505]
[paragraph, [178.0, 1193.0, 1280.0, 36.0], shoonya_3s23TGTB2ER9RP, 5687505]
[paragraph, [178.0, 1229.0, 1280.0, 36.0], shoonya_3s23TGTB2ER9RP, 5687505]
[paragraph, [178.0, 1265.0, 1280.0, 36.0], shoonya_3s23TGTB2ER9RP, 5687505]
[paragraph, [178.0, 1301.0, 1280.0, 36.0], shoonya_3s23TGTB2ER9RP, 5687505]
[paragraph, [178.0, 1337.0, 1280.0, 36.0], shoonya_3s23TGTB2ER9RP, 5687505]
[paragraph, [178.0, 1373.0, 1280.0, 36.0], shoonya_3s23TGTB2ER9RP, 5687505]
[paragraph, [178.0, 1409.0, 1280.0, 36.0], shoonya_3s23TGTB2ER9RP, 5687505]
[paragraph, [178.0, 1445.0, 1280.0, 36.0], shoonya_3s23TGTB2ER9RP, 5687505]
[paragraph, [190.0, 1568.0, 1270.0, 36.0], shoonya_1sVKCRIAT0EMMI, 5687505]
[paragraph, [190.0, 1604.0, 1270.0, 36.0], shoonya_1sVKCRIAT0EMMI, 5687505]
[paragraph, [190.0, 1640.0, 1270.0, 36.0], shoonya_1sVKCRIAT0EMMI, 5687505]
[paragraph, [190.0, 1676.0, 1270.0, 36.0], shoonya_1sVKCRIAT0EMMI, 5687505]
[paragraph, [190.0, 1712.0, 1270.0, 36.0], shoonya_1sVKCRIAT0EMMI, 5687505]
[paragraph, [190.0, 1748.0, 1270.0, 36.0], shoonya_1sVKCRIAT0EMMI, 5687505]
[paragraph, [190.0, 1784.0, 1270.0, 36.0], shoonya_1sVKCRIAT0EMMI, 5687505]
[paragraph, [190.0, 1820.0, 1270.0, 36.0], shoonya_1sVKCRIAT0EMMI, 5687505]
[paragraph, [190.0, 1856.0, 1270.0, 36.0], shoonya_1sVKCRIAT0EMMI, 5687505]
[reference, [193.0, 2034.0, 542.0, 36.0], shoonya_2sLT1I9B354RAF, 5687505]
