[1650, 1050]
[paragraph, [118.0, 132.0, 837.0, 36.0], shoonya_0sY8CFRE9ZAJCA, 5731927]
[paragraph, [118.0, 168.0, 837.0, 36.0], shoonya_0sY8CFRE9ZAJCA, 5731927]
[paragraph, [118.0, 204.0, 837.0, 36.0], shoonya_0sY8CFRE9ZAJCA, 5731927]
[paragraph, [118.0, 240.0, 837.0, 36.0], shoonya_0sY8CFRE9ZAJCA, 5731927]
[paragraph, [118.0, 276.0, 837.0, 36.0], shoonya_0sY8CFRE9ZAJCA, 5731927]
[paragraph, [118.0, 312.0, 837.0, 36.0], shoonya_0sY8CFRE9ZAJCA, 5731927]
[paragraph, [118.0, 348.0, 837.0, 36.0], shoonya_0sY8CFRE9ZAJCA, 5731927]
[paragraph, [118.0, 384.0, 837.0, 36.0], shoonya_0sY8CFRE9ZAJCA, 5731927]
[paragraph, [118.0, 420.0, 837.0, 36.0], shoonya_0sY8CFRE9ZAJCA, 5731927]
[paragraph, [118.0, 456.0, 837.0, 36.0], shoonya_0sY8CFRE9ZAJCA, 5731927]
[paragraph, [118.0, 492.0, 837.0, 36.0], shoonya_0sY8CFRE9ZAJCA, 5731927]
[paragraph, [118.0, 528.0, 837.0, 36.0], shoonya_0sY8CFRE9ZAJCA, 5731927]
[paragraph, [118.0, 564.0, 837.0, 36.0], shoonya_0sY8CFRE9ZAJCA, 5731927]
[paragraph, [118.0, 600.0, 837.0, 36.0], shoonya_0sY8CFRE9ZAJCA, 5731927]
[paragraph, [118.0, 636.0, 837.0, 36.0], shoonya_0sY8CFRE9ZAJCA, 5731927]
[paragraph, [118.0, 672.0, 837.0, 36.0], shoonya_0sY8CFRE9ZAJCA, 5731927]
[paragraph, [118.0, 708.0, 837.0, 36.0], shoonya_0sY8CFRE9ZAJCA, 5731927]
[paragraph, [118.0, 744.0, 837.0, 36.0], shoonya_0sY8CFRE9ZAJCA, 5731927]
[paragraph, [120.0, 794.0, 839.0, 36.0], shoonya_1s13NK2MZLO55E, 5731927]
[paragraph, [120.0, 830.0, 839.0, 36.0], shoonya_1s13NK2MZLO55E, 5731927]
[paragraph, [120.0, 866.0, 839.0, 36.0], shoonya_1s13NK2MZLO55E, 5731927]
[paragraph, [123.0, 933.0, 833.0, 36.0], DvINt42yJt, 5731927]
[paragraph, [123.0, 969.0, 833.0, 36.0], DvINt42yJt, 5731927]
[paragraph, [123.0, 1005.0, 833.0, 36.0], DvINt42yJt, 5731927]
[paragraph, [123.0, 1041.0, 833.0, 36.0], DvINt42yJt, 5731927]
[paragraph, [123.0, 1077.0, 833.0, 36.0], DvINt42yJt, 5731927]
[paragraph, [123.0, 1113.0, 833.0, 36.0], DvINt42yJt, 5731927]
[paragraph, [123.0, 1149.0, 833.0, 36.0], DvINt42yJt, 5731927]
[paragraph, [116.0, 1213.0, 838.0, 36.0], shoonya_2sZSC12KJ13IW5, 5731927]
[paragraph, [116.0, 1249.0, 838.0, 36.0], shoonya_2sZSC12KJ13IW5, 5731927]
[paragraph, [116.0, 1285.0, 838.0, 36.0], shoonya_2sZSC12KJ13IW5, 5731927]
[paragraph, [116.0, 1321.0, 838.0, 36.0], shoonya_2sZSC12KJ13IW5, 5731927]
[paragraph, [116.0, 1357.0, 838.0, 36.0], shoonya_2sZSC12KJ13IW5, 5731927]
[paragraph, [116.0, 1393.0, 838.0, 36.0], shoonya_2sZSC12KJ13IW5, 5731927]
[paragraph, [116.0, 1429.0, 838.0, 36.0], shoonya_2sZSC12KJ13IW5, 5731927]
[folio, [499.0, 1528.0, 142.0, 36.0], -7DgfCrptB, 5731927]
