[2339, 1656]
[paragraph, [204.0, 427.0, 1254.0, 36.0], mNWuXf9cim, 5690630]
[paragraph, [204.0, 463.0, 1254.0, 36.0], mNWuXf9cim, 5690630]
[paragraph, [204.0, 499.0, 1254.0, 36.0], mNWuXf9cim, 5690630]
[paragraph, [204.0, 535.0, 1254.0, 36.0], mNWuXf9cim, 5690630]
[paragraph, [204.0, 571.0, 1254.0, 36.0], mNWuXf9cim, 5690630]
[unordered-list, [169.0, 662.0, 1316.0, 36.0], shoonya_0sL1FT6FNTYMW1, 5690630]
[unordered-list, [169.0, 698.0, 1316.0, 36.0], shoonya_0sL1FT6FNTYMW1, 5690630]
[unordered-list, [169.0, 734.0, 1316.0, 36.0], shoonya_0sL1FT6FNTYMW1, 5690630]
[unordered-list, [169.0, 770.0, 1316.0, 36.0], shoonya_0sL1FT6FNTYMW1, 5690630]
[unordered-list, [169.0, 806.0, 1316.0, 36.0], shoonya_0sL1FT6FNTYMW1, 5690630]
[unordered-list, [169.0, 842.0, 1316.0, 36.0], shoonya_0sL1FT6FNTYMW1, 5690630]
[unordered-list, [169.0, 878.0, 1316.0, 36.0], shoonya_0sL1FT6FNTYMW1, 5690630]
[unordered-list, [169.0, 914.0, 1316.0, 36.0], shoonya_0sL1FT6FNTYMW1, 5690630]
[unordered-list, [169.0, 950.0, 1316.0, 36.0], shoonya_0sL1FT6FNTYMW1, 5690630]
[unordered-list, [169.0, 986.0, 1316.0, 36.0], shoonya_0sL1FT6FNTYMW1, 5690630]
[unordered-list, [169.0, 1022.0, 1316.0, 36.0], shoonya_0sL1FT6FNTYMW1, 5690630]
[unordered-list, [169.0, 1058.0, 1316.0, 36.0], shoonya_0sL1FT6FNTYMW1, 5690630]
[unordered-list, [169.0, 1094.0, 1316.0, 36.0], shoonya_0sL1FT6FNTYMW1, 5690630]
[unordered-list, [169.0, 1130.0, 1316.0, 36.0], shoonya_0sL1FT6FNTYMW1, 5690630]
[unordered-list, [169.0, 1166.0, 1316.0, 36.0], shoonya_0sL1FT6FNTYMW1, 5690630]
[unordered-list, [169.0, 1202.0, 1316.0, 36.0], shoonya_0sL1FT6FNTYMW1, 5690630]
[unordered-list, [169.0, 1238.0, 1316.0, 36.0], shoonya_0sL1FT6FNTYMW1, 5690630]
[unordered-list, [169.0, 1274.0, 1316.0, 36.0], shoonya_0sL1FT6FNTYMW1, 5690630]
[unordered-list, [169.0, 1310.0, 1316.0, 36.0], shoonya_0sL1FT6FNTYMW1, 5690630]
[unordered-list, [169.0, 1346.0, 1316.0, 36.0], shoonya_0sL1FT6FNTYMW1, 5690630]
[unordered-list, [169.0, 1382.0, 1316.0, 36.0], shoonya_0sL1FT6FNTYMW1, 5690630]
[unordered-list, [169.0, 1418.0, 1316.0, 36.0], shoonya_0sL1FT6FNTYMW1, 5690630]
[unordered-list, [169.0, 1454.0, 1316.0, 36.0], shoonya_0sL1FT6FNTYMW1, 5690630]
[unordered-list, [169.0, 1490.0, 1316.0, 36.0], shoonya_0sL1FT6FNTYMW1, 5690630]
[unordered-list, [169.0, 1526.0, 1316.0, 36.0], shoonya_0sL1FT6FNTYMW1, 5690630]
[unordered-list, [169.0, 1562.0, 1316.0, 36.0], shoonya_0sL1FT6FNTYMW1, 5690630]
[unordered-list, [169.0, 1598.0, 1316.0, 36.0], shoonya_0sL1FT6FNTYMW1, 5690630]
[unordered-list, [169.0, 1634.0, 1316.0, 36.0], shoonya_0sL1FT6FNTYMW1, 5690630]
[unordered-list, [169.0, 1670.0, 1316.0, 36.0], shoonya_0sL1FT6FNTYMW1, 5690630]
[unordered-list, [169.0, 1706.0, 1316.0, 36.0], shoonya_0sL1FT6FNTYMW1, 5690630]
[unordered-list, [169.0, 1742.0, 1316.0, 36.0], shoonya_0sL1FT6FNTYMW1, 5690630]
[unordered-list, [169.0, 1778.0, 1316.0, 36.0], shoonya_0sL1FT6FNTYMW1, 5690630]
[unordered-list, [169.0, 1814.0, 1316.0, 36.0], shoonya_0sL1FT6FNTYMW1, 5690630]
[unordered-list, [169.0, 1850.0, 1316.0, 36.0], shoonya_0sL1FT6FNTYMW1, 5690630]
[unordered-list, [169.0, 1886.0, 1316.0, 36.0], shoonya_0sL1FT6FNTYMW1, 5690630]
[unordered-list, [169.0, 1922.0, 1316.0, 36.0], shoonya_0sL1FT6FNTYMW1, 5690630]
