[1320, 1176]
[folio, [930.0, 54.0, 177.0, 18.0], shoonya_3sUHAZ2PAGWAQ8, 5694635]
[folio, [930.0, 72.0, 177.0, 18.0], shoonya_3sUHAZ2PAGWAQ8, 5694635]
[folio, [930.0, 90.0, 177.0, 18.0], shoonya_3sUHAZ2PAGWAQ8, 5694635]
[folio, [930.0, 108.0, 177.0, 18.0], shoonya_3sUHAZ2PAGWAQ8, 5694635]
[folio, [930.0, 126.0, 177.0, 18.0], shoonya_3sUHAZ2PAGWAQ8, 5694635]
[paragraph, [767.0, 173.0, 332.0, 18.0], shoonya_1s025FH0RQWM7Z, 5694635]
[paragraph, [767.0, 191.0, 332.0, 18.0], shoonya_1s025FH0RQWM7Z, 5694635]
[paragraph, [767.0, 209.0, 332.0, 18.0], shoonya_1s025FH0RQWM7Z, 5694635]
[paragraph, [767.0, 227.0, 332.0, 18.0], shoonya_1s025FH0RQWM7Z, 5694635]
[paragraph, [767.0, 245.0, 332.0, 18.0], shoonya_1s025FH0RQWM7Z, 5694635]
[paragraph, [767.0, 263.0, 332.0, 18.0], shoonya_1s025FH0RQWM7Z, 5694635]
[paragraph, [767.0, 281.0, 332.0, 18.0], shoonya_1s025FH0RQWM7Z, 5694635]
[paragraph, [767.0, 299.0, 332.0, 18.0], shoonya_1s025FH0RQWM7Z, 5694635]
[paragraph, [767.0, 317.0, 332.0, 18.0], shoonya_1s025FH0RQWM7Z, 5694635]
[paragraph, [767.0, 335.0, 332.0, 18.0], shoonya_1s025FH0RQWM7Z, 5694635]
[paragraph, [767.0, 353.0, 332.0, 18.0], shoonya_1s025FH0RQWM7Z, 5694635]
[paragraph, [767.0, 371.0, 332.0, 18.0], shoonya_1s025FH0RQWM7Z, 5694635]
[paragraph, [767.0, 389.0, 332.0, 18.0], shoonya_1s025FH0RQWM7Z, 5694635]
[paragraph, [767.0, 407.0, 332.0, 18.0], shoonya_1s025FH0RQWM7Z, 5694635]
[paragraph, [767.0, 425.0, 332.0, 18.0], shoonya_1s025FH0RQWM7Z, 5694635]
[paragraph, [767.0, 443.0, 332.0, 18.0], shoonya_1s025FH0RQWM7Z, 5694635]
[paragraph, [767.0, 461.0, 332.0, 18.0], shoonya_1s025FH0RQWM7Z, 5694635]
[paragraph, [767.0, 479.0, 332.0, 18.0], shoonya_1s025FH0RQWM7Z, 5694635]
