[1806, 1262]
[folio, [173.0, 105.0, 507.0, 36.0], shoonya_1sD59GX9YPGRNO, 5681037]
[paragraph, [107.0, 177.0, 495.0, 36.0], shoonya_3s66IFS5KA9YXP, 5681037]
[paragraph, [107.0, 213.0, 495.0, 36.0], shoonya_3s66IFS5KA9YXP, 5681037]
[paragraph, [107.0, 249.0, 495.0, 36.0], shoonya_3s66IFS5KA9YXP, 5681037]
[paragraph, [107.0, 285.0, 495.0, 36.0], shoonya_3s66IFS5KA9YXP, 5681037]
[paragraph, [107.0, 321.0, 495.0, 36.0], shoonya_3s66IFS5KA9YXP, 5681037]
[paragraph, [107.0, 357.0, 495.0, 36.0], shoonya_3s66IFS5KA9YXP, 5681037]
[paragraph, [107.0, 393.0, 495.0, 36.0], shoonya_3s66IFS5KA9YXP, 5681037]
[paragraph, [107.0, 429.0, 495.0, 36.0], shoonya_3s66IFS5KA9YXP, 5681037]
[paragraph, [107.0, 465.0, 495.0, 36.0], shoonya_3s66IFS5KA9YXP, 5681037]
[paragraph, [107.0, 501.0, 495.0, 36.0], shoonya_3s66IFS5KA9YXP, 5681037]
[paragraph, [107.0, 537.0, 495.0, 36.0], shoonya_3s66IFS5KA9YXP, 5681037]
[paragraph, [107.0, 573.0, 495.0, 36.0], shoonya_3s66IFS5KA9YXP, 5681037]
[paragraph, [107.0, 609.0, 495.0, 36.0], shoonya_3s66IFS5KA9YXP, 5681037]
[paragraph, [107.0, 645.0, 495.0, 36.0], shoonya_3s66IFS5KA9YXP, 5681037]
[paragraph, [107.0, 681.0, 495.0, 36.0], shoonya_3s66IFS5KA9YXP, 5681037]
[paragraph, [648.0, 180.0, 514.0, 36.0], x8XTp6Jwe_, 5681037]
[paragraph, [648.0, 216.0, 514.0, 36.0], x8XTp6Jwe_, 5681037]
[paragraph, [648.0, 252.0, 514.0, 36.0], x8XTp6Jwe_, 5681037]
[paragraph, [648.0, 288.0, 514.0, 36.0], x8XTp6Jwe_, 5681037]
[paragraph, [648.0, 324.0, 514.0, 36.0], x8XTp6Jwe_, 5681037]
[paragraph, [648.0, 360.0, 514.0, 36.0], x8XTp6Jwe_, 5681037]
[paragraph, [648.0, 396.0, 514.0, 36.0], x8XTp6Jwe_, 5681037]
[paragraph, [648.0, 432.0, 514.0, 36.0], x8XTp6Jwe_, 5681037]
[paragraph, [648.0, 468.0, 514.0, 36.0], x8XTp6Jwe_, 5681037]
[paragraph, [648.0, 504.0, 514.0, 36.0], x8XTp6Jwe_, 5681037]
[paragraph, [643.0, 619.0, 509.0, 36.0], T_2McdfKJr, 5681037]
[paragraph, [643.0, 655.0, 509.0, 36.0], T_2McdfKJr, 5681037]
