[1754, 1241]
[folio, [837.0, 130.0, 180.0, 36.0], shoonya_4sJLBLV9B6Y2BM, 5728747]
[paragraph, [170.0, 188.0, 852.0, 36.0], shoonya_1sL5Q21RV7OXO7, 5728747]
[paragraph, [170.0, 224.0, 852.0, 36.0], shoonya_1sL5Q21RV7OXO7, 5728747]
[paragraph, [169.0, 369.0, 846.0, 36.0], shoonya_0s96DYM0ER0VXW, 5728747]
[paragraph, [169.0, 405.0, 846.0, 36.0], shoonya_0s96DYM0ER0VXW, 5728747]
[paragraph, [169.0, 441.0, 846.0, 36.0], shoonya_0s96DYM0ER0VXW, 5728747]
[paragraph, [169.0, 477.0, 846.0, 36.0], shoonya_0s96DYM0ER0VXW, 5728747]
[paragraph, [169.0, 513.0, 846.0, 36.0], shoonya_0s96DYM0ER0VXW, 5728747]
[paragraph, [171.0, 618.0, 845.0, 36.0], shoonya_5s9BMJ71VNU6LR, 5728747]
[paragraph, [171.0, 654.0, 845.0, 36.0], shoonya_5s9BMJ71VNU6LR, 5728747]
[paragraph, [171.0, 690.0, 845.0, 36.0], shoonya_5s9BMJ71VNU6LR, 5728747]
[paragraph, [171.0, 726.0, 845.0, 36.0], shoonya_5s9BMJ71VNU6LR, 5728747]
[paragraph, [171.0, 762.0, 845.0, 36.0], shoonya_5s9BMJ71VNU6LR, 5728747]
[paragraph, [170.0, 866.0, 843.0, 36.0], nYDW1-i9iF, 5728747]
[paragraph, [170.0, 902.0, 843.0, 36.0], nYDW1-i9iF, 5728747]
[paragraph, [170.0, 938.0, 843.0, 36.0], nYDW1-i9iF, 5728747]
[paragraph, [170.0, 974.0, 843.0, 36.0], nYDW1-i9iF, 5728747]
[paragraph, [170.0, 1010.0, 843.0, 36.0], nYDW1-i9iF, 5728747]
[paragraph, [170.0, 1046.0, 843.0, 36.0], nYDW1-i9iF, 5728747]
[paragraph, [170.0, 1082.0, 843.0, 36.0], nYDW1-i9iF, 5728747]
[paragraph, [170.0, 1118.0, 843.0, 36.0], nYDW1-i9iF, 5728747]
[paragraph, [170.0, 1154.0, 843.0, 36.0], nYDW1-i9iF, 5728747]
[paragraph, [170.0, 1190.0, 843.0, 36.0], nYDW1-i9iF, 5728747]
[paragraph, [170.0, 1226.0, 843.0, 36.0], nYDW1-i9iF, 5728747]
[paragraph, [170.0, 1330.0, 840.0, 36.0], -MdNjqjIdM, 5728747]
[paragraph, [170.0, 1366.0, 840.0, 36.0], -MdNjqjIdM, 5728747]
[paragraph, [169.0, 1419.0, 843.0, 36.0], shoonya_3s7BWRJDG0QZE3, 5728747]
[paragraph, [169.0, 1455.0, 843.0, 36.0], shoonya_3s7BWRJDG0QZE3, 5728747]
