[874, 612]
[folio, [227.0, 119.0, 148.0, 18.0], WHMdhPIKl1, 6460541]
[folio, [227.0, 137.0, 148.0, 18.0], WHMdhPIKl1, 6460541]
[paragraph, [131.0, 169.0, 345.0, 18.0], shoonya_0sW8JGAA191KJM, 6460541]
[paragraph, [131.0, 187.0, 345.0, 18.0], shoonya_0sW8JGAA191KJM, 6460541]
[paragraph, [131.0, 205.0, 345.0, 18.0], shoonya_0sW8JGAA191KJM, 6460541]
[paragraph, [131.0, 223.0, 345.0, 18.0], shoonya_0sW8JGAA191KJM, 6460541]
[paragraph, [131.0, 241.0, 345.0, 18.0], shoonya_0sW8JGAA191KJM, 6460541]
[paragraph, [131.0, 259.0, 345.0, 18.0], shoonya_0sW8JGAA191KJM, 6460541]
[paragraph, [131.0, 277.0, 345.0, 18.0], shoonya_0sW8JGAA191KJM, 6460541]
[paragraph, [131.0, 295.0, 345.0, 18.0], shoonya_0sW8JGAA191KJM, 6460541]
[paragraph, [131.0, 313.0, 345.0, 18.0], shoonya_0sW8JGAA191KJM, 6460541]
[paragraph, [131.0, 331.0, 345.0, 18.0], shoonya_0sW8JGAA191KJM, 6460541]
[paragraph, [131.0, 349.0, 345.0, 18.0], shoonya_0sW8JGAA191KJM, 6460541]
[paragraph, [131.0, 367.0, 345.0, 18.0], shoonya_0sW8JGAA191KJM, 6460541]
[paragraph, [131.0, 385.0, 345.0, 18.0], shoonya_0sW8JGAA191KJM, 6460541]
[paragraph, [131.0, 403.0, 345.0, 18.0], shoonya_0sW8JGAA191KJM, 6460541]
[paragraph, [131.0, 421.0, 345.0, 18.0], shoonya_0sW8JGAA191KJM, 6460541]
[paragraph, [126.0, 454.0, 347.0, 18.0], shoonya_1s8D0I5EK51LKH, 6460541]
[paragraph, [126.0, 472.0, 347.0, 18.0], shoonya_1s8D0I5EK51LKH, 6460541]
[paragraph, [126.0, 490.0, 347.0, 18.0], shoonya_1s8D0I5EK51LKH, 6460541]
[paragraph, [126.0, 508.0, 347.0, 18.0], shoonya_1s8D0I5EK51LKH, 6460541]
[paragraph, [126.0, 526.0, 347.0, 18.0], shoonya_1s8D0I5EK51LKH, 6460541]
[paragraph, [126.0, 544.0, 347.0, 18.0], shoonya_1s8D0I5EK51LKH, 6460541]
[paragraph, [126.0, 562.0, 347.0, 18.0], shoonya_1s8D0I5EK51LKH, 6460541]
[paragraph, [126.0, 580.0, 347.0, 18.0], shoonya_1s8D0I5EK51LKH, 6460541]
[paragraph, [126.0, 598.0, 347.0, 18.0], shoonya_1s8D0I5EK51LKH, 6460541]
[paragraph, [126.0, 616.0, 347.0, 18.0], shoonya_1s8D0I5EK51LKH, 6460541]
[paragraph, [126.0, 634.0, 347.0, 18.0], shoonya_1s8D0I5EK51LKH, 6460541]
[paragraph, [126.0, 652.0, 347.0, 18.0], shoonya_1s8D0I5EK51LKH, 6460541]
[paragraph, [126.0, 670.0, 347.0, 18.0], shoonya_1s8D0I5EK51LKH, 6460541]
[paragraph, [126.0, 688.0, 347.0, 18.0], shoonya_1s8D0I5EK51LKH, 6460541]
