[1387, 987]
[paragraph, [91.0, 96.0, 775.0, 18.0], shoonya_2sEUKK6GBOZPYI, 5653003]
[paragraph, [91.0, 114.0, 775.0, 18.0], shoonya_2sEUKK6GBOZPYI, 5653003]
[paragraph, [91.0, 132.0, 775.0, 18.0], shoonya_2sEUKK6GBOZPYI, 5653003]
[paragraph, [91.0, 150.0, 775.0, 18.0], shoonya_2sEUKK6GBOZPYI, 5653003]
[paragraph, [91.0, 168.0, 775.0, 18.0], shoonya_2sEUKK6GBOZPYI, 5653003]
[paragraph, [91.0, 186.0, 775.0, 18.0], shoonya_2sEUKK6GBOZPYI, 5653003]
[paragraph, [92.0, 219.0, 770.0, 18.0], shoonya_1sNSMF72V98KO3, 5653003]
[paragraph, [92.0, 237.0, 770.0, 18.0], shoonya_1sNSMF72V98KO3, 5653003]
[paragraph, [92.0, 255.0, 770.0, 18.0], shoonya_1sNSMF72V98KO3, 5653003]
[paragraph, [92.0, 273.0, 770.0, 18.0], shoonya_1sNSMF72V98KO3, 5653003]
[paragraph, [92.0, 291.0, 770.0, 18.0], shoonya_1sNSMF72V98KO3, 5653003]
[paragraph, [92.0, 309.0, 770.0, 18.0], shoonya_1sNSMF72V98KO3, 5653003]
[paragraph, [92.0, 327.0, 770.0, 18.0], shoonya_1sNSMF72V98KO3, 5653003]
[paragraph, [92.0, 345.0, 770.0, 18.0], shoonya_1sNSMF72V98KO3, 5653003]
[paragraph, [92.0, 363.0, 770.0, 18.0], shoonya_1sNSMF72V98KO3, 5653003]
[paragraph, [87.0, 404.0, 789.0, 18.0], shoonya_3s3DJGIYOXRBT0, 5653003]
[paragraph, [87.0, 422.0, 789.0, 18.0], shoonya_3s3DJGIYOXRBT0, 5653003]
[paragraph, [87.0, 440.0, 789.0, 18.0], shoonya_3s3DJGIYOXRBT0, 5653003]
[paragraph, [87.0, 458.0, 789.0, 18.0], shoonya_3s3DJGIYOXRBT0, 5653003]
[paragraph, [87.0, 476.0, 789.0, 18.0], shoonya_3s3DJGIYOXRBT0, 5653003]
[paragraph, [87.0, 494.0, 789.0, 18.0], shoonya_3s3DJGIYOXRBT0, 5653003]
[paragraph, [87.0, 512.0, 789.0, 18.0], shoonya_3s3DJGIYOXRBT0, 5653003]
[paragraph, [87.0, 530.0, 789.0, 18.0], shoonya_3s3DJGIYOXRBT0, 5653003]
[paragraph, [87.0, 548.0, 789.0, 18.0], shoonya_3s3DJGIYOXRBT0, 5653003]
[paragraph, [87.0, 566.0, 789.0, 18.0], shoonya_3s3DJGIYOXRBT0, 5653003]
[paragraph, [87.0, 584.0, 789.0, 18.0], shoonya_3s3DJGIYOXRBT0, 5653003]
[paragraph, [87.0, 602.0, 789.0, 18.0], shoonya_3s3DJGIYOXRBT0, 5653003]
[paragraph, [87.0, 620.0, 789.0, 18.0], shoonya_3s3DJGIYOXRBT0, 5653003]
[paragraph, [87.0, 638.0, 789.0, 18.0], shoonya_3s3DJGIYOXRBT0, 5653003]
[paragraph, [87.0, 656.0, 789.0, 18.0], shoonya_3s3DJGIYOXRBT0, 5653003]
[paragraph, [87.0, 674.0, 789.0, 18.0], shoonya_3s3DJGIYOXRBT0, 5653003]
[paragraph, [87.0, 692.0, 789.0, 18.0], shoonya_3s3DJGIYOXRBT0, 5653003]
[paragraph, [87.0, 710.0, 789.0, 18.0], shoonya_3s3DJGIYOXRBT0, 5653003]
[paragraph, [87.0, 728.0, 789.0, 18.0], shoonya_3s3DJGIYOXRBT0, 5653003]
[paragraph, [87.0, 746.0, 789.0, 18.0], shoonya_3s3DJGIYOXRBT0, 5653003]
[paragraph, [87.0, 764.0, 789.0, 18.0], shoonya_3s3DJGIYOXRBT0, 5653003]
[paragraph, [87.0, 782.0, 789.0, 18.0], shoonya_3s3DJGIYOXRBT0, 5653003]
[paragraph, [92.0, 818.0, 804.0, 18.0], shoonya_0sGCLHFU4VO3H6, 5653003]
[paragraph, [92.0, 836.0, 804.0, 18.0], shoonya_0sGCLHFU4VO3H6, 5653003]
[paragraph, [92.0, 854.0, 804.0, 18.0], shoonya_0sGCLHFU4VO3H6, 5653003]
[paragraph, [92.0, 872.0, 804.0, 18.0], shoonya_0sGCLHFU4VO3H6, 5653003]
[paragraph, [92.0, 890.0, 804.0, 18.0], shoonya_0sGCLHFU4VO3H6, 5653003]
[paragraph, [92.0, 908.0, 804.0, 18.0], shoonya_0sGCLHFU4VO3H6, 5653003]
[paragraph, [92.0, 926.0, 804.0, 18.0], shoonya_0sGCLHFU4VO3H6, 5653003]
[paragraph, [92.0, 944.0, 804.0, 18.0], shoonya_0sGCLHFU4VO3H6, 5653003]
[paragraph, [92.0, 962.0, 804.0, 18.0], shoonya_0sGCLHFU4VO3H6, 5653003]
[paragraph, [92.0, 980.0, 804.0, 18.0], shoonya_0sGCLHFU4VO3H6, 5653003]
[paragraph, [92.0, 998.0, 804.0, 18.0], shoonya_0sGCLHFU4VO3H6, 5653003]
[paragraph, [92.0, 1016.0, 804.0, 18.0], shoonya_0sGCLHFU4VO3H6, 5653003]
[paragraph, [92.0, 1034.0, 804.0, 18.0], shoonya_0sGCLHFU4VO3H6, 5653003]
[paragraph, [92.0, 1052.0, 804.0, 18.0], shoonya_0sGCLHFU4VO3H6, 5653003]
[paragraph, [92.0, 1070.0, 804.0, 18.0], shoonya_0sGCLHFU4VO3H6, 5653003]
[paragraph, [92.0, 1088.0, 804.0, 18.0], shoonya_0sGCLHFU4VO3H6, 5653003]
[paragraph, [92.0, 1106.0, 804.0, 18.0], shoonya_0sGCLHFU4VO3H6, 5653003]
[paragraph, [92.0, 1124.0, 804.0, 18.0], shoonya_0sGCLHFU4VO3H6, 5653003]
[paragraph, [92.0, 1142.0, 804.0, 18.0], shoonya_0sGCLHFU4VO3H6, 5653003]
[paragraph, [92.0, 1160.0, 804.0, 18.0], shoonya_0sGCLHFU4VO3H6, 5653003]
[paragraph, [92.0, 1178.0, 804.0, 18.0], shoonya_0sGCLHFU4VO3H6, 5653003]
[paragraph, [92.0, 1196.0, 804.0, 18.0], shoonya_0sGCLHFU4VO3H6, 5653003]
