[2481, 1654]
[folio, [341.0, 99.0, 144.0, 36.0], X_kqxXTzPG, 5721744]
[paragraph, [225.0, 219.0, 1273.0, 36.0], rodG2jn5ZN, 5721744]
[paragraph, [225.0, 255.0, 1273.0, 36.0], rodG2jn5ZN, 5721744]
[paragraph, [283.0, 324.0, 1037.0, 36.0], 8SHQ9ghbWi, 5721744]
[paragraph, [225.0, 374.0, 1277.0, 36.0], aEbyn-X9De, 5721744]
[paragraph, [225.0, 410.0, 1277.0, 36.0], aEbyn-X9De, 5721744]
[paragraph, [217.0, 481.0, 1279.0, 36.0], Gn_zbHXHfm, 5721744]
[paragraph, [217.0, 517.0, 1279.0, 36.0], Gn_zbHXHfm, 5721744]
[paragraph, [223.0, 580.0, 1273.0, 36.0], hWdH5rSeXf, 5721744]
[paragraph, [223.0, 616.0, 1273.0, 36.0], hWdH5rSeXf, 5721744]
[paragraph, [285.0, 686.0, 1048.0, 36.0], lw_CyGhFiG, 5721744]
[paragraph, [279.0, 742.0, 729.0, 36.0], shoonya_3sMVHLTE7399CU, 5721744]
[paragraph, [279.0, 786.0, 193.0, 36.0], shoonya_1sPZD1SC0PB8OO, 5721744]
[paragraph, [281.0, 843.0, 469.0, 36.0], g2heqsYQH5, 5721744]
[paragraph, [281.0, 893.0, 124.0, 36.0], WU_9Ck8drq, 5721744]
[paragraph, [277.0, 946.0, 407.0, 36.0], zRpRPXUMds, 5721744]
[paragraph, [221.0, 998.0, 1269.0, 36.0], S-fKvhsUVa, 5721744]
[paragraph, [221.0, 1034.0, 1269.0, 36.0], S-fKvhsUVa, 5721744]
[paragraph, [221.0, 1104.0, 1273.0, 36.0], M0P8Iylkz7, 5721744]
[paragraph, [221.0, 1140.0, 1273.0, 36.0], M0P8Iylkz7, 5721744]
[paragraph, [221.0, 1176.0, 1273.0, 36.0], M0P8Iylkz7, 5721744]
[paragraph, [221.0, 1212.0, 1273.0, 36.0], M0P8Iylkz7, 5721744]
[paragraph, [221.0, 1248.0, 1273.0, 36.0], M0P8Iylkz7, 5721744]
[paragraph, [221.0, 1284.0, 1273.0, 36.0], M0P8Iylkz7, 5721744]
[paragraph, [221.0, 1320.0, 1273.0, 36.0], M0P8Iylkz7, 5721744]
[paragraph, [221.0, 1356.0, 1273.0, 36.0], M0P8Iylkz7, 5721744]
[paragraph, [280.0, 1418.0, 616.0, 36.0], shoonya_2s4U83P46PN22P, 5721744]
[paragraph, [285.0, 1472.0, 223.0, 36.0], O6D5t7cJh3, 5721744]
[paragraph, [279.0, 1521.0, 657.0, 36.0], sdIwWltZDY, 5721744]
[paragraph, [227.0, 1573.0, 1275.0, 36.0], 07T8AgR311, 5721744]
[paragraph, [227.0, 1609.0, 1275.0, 36.0], 07T8AgR311, 5721744]
[paragraph, [227.0, 1678.0, 1269.0, 36.0], 6dhJs6fTIY, 5721744]
[paragraph, [227.0, 1714.0, 1269.0, 36.0], 6dhJs6fTIY, 5721744]
[paragraph, [229.0, 1780.0, 1263.0, 36.0], 2SikpvBfHx, 5721744]
[paragraph, [229.0, 1816.0, 1263.0, 36.0], 2SikpvBfHx, 5721744]
[paragraph, [225.0, 1887.0, 1267.0, 36.0], IG9n8CKixm, 5721744]
[paragraph, [225.0, 1923.0, 1267.0, 36.0], IG9n8CKixm, 5721744]
[paragraph, [227.0, 1988.0, 1265.0, 36.0], q-ZpYLWTpq, 5721744]
[paragraph, [227.0, 2024.0, 1265.0, 36.0], q-ZpYLWTpq, 5721744]
[paragraph, [225.0, 2094.0, 1269.0, 36.0], uwpV1vEGmJ, 5721744]
[paragraph, [225.0, 2130.0, 1269.0, 36.0], uwpV1vEGmJ, 5721744]
