[1650, 1275]
[paragraph, [177.0, 248.0, 919.0, 36.0], shoonya_1sCWLFANTF3X4Y, 5779163]
[paragraph, [177.0, 284.0, 919.0, 36.0], shoonya_1sCWLFANTF3X4Y, 5779163]
[paragraph, [177.0, 320.0, 919.0, 36.0], shoonya_1sCWLFANTF3X4Y, 5779163]
[paragraph, [177.0, 356.0, 919.0, 36.0], shoonya_1sCWLFANTF3X4Y, 5779163]
[paragraph, [177.0, 392.0, 919.0, 36.0], shoonya_1sCWLFANTF3X4Y, 5779163]
[paragraph, [177.0, 428.0, 919.0, 36.0], shoonya_1sCWLFANTF3X4Y, 5779163]
[paragraph, [177.0, 464.0, 919.0, 36.0], shoonya_1sCWLFANTF3X4Y, 5779163]
[paragraph, [177.0, 500.0, 919.0, 36.0], shoonya_1sCWLFANTF3X4Y, 5779163]
[paragraph, [175.0, 566.0, 921.0, 36.0], shoonya_2sYEWV3ZQFNRX3, 5779163]
[paragraph, [175.0, 602.0, 921.0, 36.0], shoonya_2sYEWV3ZQFNRX3, 5779163]
[paragraph, [175.0, 638.0, 921.0, 36.0], shoonya_2sYEWV3ZQFNRX3, 5779163]
[paragraph, [175.0, 674.0, 921.0, 36.0], shoonya_2sYEWV3ZQFNRX3, 5779163]
[paragraph, [175.0, 710.0, 921.0, 36.0], shoonya_2sYEWV3ZQFNRX3, 5779163]
[paragraph, [175.0, 746.0, 921.0, 36.0], shoonya_2sYEWV3ZQFNRX3, 5779163]
[paragraph, [175.0, 782.0, 921.0, 36.0], shoonya_2sYEWV3ZQFNRX3, 5779163]
[paragraph, [175.0, 818.0, 921.0, 36.0], shoonya_2sYEWV3ZQFNRX3, 5779163]
[paragraph, [175.0, 854.0, 921.0, 36.0], shoonya_2sYEWV3ZQFNRX3, 5779163]
[paragraph, [177.0, 921.0, 919.0, 36.0], shoonya_0sCSRB0I37K352, 5779163]
[paragraph, [177.0, 957.0, 919.0, 36.0], shoonya_0sCSRB0I37K352, 5779163]
[paragraph, [177.0, 993.0, 919.0, 36.0], shoonya_0sCSRB0I37K352, 5779163]
[paragraph, [177.0, 1029.0, 919.0, 36.0], shoonya_0sCSRB0I37K352, 5779163]
[paragraph, [177.0, 1065.0, 919.0, 36.0], shoonya_0sCSRB0I37K352, 5779163]
[paragraph, [177.0, 1101.0, 919.0, 36.0], shoonya_0sCSRB0I37K352, 5779163]
[paragraph, [177.0, 1137.0, 919.0, 36.0], shoonya_0sCSRB0I37K352, 5779163]
[paragraph, [177.0, 1173.0, 919.0, 36.0], shoonya_0sCSRB0I37K352, 5779163]
[paragraph, [177.0, 1209.0, 919.0, 36.0], shoonya_0sCSRB0I37K352, 5779163]
[paragraph, [177.0, 1245.0, 919.0, 36.0], shoonya_0sCSRB0I37K352, 5779163]
[paragraph, [177.0, 1281.0, 919.0, 36.0], shoonya_0sCSRB0I37K352, 5779163]
[paragraph, [177.0, 1317.0, 919.0, 36.0], shoonya_0sCSRB0I37K352, 5779163]
[paragraph, [177.0, 1353.0, 919.0, 36.0], shoonya_0sCSRB0I37K352, 5779163]
[paragraph, [177.0, 1389.0, 919.0, 36.0], shoonya_0sCSRB0I37K352, 5779163]
