[1736, 1323]
[paragraph, [667.0, 144.0, 528.0, 36.0], shoonya_4s79P9T3OKNJCJ, 5771312]
[paragraph, [667.0, 180.0, 528.0, 36.0], shoonya_4s79P9T3OKNJCJ, 5771312]
[paragraph, [667.0, 216.0, 528.0, 36.0], shoonya_4s79P9T3OKNJCJ, 5771312]
[paragraph, [667.0, 252.0, 528.0, 36.0], shoonya_4s79P9T3OKNJCJ, 5771312]
[paragraph, [667.0, 288.0, 528.0, 36.0], shoonya_4s79P9T3OKNJCJ, 5771312]
[paragraph, [667.0, 324.0, 528.0, 36.0], shoonya_4s79P9T3OKNJCJ, 5771312]
[paragraph, [126.0, 145.0, 527.0, 36.0], shoonya_8sU4QYWLMETC89, 5771312]
[paragraph, [126.0, 181.0, 527.0, 36.0], shoonya_8sU4QYWLMETC89, 5771312]
[paragraph, [126.0, 217.0, 527.0, 36.0], shoonya_8sU4QYWLMETC89, 5771312]
[paragraph, [127.0, 269.0, 525.0, 36.0], shoonya_6sMX5VCZJDW2TM, 5771312]
[paragraph, [127.0, 305.0, 525.0, 36.0], shoonya_6sMX5VCZJDW2TM, 5771312]
[paragraph, [127.0, 341.0, 525.0, 36.0], shoonya_6sMX5VCZJDW2TM, 5771312]
[paragraph, [127.0, 377.0, 525.0, 36.0], shoonya_6sMX5VCZJDW2TM, 5771312]
[paragraph, [127.0, 413.0, 525.0, 36.0], shoonya_6sMX5VCZJDW2TM, 5771312]
[paragraph, [127.0, 449.0, 525.0, 36.0], shoonya_6sMX5VCZJDW2TM, 5771312]
[paragraph, [127.0, 485.0, 525.0, 36.0], shoonya_6sMX5VCZJDW2TM, 5771312]
[paragraph, [666.0, 439.0, 527.0, 36.0], shoonya_10sVT02BX0BJC3, 5771312]
[paragraph, [666.0, 475.0, 527.0, 36.0], shoonya_10sVT02BX0BJC3, 5771312]
[paragraph, [125.0, 533.0, 402.0, 36.0], shoonya_3sAWKLEBANPSKZ, 5771312]
[paragraph, [125.0, 569.0, 402.0, 36.0], shoonya_3sAWKLEBANPSKZ, 5771312]
[paragraph, [125.0, 605.0, 402.0, 36.0], shoonya_3sAWKLEBANPSKZ, 5771312]
[paragraph, [125.0, 641.0, 402.0, 36.0], shoonya_3sAWKLEBANPSKZ, 5771312]
[paragraph, [125.0, 677.0, 402.0, 36.0], shoonya_3sAWKLEBANPSKZ, 5771312]
[paragraph, [125.0, 713.0, 402.0, 36.0], shoonya_3sAWKLEBANPSKZ, 5771312]
[paragraph, [125.0, 749.0, 402.0, 36.0], shoonya_3sAWKLEBANPSKZ, 5771312]
[paragraph, [127.0, 797.0, 398.0, 36.0], shoonya_5sAJUX8VF5JPNT, 5771312]
[paragraph, [127.0, 833.0, 398.0, 36.0], shoonya_5sAJUX8VF5JPNT, 5771312]
[paragraph, [127.0, 869.0, 398.0, 36.0], shoonya_5sAJUX8VF5JPNT, 5771312]
[paragraph, [127.0, 905.0, 398.0, 36.0], shoonya_5sAJUX8VF5JPNT, 5771312]
[paragraph, [127.0, 941.0, 398.0, 36.0], shoonya_5sAJUX8VF5JPNT, 5771312]
[paragraph, [127.0, 977.0, 398.0, 36.0], shoonya_5sAJUX8VF5JPNT, 5771312]
[paragraph, [127.0, 1013.0, 398.0, 36.0], shoonya_5sAJUX8VF5JPNT, 5771312]
[paragraph, [667.0, 974.0, 526.0, 36.0], shoonya_7sOZINJ6QOVMT8, 5771312]
[paragraph, [667.0, 1010.0, 526.0, 36.0], shoonya_7sOZINJ6QOVMT8, 5771312]
[paragraph, [667.0, 1046.0, 526.0, 36.0], shoonya_7sOZINJ6QOVMT8, 5771312]
[paragraph, [667.0, 1082.0, 526.0, 36.0], shoonya_7sOZINJ6QOVMT8, 5771312]
[paragraph, [126.0, 1067.0, 527.0, 36.0], shoonya_0sEGFZ0L8EG5JZ, 5771312]
[paragraph, [126.0, 1103.0, 527.0, 36.0], shoonya_0sEGFZ0L8EG5JZ, 5771312]
[paragraph, [126.0, 1139.0, 527.0, 36.0], shoonya_0sEGFZ0L8EG5JZ, 5771312]
[paragraph, [126.0, 1175.0, 527.0, 36.0], shoonya_0sEGFZ0L8EG5JZ, 5771312]
[paragraph, [126.0, 1211.0, 527.0, 36.0], shoonya_0sEGFZ0L8EG5JZ, 5771312]
[paragraph, [126.0, 1247.0, 527.0, 36.0], shoonya_0sEGFZ0L8EG5JZ, 5771312]
[paragraph, [126.0, 1283.0, 527.0, 36.0], shoonya_0sEGFZ0L8EG5JZ, 5771312]
[paragraph, [126.0, 1319.0, 527.0, 36.0], shoonya_0sEGFZ0L8EG5JZ, 5771312]
[paragraph, [126.0, 1355.0, 527.0, 36.0], shoonya_0sEGFZ0L8EG5JZ, 5771312]
[paragraph, [126.0, 1391.0, 527.0, 36.0], shoonya_0sEGFZ0L8EG5JZ, 5771312]
[paragraph, [666.0, 1127.0, 528.0, 36.0], shoonya_1sJ8BUT6ROPKUU, 5771312]
[paragraph, [666.0, 1163.0, 528.0, 36.0], shoonya_1sJ8BUT6ROPKUU, 5771312]
[paragraph, [666.0, 1199.0, 528.0, 36.0], shoonya_1sJ8BUT6ROPKUU, 5771312]
[paragraph, [666.0, 1235.0, 528.0, 36.0], shoonya_1sJ8BUT6ROPKUU, 5771312]
[paragraph, [666.0, 1271.0, 528.0, 36.0], shoonya_1sJ8BUT6ROPKUU, 5771312]
[paragraph, [666.0, 1307.0, 528.0, 36.0], shoonya_1sJ8BUT6ROPKUU, 5771312]
[paragraph, [668.0, 1423.0, 528.0, 36.0], shoonya_9sQVEC2YRVEHVT, 5771312]
[paragraph, [668.0, 1459.0, 528.0, 36.0], shoonya_9sQVEC2YRVEHVT, 5771312]
[paragraph, [668.0, 1495.0, 528.0, 36.0], shoonya_9sQVEC2YRVEHVT, 5771312]
[paragraph, [129.0, 1453.0, 527.0, 36.0], shoonya_14sPLCNV6GTAR2, 5771312]
[paragraph, [129.0, 1489.0, 527.0, 36.0], shoonya_14sPLCNV6GTAR2, 5771312]
[folio, [591.0, 1575.0, 157.0, 36.0], Pw6VXE_cNL, 5771312]
[folio, [81.0, 1696.0, 187.0, 36.0], 3Yb5FJmP68, 5771312]
