[1951, 1219]
[folio, [766.0, 124.0, 205.0, 36.0], shoonya_0s9YX9HC7ETDTG, 5682939]
[paragraph, [118.0, 205.0, 988.0, 36.0], vJvC3GK1mP, 5682939]
[paragraph, [118.0, 241.0, 988.0, 36.0], vJvC3GK1mP, 5682939]
[paragraph, [118.0, 277.0, 988.0, 36.0], vJvC3GK1mP, 5682939]
[paragraph, [118.0, 313.0, 988.0, 36.0], vJvC3GK1mP, 5682939]
[paragraph, [118.0, 349.0, 988.0, 36.0], vJvC3GK1mP, 5682939]
[paragraph, [118.0, 385.0, 988.0, 36.0], vJvC3GK1mP, 5682939]
[paragraph, [118.0, 421.0, 988.0, 36.0], vJvC3GK1mP, 5682939]
[paragraph, [118.0, 457.0, 988.0, 36.0], vJvC3GK1mP, 5682939]
[paragraph, [204.0, 507.0, 653.0, 36.0], B0N9AhojlJ, 5682939]
[paragraph, [121.0, 565.0, 985.0, 36.0], tx0miDepK2, 5682939]
[paragraph, [121.0, 601.0, 985.0, 36.0], tx0miDepK2, 5682939]
[paragraph, [121.0, 637.0, 985.0, 36.0], tx0miDepK2, 5682939]
[paragraph, [121.0, 673.0, 985.0, 36.0], tx0miDepK2, 5682939]
[paragraph, [120.0, 739.0, 987.0, 36.0], QTVMTKXCGt, 5682939]
[paragraph, [120.0, 775.0, 987.0, 36.0], QTVMTKXCGt, 5682939]
[paragraph, [120.0, 811.0, 987.0, 36.0], QTVMTKXCGt, 5682939]
[paragraph, [120.0, 847.0, 987.0, 36.0], QTVMTKXCGt, 5682939]
[paragraph, [120.0, 883.0, 987.0, 36.0], QTVMTKXCGt, 5682939]
[paragraph, [120.0, 919.0, 987.0, 36.0], QTVMTKXCGt, 5682939]
[paragraph, [120.0, 955.0, 987.0, 36.0], QTVMTKXCGt, 5682939]
[paragraph, [120.0, 991.0, 987.0, 36.0], QTVMTKXCGt, 5682939]
[paragraph, [120.0, 1027.0, 987.0, 36.0], QTVMTKXCGt, 5682939]
[paragraph, [120.0, 1063.0, 987.0, 36.0], QTVMTKXCGt, 5682939]
[paragraph, [120.0, 1099.0, 987.0, 36.0], QTVMTKXCGt, 5682939]
[paragraph, [120.0, 1135.0, 987.0, 36.0], QTVMTKXCGt, 5682939]
[paragraph, [120.0, 1171.0, 987.0, 36.0], QTVMTKXCGt, 5682939]
[paragraph, [120.0, 1207.0, 987.0, 36.0], QTVMTKXCGt, 5682939]
[paragraph, [117.0, 1266.0, 990.0, 36.0], UPMzLBA3mP, 5682939]
[paragraph, [117.0, 1302.0, 990.0, 36.0], UPMzLBA3mP, 5682939]
[paragraph, [117.0, 1338.0, 990.0, 36.0], UPMzLBA3mP, 5682939]
[paragraph, [117.0, 1374.0, 990.0, 36.0], UPMzLBA3mP, 5682939]
[paragraph, [117.0, 1410.0, 990.0, 36.0], UPMzLBA3mP, 5682939]
[paragraph, [117.0, 1446.0, 990.0, 36.0], UPMzLBA3mP, 5682939]
[paragraph, [117.0, 1482.0, 990.0, 36.0], UPMzLBA3mP, 5682939]
[paragraph, [117.0, 1518.0, 990.0, 36.0], UPMzLBA3mP, 5682939]
[paragraph, [117.0, 1554.0, 990.0, 36.0], UPMzLBA3mP, 5682939]
[paragraph, [117.0, 1590.0, 990.0, 36.0], UPMzLBA3mP, 5682939]
[paragraph, [117.0, 1626.0, 990.0, 36.0], UPMzLBA3mP, 5682939]
[paragraph, [117.0, 1662.0, 990.0, 36.0], UPMzLBA3mP, 5682939]
[paragraph, [117.0, 1698.0, 990.0, 36.0], UPMzLBA3mP, 5682939]
[paragraph, [117.0, 1734.0, 990.0, 36.0], UPMzLBA3mP, 5682939]
[paragraph, [117.0, 1770.0, 990.0, 36.0], UPMzLBA3mP, 5682939]
