[1725, 1313]
[headline, [284.0, 149.0, 738.0, 37.5], shoonya_3sABG1PU0EVEK2, 5772177]
[headline, [284.0, 186.5, 738.0, 37.5], shoonya_3sABG1PU0EVEK2, 5772177]
[headline, [284.0, 224.0, 738.0, 37.5], shoonya_3sABG1PU0EVEK2, 5772177]
[headline, [284.0, 261.5, 738.0, 37.5], shoonya_3sABG1PU0EVEK2, 5772177]
[headline, [284.0, 299.0, 738.0, 37.5], shoonya_3sABG1PU0EVEK2, 5772177]
[sidebar, [116.0, 1091.0, 523.0, 36.0], vZ_UOjkZV5, 5772177]
[sidebar, [116.0, 1127.0, 523.0, 36.0], vZ_UOjkZV5, 5772177]
[sidebar, [116.0, 1163.0, 523.0, 36.0], vZ_UOjkZV5, 5772177]
[sidebar, [116.0, 1199.0, 523.0, 36.0], vZ_UOjkZV5, 5772177]
[sidebar, [116.0, 1235.0, 523.0, 36.0], vZ_UOjkZV5, 5772177]
[sidebar, [116.0, 1271.0, 523.0, 36.0], vZ_UOjkZV5, 5772177]
[sidebar, [116.0, 1307.0, 523.0, 36.0], vZ_UOjkZV5, 5772177]
[sidebar, [116.0, 1343.0, 523.0, 36.0], vZ_UOjkZV5, 5772177]
[sidebar, [116.0, 1379.0, 523.0, 36.0], vZ_UOjkZV5, 5772177]
[sidebar, [116.0, 1415.0, 523.0, 36.0], vZ_UOjkZV5, 5772177]
[sidebar, [116.0, 1451.0, 523.0, 36.0], vZ_UOjkZV5, 5772177]
[sidebar, [116.0, 1487.0, 523.0, 36.0], vZ_UOjkZV5, 5772177]
[paragraph, [645.0, 1092.0, 548.0, 36.0], shoonya_1sONMUCMP2VJQ3, 5772177]
[paragraph, [645.0, 1128.0, 548.0, 36.0], shoonya_1sONMUCMP2VJQ3, 5772177]
[paragraph, [645.0, 1164.0, 548.0, 36.0], shoonya_1sONMUCMP2VJQ3, 5772177]
[paragraph, [645.0, 1200.0, 548.0, 36.0], shoonya_1sONMUCMP2VJQ3, 5772177]
[paragraph, [645.0, 1236.0, 548.0, 36.0], shoonya_1sONMUCMP2VJQ3, 5772177]
[paragraph, [645.0, 1272.0, 548.0, 36.0], shoonya_1sONMUCMP2VJQ3, 5772177]
[paragraph, [645.0, 1308.0, 548.0, 36.0], shoonya_1sONMUCMP2VJQ3, 5772177]
[paragraph, [645.0, 1344.0, 548.0, 36.0], shoonya_1sONMUCMP2VJQ3, 5772177]
[paragraph, [645.0, 1380.0, 548.0, 36.0], shoonya_1sONMUCMP2VJQ3, 5772177]
[paragraph, [650.0, 1421.0, 546.0, 36.0], shoonya_0sX5557XIGJ8QX, 5772177]
[paragraph, [650.0, 1457.0, 546.0, 36.0], shoonya_0sX5557XIGJ8QX, 5772177]
[paragraph, [650.0, 1493.0, 546.0, 36.0], shoonya_0sX5557XIGJ8QX, 5772177]
[paragraph, [650.0, 1529.0, 546.0, 36.0], shoonya_0sX5557XIGJ8QX, 5772177]
[folio, [582.0, 1568.0, 164.0, 36.0], tKeWMaio7N, 5772177]
[folio, [72.0, 1674.0, 336.0, 36.0], shoonya_4sI5ZPYDLA0G5O, 5772177]
