[1725, 1313]
[headline, [246.0, 174.0, 809.0, 37.5], shoonya_1s9PRD1HYG88JR, 5771953]
[headline, [246.0, 211.5, 809.0, 37.5], shoonya_1s9PRD1HYG88JR, 5771953]
[headline, [246.0, 249.0, 809.0, 37.5], shoonya_1s9PRD1HYG88JR, 5771953]
[headline, [246.0, 286.5, 809.0, 37.5], shoonya_1s9PRD1HYG88JR, 5771953]
[headline, [246.0, 324.0, 809.0, 37.5], shoonya_1s9PRD1HYG88JR, 5771953]
[headline, [246.0, 361.5, 809.0, 37.5], shoonya_1s9PRD1HYG88JR, 5771953]
[paragraph, [111.0, 457.0, 542.0, 36.0], Fzcp73DOkh, 5771953]
[paragraph, [111.0, 493.0, 542.0, 36.0], Fzcp73DOkh, 5771953]
[paragraph, [111.0, 529.0, 542.0, 36.0], Fzcp73DOkh, 5771953]
[paragraph, [111.0, 565.0, 542.0, 36.0], Fzcp73DOkh, 5771953]
[paragraph, [111.0, 601.0, 542.0, 36.0], Fzcp73DOkh, 5771953]
[paragraph, [111.0, 637.0, 542.0, 36.0], Fzcp73DOkh, 5771953]
[paragraph, [111.0, 673.0, 542.0, 36.0], Fzcp73DOkh, 5771953]
[paragraph, [111.0, 709.0, 542.0, 36.0], Fzcp73DOkh, 5771953]
[paragraph, [111.0, 745.0, 542.0, 36.0], Fzcp73DOkh, 5771953]
[paragraph, [111.0, 781.0, 542.0, 36.0], Fzcp73DOkh, 5771953]
[paragraph, [659.0, 457.0, 548.0, 36.0], shoonya_3sY02OR3F03WHE, 5771953]
[paragraph, [659.0, 493.0, 548.0, 36.0], shoonya_3sY02OR3F03WHE, 5771953]
[paragraph, [659.0, 529.0, 548.0, 36.0], shoonya_3sY02OR3F03WHE, 5771953]
[paragraph, [659.0, 565.0, 548.0, 36.0], shoonya_3sY02OR3F03WHE, 5771953]
[paragraph, [659.0, 601.0, 548.0, 36.0], shoonya_3sY02OR3F03WHE, 5771953]
[paragraph, [659.0, 637.0, 548.0, 36.0], shoonya_3sY02OR3F03WHE, 5771953]
[paragraph, [659.0, 673.0, 548.0, 36.0], shoonya_3sY02OR3F03WHE, 5771953]
[paragraph, [659.0, 709.0, 548.0, 36.0], shoonya_3sY02OR3F03WHE, 5771953]
[paragraph, [659.0, 745.0, 548.0, 36.0], shoonya_3sY02OR3F03WHE, 5771953]
[paragraph, [659.0, 781.0, 548.0, 36.0], shoonya_3sY02OR3F03WHE, 5771953]
[paragraph, [659.0, 817.0, 548.0, 36.0], shoonya_3sY02OR3F03WHE, 5771953]
[paragraph, [659.0, 853.0, 548.0, 36.0], shoonya_3sY02OR3F03WHE, 5771953]
[paragraph, [659.0, 889.0, 548.0, 36.0], shoonya_3sY02OR3F03WHE, 5771953]
[paragraph, [659.0, 925.0, 548.0, 36.0], shoonya_3sY02OR3F03WHE, 5771953]
[paragraph, [120.0, 820.0, 534.0, 36.0], shoonya_0s1CEC5YH0ERHB, 5771953]
[paragraph, [120.0, 856.0, 534.0, 36.0], shoonya_0s1CEC5YH0ERHB, 5771953]
[paragraph, [120.0, 892.0, 534.0, 36.0], shoonya_0s1CEC5YH0ERHB, 5771953]
[paragraph, [120.0, 928.0, 534.0, 36.0], shoonya_0s1CEC5YH0ERHB, 5771953]
[paragraph, [120.0, 964.0, 534.0, 36.0], shoonya_0s1CEC5YH0ERHB, 5771953]
[paragraph, [120.0, 1000.0, 534.0, 36.0], shoonya_0s1CEC5YH0ERHB, 5771953]
[paragraph, [120.0, 1036.0, 534.0, 36.0], shoonya_0s1CEC5YH0ERHB, 5771953]
[paragraph, [120.0, 1072.0, 534.0, 36.0], shoonya_0s1CEC5YH0ERHB, 5771953]
[paragraph, [120.0, 1108.0, 534.0, 36.0], shoonya_0s1CEC5YH0ERHB, 5771953]
[paragraph, [120.0, 1144.0, 534.0, 36.0], shoonya_0s1CEC5YH0ERHB, 5771953]
[paragraph, [120.0, 1180.0, 534.0, 36.0], shoonya_0s1CEC5YH0ERHB, 5771953]
[paragraph, [120.0, 1216.0, 534.0, 36.0], shoonya_0s1CEC5YH0ERHB, 5771953]
[paragraph, [654.0, 991.0, 546.0, 36.0], shoonya_7sQ8JA6BEU8DR4, 5771953]
