[872, 605]
[folio, [445.0, 37.0, 104.0, 18.0], FoIYM2G-rs, 6457308]
[folio, [261.0, 38.0, 90.0, 18.0], shoonya_0sKICAEUN69G81, 6457308]
[paragraph, [301.0, 80.0, 254.0, 18.0], q7bW6giC0K, 6457308]
[paragraph, [301.0, 98.0, 254.0, 18.0], q7bW6giC0K, 6457308]
[paragraph, [301.0, 116.0, 254.0, 18.0], q7bW6giC0K, 6457308]
[paragraph, [301.0, 134.0, 254.0, 18.0], q7bW6giC0K, 6457308]
[paragraph, [301.0, 152.0, 254.0, 18.0], q7bW6giC0K, 6457308]
[paragraph, [301.0, 170.0, 254.0, 18.0], q7bW6giC0K, 6457308]
[paragraph, [301.0, 188.0, 254.0, 18.0], q7bW6giC0K, 6457308]
[paragraph, [301.0, 206.0, 254.0, 18.0], q7bW6giC0K, 6457308]
[paragraph, [50.0, 82.0, 174.0, 18.0], ap59EEc_lc, 6457308]
[paragraph, [48.0, 100.0, 251.0, 18.0], ZB9EEnJ6gR, 6457308]
[paragraph, [48.0, 118.0, 251.0, 18.0], ZB9EEnJ6gR, 6457308]
[paragraph, [48.0, 136.0, 251.0, 18.0], ZB9EEnJ6gR, 6457308]
[paragraph, [48.0, 154.0, 251.0, 18.0], ZB9EEnJ6gR, 6457308]
[paragraph, [50.0, 183.0, 246.0, 18.0], hE42ufSSk5, 6457308]
[paragraph, [50.0, 201.0, 246.0, 18.0], hE42ufSSk5, 6457308]
[paragraph, [50.0, 219.0, 246.0, 18.0], hE42ufSSk5, 6457308]
[paragraph, [50.0, 237.0, 246.0, 18.0], hE42ufSSk5, 6457308]
[paragraph, [50.0, 255.0, 246.0, 18.0], hE42ufSSk5, 6457308]
[paragraph, [303.0, 230.0, 252.0, 18.0], uiyJ45w1es, 6457308]
[paragraph, [303.0, 248.0, 252.0, 18.0], uiyJ45w1es, 6457308]
[paragraph, [303.0, 266.0, 252.0, 18.0], uiyJ45w1es, 6457308]
[paragraph, [303.0, 284.0, 252.0, 18.0], uiyJ45w1es, 6457308]
[paragraph, [304.0, 315.0, 252.0, 18.0], hT-IqdzZ5l, 6457308]
[paragraph, [304.0, 333.0, 252.0, 18.0], hT-IqdzZ5l, 6457308]
[paragraph, [304.0, 351.0, 252.0, 18.0], hT-IqdzZ5l, 6457308]
[paragraph, [54.0, 319.0, 244.0, 18.0], 3ZU5mSurGt, 6457308]
[paragraph, [54.0, 337.0, 244.0, 18.0], 3ZU5mSurGt, 6457308]
[paragraph, [54.0, 355.0, 244.0, 18.0], 3ZU5mSurGt, 6457308]
[paragraph, [54.0, 373.0, 244.0, 18.0], 3ZU5mSurGt, 6457308]
[paragraph, [54.0, 391.0, 244.0, 18.0], 3ZU5mSurGt, 6457308]
[paragraph, [54.0, 409.0, 244.0, 18.0], 3ZU5mSurGt, 6457308]
[paragraph, [54.0, 427.0, 244.0, 18.0], 3ZU5mSurGt, 6457308]
[paragraph, [54.0, 445.0, 244.0, 18.0], 3ZU5mSurGt, 6457308]
[paragraph, [54.0, 463.0, 244.0, 18.0], 3ZU5mSurGt, 6457308]
[paragraph, [54.0, 481.0, 244.0, 18.0], 3ZU5mSurGt, 6457308]
[paragraph, [54.0, 499.0, 244.0, 18.0], 3ZU5mSurGt, 6457308]
[paragraph, [54.0, 517.0, 244.0, 18.0], 3ZU5mSurGt, 6457308]
[paragraph, [54.0, 535.0, 244.0, 18.0], 3ZU5mSurGt, 6457308]
[paragraph, [304.0, 400.0, 210.0, 18.0], zL7KabuEHD, 6457308]
[paragraph, [303.0, 433.0, 231.0, 18.0], hO0yXD9RCC, 6457308]
[paragraph, [304.0, 485.0, 249.0, 18.0], BINfCDwqRp, 6457308]
[paragraph, [304.0, 503.0, 249.0, 18.0], BINfCDwqRp, 6457308]
[paragraph, [304.0, 521.0, 249.0, 18.0], BINfCDwqRp, 6457308]
[paragraph, [304.0, 539.0, 249.0, 18.0], BINfCDwqRp, 6457308]
[paragraph, [304.0, 557.0, 249.0, 18.0], BINfCDwqRp, 6457308]
[paragraph, [304.0, 575.0, 249.0, 18.0], BINfCDwqRp, 6457308]
[paragraph, [304.0, 593.0, 249.0, 18.0], BINfCDwqRp, 6457308]
[paragraph, [304.0, 611.0, 249.0, 18.0], BINfCDwqRp, 6457308]
[paragraph, [304.0, 629.0, 249.0, 18.0], BINfCDwqRp, 6457308]
[paragraph, [304.0, 647.0, 249.0, 18.0], BINfCDwqRp, 6457308]
[paragraph, [304.0, 665.0, 249.0, 18.0], BINfCDwqRp, 6457308]
[paragraph, [304.0, 683.0, 249.0, 18.0], BINfCDwqRp, 6457308]
[paragraph, [304.0, 701.0, 249.0, 18.0], BINfCDwqRp, 6457308]
[paragraph, [304.0, 719.0, 249.0, 18.0], BINfCDwqRp, 6457308]
[paragraph, [304.0, 737.0, 249.0, 18.0], BINfCDwqRp, 6457308]
[paragraph, [304.0, 755.0, 249.0, 18.0], BINfCDwqRp, 6457308]
[paragraph, [52.0, 557.0, 246.0, 18.0], _ErZ7sjEdU, 6457308]
[paragraph, [54.0, 591.0, 246.0, 18.0], -n2-ZeJyNO, 6457308]
[paragraph, [54.0, 609.0, 246.0, 18.0], -n2-ZeJyNO, 6457308]
[paragraph, [54.0, 627.0, 246.0, 18.0], -n2-ZeJyNO, 6457308]
[paragraph, [49.0, 659.0, 242.0, 18.0], liRaeqjwXE, 6457308]
[paragraph, [54.0, 677.0, 228.0, 18.0], 8jKDhLRlHp, 6457308]
[paragraph, [54.0, 695.0, 228.0, 18.0], 8jKDhLRlHp, 6457308]
[reference, [50.0, 719.0, 252.0, 18.0], wRLVSVX5dE, 6457308]
[reference, [50.0, 737.0, 252.0, 18.0], wRLVSVX5dE, 6457308]
[reference, [50.0, 755.0, 252.0, 18.0], wRLVSVX5dE, 6457308]
[reference, [50.0, 773.0, 252.0, 18.0], wRLVSVX5dE, 6457308]
[reference, [50.0, 791.0, 252.0, 18.0], wRLVSVX5dE, 6457308]
[reference, [306.0, 793.0, 245.0, 18.0], fYnJ7in8Mk, 6457308]
[reference, [306.0, 811.0, 245.0, 18.0], fYnJ7in8Mk, 6457308]
