[811, 612]
[section-title, [62.0, 42.0, 327.0, 30.0], shoonya_12s04MJN1DGG4Q, 5701019]
[ordered-list, [59.0, 104.0, 391.0, 18.0], shoonya_16sLXM9CYIZKV5, 5701019]
[ordered-list, [59.0, 122.0, 391.0, 18.0], shoonya_16sLXM9CYIZKV5, 5701019]
[ordered-list, [59.0, 140.0, 391.0, 18.0], shoonya_16sLXM9CYIZKV5, 5701019]
[ordered-list, [59.0, 158.0, 391.0, 18.0], shoonya_16sLXM9CYIZKV5, 5701019]
[ordered-list, [59.0, 176.0, 391.0, 18.0], shoonya_16sLXM9CYIZKV5, 5701019]
[ordered-list, [59.0, 194.0, 391.0, 18.0], shoonya_16sLXM9CYIZKV5, 5701019]
[ordered-list, [59.0, 212.0, 391.0, 18.0], shoonya_16sLXM9CYIZKV5, 5701019]
[ordered-list, [59.0, 230.0, 391.0, 18.0], shoonya_16sLXM9CYIZKV5, 5701019]
[ordered-list, [59.0, 248.0, 391.0, 18.0], shoonya_16sLXM9CYIZKV5, 5701019]
[ordered-list, [59.0, 266.0, 391.0, 18.0], shoonya_16sLXM9CYIZKV5, 5701019]
[ordered-list, [59.0, 284.0, 391.0, 18.0], shoonya_16sLXM9CYIZKV5, 5701019]
[ordered-list, [59.0, 302.0, 391.0, 18.0], shoonya_16sLXM9CYIZKV5, 5701019]
[ordered-list, [59.0, 320.0, 391.0, 18.0], shoonya_16sLXM9CYIZKV5, 5701019]
[unordered-list, [222.0, 526.0, 170.0, 18.0], shoonya_9sSIT2K4NET0I7, 5701019]
[unordered-list, [222.0, 544.0, 170.0, 18.0], shoonya_9sSIT2K4NET0I7, 5701019]
[unordered-list, [222.0, 562.0, 170.0, 18.0], shoonya_9sSIT2K4NET0I7, 5701019]
[unordered-list, [222.0, 580.0, 170.0, 18.0], shoonya_9sSIT2K4NET0I7, 5701019]
[unordered-list, [222.0, 598.0, 170.0, 18.0], shoonya_9sSIT2K4NET0I7, 5701019]
[unordered-list, [222.0, 616.0, 170.0, 18.0], shoonya_9sSIT2K4NET0I7, 5701019]
