[1518, 1075]
[headline, [334.0, 253.0, 653.0, 37.5], shoonya_2s4GSX6TEB38XZ, 5722788]
[headline, [334.0, 290.5, 653.0, 37.5], shoonya_2s4GSX6TEB38XZ, 5722788]
[sub-headline, [323.0, 355.0, 632.0, 36.0], UKT5zDOE1a, 5722788]
[paragraph, [113.0, 438.0, 431.0, 36.0], shoonya_0sJBCWO9KV8AXV, 5722788]
[paragraph, [113.0, 474.0, 431.0, 36.0], shoonya_0sJBCWO9KV8AXV, 5722788]
[paragraph, [113.0, 510.0, 431.0, 36.0], shoonya_0sJBCWO9KV8AXV, 5722788]
[paragraph, [113.0, 546.0, 431.0, 36.0], shoonya_0sJBCWO9KV8AXV, 5722788]
[paragraph, [113.0, 582.0, 431.0, 36.0], shoonya_0sJBCWO9KV8AXV, 5722788]
[paragraph, [113.0, 618.0, 431.0, 36.0], shoonya_0sJBCWO9KV8AXV, 5722788]
[paragraph, [113.0, 654.0, 431.0, 36.0], shoonya_0sJBCWO9KV8AXV, 5722788]
[paragraph, [113.0, 690.0, 431.0, 36.0], shoonya_0sJBCWO9KV8AXV, 5722788]
[paragraph, [113.0, 726.0, 431.0, 36.0], shoonya_0sJBCWO9KV8AXV, 5722788]
[paragraph, [113.0, 762.0, 431.0, 36.0], shoonya_0sJBCWO9KV8AXV, 5722788]
[paragraph, [113.0, 798.0, 431.0, 36.0], shoonya_0sJBCWO9KV8AXV, 5722788]
[paragraph, [557.0, 438.0, 429.0, 36.0], shoonya_1sNG94JCPO84L4, 5722788]
[paragraph, [557.0, 474.0, 429.0, 36.0], shoonya_1sNG94JCPO84L4, 5722788]
[paragraph, [557.0, 510.0, 429.0, 36.0], shoonya_1sNG94JCPO84L4, 5722788]
[paragraph, [557.0, 546.0, 429.0, 36.0], shoonya_1sNG94JCPO84L4, 5722788]
[paragraph, [557.0, 582.0, 429.0, 36.0], shoonya_1sNG94JCPO84L4, 5722788]
[paragraph, [557.0, 618.0, 429.0, 36.0], shoonya_1sNG94JCPO84L4, 5722788]
[paragraph, [557.0, 654.0, 429.0, 36.0], shoonya_1sNG94JCPO84L4, 5722788]
[paragraph, [557.0, 690.0, 429.0, 36.0], shoonya_1sNG94JCPO84L4, 5722788]
[paragraph, [557.0, 726.0, 429.0, 36.0], shoonya_1sNG94JCPO84L4, 5722788]
[paragraph, [557.0, 762.0, 429.0, 36.0], shoonya_1sNG94JCPO84L4, 5722788]
[paragraph, [557.0, 798.0, 429.0, 36.0], shoonya_1sNG94JCPO84L4, 5722788]
[paragraph, [557.0, 834.0, 429.0, 36.0], shoonya_1sNG94JCPO84L4, 5722788]
[paragraph, [557.0, 870.0, 429.0, 36.0], shoonya_1sNG94JCPO84L4, 5722788]
[paragraph, [557.0, 906.0, 429.0, 36.0], shoonya_1sNG94JCPO84L4, 5722788]
[paragraph, [557.0, 942.0, 429.0, 36.0], shoonya_1sNG94JCPO84L4, 5722788]
[paragraph, [557.0, 978.0, 429.0, 36.0], shoonya_1sNG94JCPO84L4, 5722788]
[paragraph, [113.0, 847.0, 427.0, 36.0], shoonya_4s7SMSYWN1IJQR, 5722788]
[paragraph, [113.0, 883.0, 427.0, 36.0], shoonya_4s7SMSYWN1IJQR, 5722788]
[paragraph, [156.0, 934.0, 374.0, 36.0], shoonya_7sH59BC2HX6J3O, 5722788]
[paragraph, [156.0, 970.0, 374.0, 36.0], shoonya_7sH59BC2HX6J3O, 5722788]
[paragraph, [115.0, 1041.0, 425.0, 36.0], shoonya_5sEPLNYTKF9B7J, 5722788]
[paragraph, [115.0, 1077.0, 425.0, 36.0], shoonya_5sEPLNYTKF9B7J, 5722788]
[paragraph, [115.0, 1113.0, 425.0, 36.0], shoonya_5sEPLNYTKF9B7J, 5722788]
[paragraph, [115.0, 1149.0, 425.0, 36.0], shoonya_5sEPLNYTKF9B7J, 5722788]
[paragraph, [115.0, 1185.0, 425.0, 36.0], shoonya_5sEPLNYTKF9B7J, 5722788]
[paragraph, [115.0, 1221.0, 425.0, 36.0], shoonya_5sEPLNYTKF9B7J, 5722788]
[paragraph, [115.0, 1257.0, 425.0, 36.0], shoonya_5sEPLNYTKF9B7J, 5722788]
[paragraph, [115.0, 1293.0, 425.0, 36.0], shoonya_5sEPLNYTKF9B7J, 5722788]
[paragraph, [578.0, 1047.0, 343.0, 36.0], shoonya_9sDTS5FL0DA5JY, 5722788]
[paragraph, [578.0, 1083.0, 343.0, 36.0], shoonya_9sDTS5FL0DA5JY, 5722788]
[paragraph, [578.0, 1119.0, 343.0, 36.0], shoonya_9sDTS5FL0DA5JY, 5722788]
[paragraph, [578.0, 1155.0, 343.0, 36.0], shoonya_9sDTS5FL0DA5JY, 5722788]
[paragraph, [578.0, 1191.0, 343.0, 36.0], shoonya_9sDTS5FL0DA5JY, 5722788]
[paragraph, [558.0, 1261.0, 426.0, 36.0], shoonya_8sJHJPM7381FZW, 5722788]
[paragraph, [558.0, 1297.0, 426.0, 36.0], shoonya_8sJHJPM7381FZW, 5722788]
[folio, [188.0, 1385.0, 311.0, 36.0], k0X1lKx4I2, 5722788]
