[1650, 1275]
[paragraph, [257.0, 176.0, 847.0, 36.0], shoonya_1sNOCT8UZFKBKG, 6470835]
[paragraph, [257.0, 212.0, 847.0, 36.0], shoonya_1sNOCT8UZFKBKG, 6470835]
[paragraph, [257.0, 248.0, 847.0, 36.0], shoonya_1sNOCT8UZFKBKG, 6470835]
[paragraph, [257.0, 284.0, 847.0, 36.0], shoonya_1sNOCT8UZFKBKG, 6470835]
[paragraph, [257.0, 320.0, 847.0, 36.0], shoonya_1sNOCT8UZFKBKG, 6470835]
[paragraph, [257.0, 356.0, 847.0, 36.0], shoonya_1sNOCT8UZFKBKG, 6470835]
[paragraph, [257.0, 392.0, 847.0, 36.0], shoonya_1sNOCT8UZFKBKG, 6470835]
[paragraph, [257.0, 428.0, 847.0, 36.0], shoonya_1sNOCT8UZFKBKG, 6470835]
[paragraph, [257.0, 464.0, 847.0, 36.0], shoonya_1sNOCT8UZFKBKG, 6470835]
[paragraph, [254.0, 615.0, 851.0, 36.0], shoonya_0s34TPNPS8UDRX, 6470835]
[paragraph, [254.0, 651.0, 851.0, 36.0], shoonya_0s34TPNPS8UDRX, 6470835]
[paragraph, [254.0, 687.0, 851.0, 36.0], shoonya_0s34TPNPS8UDRX, 6470835]
[paragraph, [254.0, 723.0, 851.0, 36.0], shoonya_0s34TPNPS8UDRX, 6470835]
[paragraph, [254.0, 759.0, 851.0, 36.0], shoonya_0s34TPNPS8UDRX, 6470835]
[paragraph, [254.0, 795.0, 851.0, 36.0], shoonya_0s34TPNPS8UDRX, 6470835]
[paragraph, [254.0, 831.0, 851.0, 36.0], shoonya_0s34TPNPS8UDRX, 6470835]
[paragraph, [254.0, 867.0, 851.0, 36.0], shoonya_0s34TPNPS8UDRX, 6470835]
[paragraph, [254.0, 903.0, 851.0, 36.0], shoonya_0s34TPNPS8UDRX, 6470835]
[paragraph, [254.0, 939.0, 851.0, 36.0], shoonya_0s34TPNPS8UDRX, 6470835]
[paragraph, [254.0, 975.0, 851.0, 36.0], shoonya_0s34TPNPS8UDRX, 6470835]
[paragraph, [254.0, 1011.0, 851.0, 36.0], shoonya_0s34TPNPS8UDRX, 6470835]
[paragraph, [258.0, 1105.0, 842.0, 36.0], shoonya_2sRK4KB6DFQ91F, 6470835]
[paragraph, [258.0, 1141.0, 842.0, 36.0], shoonya_2sRK4KB6DFQ91F, 6470835]
[paragraph, [258.0, 1177.0, 842.0, 36.0], shoonya_2sRK4KB6DFQ91F, 6470835]
[paragraph, [258.0, 1213.0, 842.0, 36.0], shoonya_2sRK4KB6DFQ91F, 6470835]
[paragraph, [258.0, 1249.0, 842.0, 36.0], shoonya_2sRK4KB6DFQ91F, 6470835]
[paragraph, [258.0, 1285.0, 842.0, 36.0], shoonya_2sRK4KB6DFQ91F, 6470835]
[paragraph, [258.0, 1321.0, 842.0, 36.0], shoonya_2sRK4KB6DFQ91F, 6470835]
[paragraph, [258.0, 1357.0, 842.0, 36.0], shoonya_2sRK4KB6DFQ91F, 6470835]
[footnote, [259.0, 1438.0, 781.0, 36.0], shoonya_5sJ0WUMKXXS3GZ, 6470835]
[footnote, [259.0, 1474.0, 781.0, 36.0], shoonya_5sJ0WUMKXXS3GZ, 6470835]
