[1152, 739]
[folio, [310.0, 124.0, 130.0, 18.0], shoonya_0sMT54X4GD7VMW, 5741387]
[folio, [310.0, 142.0, 130.0, 18.0], shoonya_0sMT54X4GD7VMW, 5741387]
[paragraph, [97.0, 179.0, 547.0, 18.0], TAldk6A-AK, 5741387]
[paragraph, [97.0, 197.0, 547.0, 18.0], TAldk6A-AK, 5741387]
[paragraph, [97.0, 215.0, 547.0, 18.0], TAldk6A-AK, 5741387]
[paragraph, [156.0, 252.0, 385.0, 18.0], Q6INbsqQRo, 5741387]
[paragraph, [89.0, 286.0, 564.0, 18.0], hmRKMFGNY0, 5741387]
[paragraph, [89.0, 304.0, 564.0, 18.0], hmRKMFGNY0, 5741387]
[paragraph, [89.0, 322.0, 564.0, 18.0], hmRKMFGNY0, 5741387]
[paragraph, [89.0, 340.0, 564.0, 18.0], hmRKMFGNY0, 5741387]
[paragraph, [89.0, 358.0, 564.0, 18.0], hmRKMFGNY0, 5741387]
[paragraph, [89.0, 376.0, 564.0, 18.0], hmRKMFGNY0, 5741387]
[paragraph, [89.0, 394.0, 564.0, 18.0], hmRKMFGNY0, 5741387]
[paragraph, [89.0, 412.0, 564.0, 18.0], hmRKMFGNY0, 5741387]
[paragraph, [89.0, 430.0, 564.0, 18.0], hmRKMFGNY0, 5741387]
[paragraph, [89.0, 448.0, 564.0, 18.0], hmRKMFGNY0, 5741387]
[paragraph, [89.0, 466.0, 564.0, 18.0], hmRKMFGNY0, 5741387]
[paragraph, [89.0, 484.0, 564.0, 18.0], hmRKMFGNY0, 5741387]
[paragraph, [89.0, 502.0, 564.0, 18.0], hmRKMFGNY0, 5741387]
[paragraph, [89.0, 520.0, 564.0, 18.0], hmRKMFGNY0, 5741387]
[paragraph, [89.0, 538.0, 564.0, 18.0], hmRKMFGNY0, 5741387]
[paragraph, [89.0, 556.0, 564.0, 18.0], hmRKMFGNY0, 5741387]
[paragraph, [89.0, 574.0, 564.0, 18.0], hmRKMFGNY0, 5741387]
[paragraph, [89.0, 592.0, 564.0, 18.0], hmRKMFGNY0, 5741387]
[paragraph, [89.0, 610.0, 564.0, 18.0], hmRKMFGNY0, 5741387]
[paragraph, [89.0, 628.0, 564.0, 18.0], hmRKMFGNY0, 5741387]
[paragraph, [89.0, 646.0, 564.0, 18.0], hmRKMFGNY0, 5741387]
[paragraph, [89.0, 664.0, 564.0, 18.0], hmRKMFGNY0, 5741387]
[paragraph, [89.0, 682.0, 564.0, 18.0], hmRKMFGNY0, 5741387]
[paragraph, [89.0, 700.0, 564.0, 18.0], hmRKMFGNY0, 5741387]
[paragraph, [90.0, 737.0, 555.0, 18.0], eOQcc2CBsE, 5741387]
[paragraph, [90.0, 755.0, 555.0, 18.0], eOQcc2CBsE, 5741387]
[paragraph, [90.0, 773.0, 555.0, 18.0], eOQcc2CBsE, 5741387]
[paragraph, [90.0, 791.0, 555.0, 18.0], eOQcc2CBsE, 5741387]
[paragraph, [90.0, 809.0, 555.0, 18.0], eOQcc2CBsE, 5741387]
[paragraph, [90.0, 827.0, 555.0, 18.0], eOQcc2CBsE, 5741387]
[paragraph, [90.0, 845.0, 555.0, 18.0], eOQcc2CBsE, 5741387]
[paragraph, [90.0, 863.0, 555.0, 18.0], eOQcc2CBsE, 5741387]
[paragraph, [90.0, 881.0, 555.0, 18.0], eOQcc2CBsE, 5741387]
[paragraph, [90.0, 899.0, 555.0, 18.0], eOQcc2CBsE, 5741387]
[paragraph, [90.0, 917.0, 555.0, 18.0], eOQcc2CBsE, 5741387]
[paragraph, [90.0, 935.0, 555.0, 18.0], eOQcc2CBsE, 5741387]
[paragraph, [90.0, 953.0, 555.0, 18.0], eOQcc2CBsE, 5741387]
[paragraph, [90.0, 971.0, 555.0, 18.0], eOQcc2CBsE, 5741387]
[paragraph, [90.0, 989.0, 555.0, 18.0], eOQcc2CBsE, 5741387]
[paragraph, [90.0, 1007.0, 555.0, 18.0], eOQcc2CBsE, 5741387]
[footnote, [424.0, 1109.0, 260.0, 18.0], qUmK-WeN8n, 5741387]
