[996, 707]
[folio, [81.0, 39.0, 121.0, 18.0], shoonya_1s4KHZUWAR3GD2, 5774160]
[folio, [81.0, 57.0, 121.0, 18.0], shoonya_1s4KHZUWAR3GD2, 5774160]
[folio, [428.0, 42.0, 219.0, 18.0], 3pAI6UGGx8, 5774160]
[folio, [428.0, 60.0, 219.0, 18.0], 3pAI6UGGx8, 5774160]
[paragraph, [76.0, 82.0, 576.0, 18.0], shoonya_0sESVAA7AOQPFM, 5774160]
[paragraph, [76.0, 100.0, 576.0, 18.0], shoonya_0sESVAA7AOQPFM, 5774160]
[paragraph, [76.0, 118.0, 576.0, 18.0], shoonya_0sESVAA7AOQPFM, 5774160]
[paragraph, [76.0, 136.0, 576.0, 18.0], shoonya_0sESVAA7AOQPFM, 5774160]
[paragraph, [78.0, 154.0, 578.0, 18.0], xJ0atZSyua, 5774160]
[paragraph, [78.0, 172.0, 578.0, 18.0], xJ0atZSyua, 5774160]
[paragraph, [78.0, 190.0, 578.0, 18.0], xJ0atZSyua, 5774160]
[paragraph, [78.0, 208.0, 578.0, 18.0], xJ0atZSyua, 5774160]
[paragraph, [78.0, 226.0, 578.0, 18.0], xJ0atZSyua, 5774160]
[paragraph, [78.0, 244.0, 578.0, 18.0], xJ0atZSyua, 5774160]
[paragraph, [78.0, 262.0, 578.0, 18.0], xJ0atZSyua, 5774160]
[paragraph, [78.0, 286.0, 576.0, 18.0], KKwMXpG-nP, 5774160]
[paragraph, [78.0, 304.0, 576.0, 18.0], KKwMXpG-nP, 5774160]
[paragraph, [78.0, 322.0, 576.0, 18.0], KKwMXpG-nP, 5774160]
[paragraph, [78.0, 340.0, 576.0, 18.0], KKwMXpG-nP, 5774160]
[paragraph, [78.0, 358.0, 576.0, 18.0], KKwMXpG-nP, 5774160]
[paragraph, [78.0, 376.0, 576.0, 18.0], KKwMXpG-nP, 5774160]
[paragraph, [78.0, 394.0, 576.0, 18.0], KKwMXpG-nP, 5774160]
[paragraph, [78.0, 412.0, 576.0, 18.0], KKwMXpG-nP, 5774160]
[paragraph, [78.0, 430.0, 576.0, 18.0], KKwMXpG-nP, 5774160]
[paragraph, [75.0, 456.0, 580.0, 18.0], 13LHA31KzC, 5774160]
[paragraph, [75.0, 474.0, 580.0, 18.0], 13LHA31KzC, 5774160]
[paragraph, [75.0, 492.0, 580.0, 18.0], 13LHA31KzC, 5774160]
[paragraph, [75.0, 510.0, 580.0, 18.0], 13LHA31KzC, 5774160]
[paragraph, [75.0, 528.0, 580.0, 18.0], 13LHA31KzC, 5774160]
[paragraph, [75.0, 546.0, 580.0, 18.0], 13LHA31KzC, 5774160]
[paragraph, [75.0, 564.0, 580.0, 18.0], 13LHA31KzC, 5774160]
[paragraph, [75.0, 582.0, 580.0, 18.0], 13LHA31KzC, 5774160]
[paragraph, [75.0, 600.0, 580.0, 18.0], 13LHA31KzC, 5774160]
[paragraph, [75.0, 618.0, 580.0, 18.0], 13LHA31KzC, 5774160]
[paragraph, [75.0, 636.0, 580.0, 18.0], 13LHA31KzC, 5774160]
[paragraph, [75.0, 654.0, 580.0, 18.0], 13LHA31KzC, 5774160]
[paragraph, [75.0, 672.0, 580.0, 18.0], 13LHA31KzC, 5774160]
[paragraph, [75.0, 690.0, 580.0, 18.0], 13LHA31KzC, 5774160]
[paragraph, [75.0, 708.0, 580.0, 18.0], 13LHA31KzC, 5774160]
[section-title, [180.0, 729.0, 382.0, 30.0], cypN2XTHG9, 5774160]
[paragraph, [93.0, 762.0, 574.0, 18.0], 44Mxd00Aqy, 5774160]
[paragraph, [93.0, 780.0, 574.0, 18.0], 44Mxd00Aqy, 5774160]
[paragraph, [93.0, 798.0, 574.0, 18.0], 44Mxd00Aqy, 5774160]
[paragraph, [93.0, 816.0, 574.0, 18.0], 44Mxd00Aqy, 5774160]
[paragraph, [93.0, 834.0, 574.0, 18.0], 44Mxd00Aqy, 5774160]
[paragraph, [93.0, 852.0, 574.0, 18.0], 44Mxd00Aqy, 5774160]
[paragraph, [93.0, 870.0, 574.0, 18.0], 44Mxd00Aqy, 5774160]
[paragraph, [93.0, 888.0, 574.0, 18.0], 44Mxd00Aqy, 5774160]
[paragraph, [93.0, 906.0, 574.0, 18.0], 44Mxd00Aqy, 5774160]
[paragraph, [93.0, 924.0, 574.0, 18.0], 44Mxd00Aqy, 5774160]
