[1650, 1275]
[chapter-title, [213.0, 219.0, 565.0, 58.5], Ov8BhAWZca, 6469857]
[author, [703.0, 339.0, 230.0, 36.0], 4WmImxf1uI, 6469857]
[paragraph, [65.0, 436.0, 895.0, 36.0], shoonya_0sLW25AJMHC3P3, 6469857]
[paragraph, [65.0, 472.0, 895.0, 36.0], shoonya_0sLW25AJMHC3P3, 6469857]
[paragraph, [65.0, 508.0, 895.0, 36.0], shoonya_0sLW25AJMHC3P3, 6469857]
[paragraph, [60.0, 555.0, 899.0, 36.0], QtszheGF1o, 6469857]
[paragraph, [60.0, 591.0, 899.0, 36.0], QtszheGF1o, 6469857]
[paragraph, [57.0, 654.0, 900.0, 36.0], 3I1JvjBxvx, 6469857]
[paragraph, [57.0, 690.0, 900.0, 36.0], 3I1JvjBxvx, 6469857]
[paragraph, [57.0, 726.0, 900.0, 36.0], 3I1JvjBxvx, 6469857]
[paragraph, [57.0, 762.0, 900.0, 36.0], 3I1JvjBxvx, 6469857]
[paragraph, [66.0, 810.0, 897.0, 36.0], vTAzdMqVWn, 6469857]
[paragraph, [66.0, 846.0, 897.0, 36.0], vTAzdMqVWn, 6469857]
[paragraph, [66.0, 882.0, 897.0, 36.0], vTAzdMqVWn, 6469857]
[paragraph, [66.0, 918.0, 897.0, 36.0], vTAzdMqVWn, 6469857]
[paragraph, [66.0, 954.0, 897.0, 36.0], vTAzdMqVWn, 6469857]
[paragraph, [65.0, 1008.0, 904.0, 36.0], 7Wu4Qahve0, 6469857]
[paragraph, [65.0, 1044.0, 904.0, 36.0], 7Wu4Qahve0, 6469857]
[paragraph, [65.0, 1080.0, 904.0, 36.0], 7Wu4Qahve0, 6469857]
[paragraph, [65.0, 1116.0, 904.0, 36.0], 7Wu4Qahve0, 6469857]
[paragraph, [63.0, 1165.0, 907.0, 36.0], LiMihQebao, 6469857]
[paragraph, [63.0, 1201.0, 907.0, 36.0], LiMihQebao, 6469857]
[paragraph, [70.0, 1263.0, 902.0, 36.0], ZmbiT7nx1n, 6469857]
[paragraph, [70.0, 1299.0, 902.0, 36.0], ZmbiT7nx1n, 6469857]
[paragraph, [70.0, 1335.0, 902.0, 36.0], ZmbiT7nx1n, 6469857]
[paragraph, [70.0, 1371.0, 902.0, 36.0], ZmbiT7nx1n, 6469857]
[paragraph, [70.0, 1407.0, 902.0, 36.0], ZmbiT7nx1n, 6469857]
[folio, [772.0, 1522.0, 109.0, 36.0], yWEMUTxdgb, 6469857]
