[1200, 825]
[chapter-title, [349.0, 261.0, 122.0, 30.0], shoonya_4sXADXSPUV983H, 5691371]
[section-title, [325.0, 304.0, 175.0, 30.0], shoonya_3sX406AU64XOUR, 5691371]
[paragraph, [125.0, 362.0, 573.0, 18.0], shoonya_1sAKWJ4PGQO5QB, 5691371]
[paragraph, [125.0, 380.0, 573.0, 18.0], shoonya_1sAKWJ4PGQO5QB, 5691371]
[paragraph, [125.0, 398.0, 573.0, 18.0], shoonya_1sAKWJ4PGQO5QB, 5691371]
[paragraph, [125.0, 416.0, 573.0, 18.0], shoonya_1sAKWJ4PGQO5QB, 5691371]
[paragraph, [125.0, 434.0, 573.0, 18.0], shoonya_1sAKWJ4PGQO5QB, 5691371]
[paragraph, [125.0, 452.0, 573.0, 18.0], shoonya_1sAKWJ4PGQO5QB, 5691371]
[paragraph, [125.0, 470.0, 573.0, 18.0], shoonya_1sAKWJ4PGQO5QB, 5691371]
[paragraph, [125.0, 488.0, 573.0, 18.0], shoonya_1sAKWJ4PGQO5QB, 5691371]
[paragraph, [125.0, 506.0, 573.0, 18.0], shoonya_1sAKWJ4PGQO5QB, 5691371]
[paragraph, [125.0, 524.0, 573.0, 18.0], shoonya_1sAKWJ4PGQO5QB, 5691371]
[paragraph, [125.0, 542.0, 573.0, 18.0], shoonya_1sAKWJ4PGQO5QB, 5691371]
[paragraph, [125.0, 560.0, 573.0, 18.0], shoonya_1sAKWJ4PGQO5QB, 5691371]
[paragraph, [125.0, 578.0, 573.0, 18.0], shoonya_1sAKWJ4PGQO5QB, 5691371]
[paragraph, [125.0, 596.0, 573.0, 18.0], shoonya_1sAKWJ4PGQO5QB, 5691371]
[paragraph, [125.0, 614.0, 573.0, 18.0], shoonya_1sAKWJ4PGQO5QB, 5691371]
[paragraph, [125.0, 632.0, 573.0, 18.0], shoonya_1sAKWJ4PGQO5QB, 5691371]
[paragraph, [125.0, 650.0, 573.0, 18.0], shoonya_1sAKWJ4PGQO5QB, 5691371]
[paragraph, [125.0, 668.0, 573.0, 18.0], shoonya_1sAKWJ4PGQO5QB, 5691371]
[paragraph, [125.0, 686.0, 573.0, 18.0], shoonya_1sAKWJ4PGQO5QB, 5691371]
[paragraph, [125.0, 704.0, 573.0, 18.0], shoonya_1sAKWJ4PGQO5QB, 5691371]
[paragraph, [125.0, 733.0, 577.0, 18.0], shoonya_0sCI3N2SWI0QMD, 5691371]
[paragraph, [125.0, 751.0, 577.0, 18.0], shoonya_0sCI3N2SWI0QMD, 5691371]
[paragraph, [125.0, 769.0, 577.0, 18.0], shoonya_0sCI3N2SWI0QMD, 5691371]
[paragraph, [125.0, 787.0, 577.0, 18.0], shoonya_0sCI3N2SWI0QMD, 5691371]
[paragraph, [125.0, 805.0, 577.0, 18.0], shoonya_0sCI3N2SWI0QMD, 5691371]
[paragraph, [125.0, 823.0, 577.0, 18.0], shoonya_0sCI3N2SWI0QMD, 5691371]
[paragraph, [125.0, 841.0, 577.0, 18.0], shoonya_0sCI3N2SWI0QMD, 5691371]
[paragraph, [125.0, 859.0, 577.0, 18.0], shoonya_0sCI3N2SWI0QMD, 5691371]
[paragraph, [125.0, 877.0, 577.0, 18.0], shoonya_0sCI3N2SWI0QMD, 5691371]
[paragraph, [125.0, 895.0, 577.0, 18.0], shoonya_0sCI3N2SWI0QMD, 5691371]
[paragraph, [125.0, 913.0, 577.0, 18.0], shoonya_0sCI3N2SWI0QMD, 5691371]
[paragraph, [125.0, 931.0, 577.0, 18.0], shoonya_0sCI3N2SWI0QMD, 5691371]
[paragraph, [125.0, 949.0, 577.0, 18.0], shoonya_0sCI3N2SWI0QMD, 5691371]
[paragraph, [125.0, 967.0, 577.0, 18.0], shoonya_0sCI3N2SWI0QMD, 5691371]
[paragraph, [125.0, 985.0, 577.0, 18.0], shoonya_0sCI3N2SWI0QMD, 5691371]
[paragraph, [125.0, 1003.0, 577.0, 18.0], shoonya_0sCI3N2SWI0QMD, 5691371]
[paragraph, [125.0, 1021.0, 577.0, 18.0], shoonya_0sCI3N2SWI0QMD, 5691371]
